Sample REF	593D0506-2BE9-4AC1-B7C1-0A499934DBBA
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.0204346415
14-3-3_epsilon-M-C	0.0898123565000001
14-3-3_zeta-R-V	0.180404839
4E-BP1-R-V	0.3988669615
4E-BP1_pS65-R-V	-0.0119251574999999
4E-BP1_pT37_T46-R-V	0.2439225975
4E-BP1_pT70-R-V	-0.0575107035
53BP1-R-E	-0.439280641
A-Raf_pS299-R-C	-0.0755328719999999
ACC_pS79-R-V	0.0117491150000001
ACC1-R-E	0.1797962375
Acetyl-a-Tubulin-Lys40-R-C	-0.267995328
ACVRL1-R-C	-0.0513461689999999
ADAR1-M-V	-0.1476179615
Akt-R-V	-0.2240499185
Akt_pS473-R-V	0.290171936
Akt_pT308-R-V	-0.0271742644999999
alpha-Catenin-M-V	-0.00896745599999993
AMPK_alpha-R-C	-0.1383445785
AMPK_pT172-R-V	0.00255552650000013
Annexin-1-M-E	0.17278696
Annexin_VII-M-V	-0.1527609715
AR-R-V	0.13488663
DIRAS3-M-E	-0.0347609485
ASNS-R-V	1.966455135
ATM-R-E	-0.349230165
B-Raf-M-C	-0.0300697049999999
Bad_pS112-R-V	-0.0152587974999999
Bak-R-C	0.145877287
Bap1-c-4-M-E	0.0907448615000001
Bax-R-V	0.0303339235000002
Bcl-2-M-V	-0.132169532
Bcl-xL-R-V	0.406844466
Beclin-G-C	0.00748602150000005
beta-Catenin-R-V	0.6632096835
Bid-R-C	-0.00772905899999987
Bim-R-V	0.104199922
c-Jun_pS73-R-V	0.0760154660000001
c-Kit-R-V	-0.5495308725
c-Met-M-E	-0.093290271
c-Met_pY1235-R-V	0.0284319255000001
c-Myc-R-C	-0.0474763394999999
C-Raf-R-V	0.2572419825
C-Raf_pS338-R-V	-0.1888272265
Caspase-7_cleavedD198-R-C	0.44746931
Caspase-8-M-E	-0.1026278175
Caveolin-1-R-V	0.37050652
CD20-R-C	0.165267552
CD31-M-V	0.000504292000000239
CD49b-M-V	0.288413095
CDK1-R-V	0.29364956
Chk1-M-C	0.3877694675
Chk1_pS345-R-C	0.1110620135
Chk2-M-E	0.3851863525
Chk2_pT68-R-C	-0.0669865844999999
cIAP-R-V	-0.0449116794999999
Claudin-7-R-V	0.805034324
Collagen_VI-R-V	-0.000255238499999921
Cyclin_B1-R-V	1.279613498
Cyclin_D1-R-V	-0.4816750635
Cyclin_E1-M-V	0.297387077
Cyclin_E2-R-C	0.195419672
DJ-1-R-E	0.1622299755
Dvl3-R-V	-0.1282465775
E-Cadherin-R-V	1.379346726
eEF2-R-C	-0.00763556149999994
eEF2K-R-V	-0.19270543
EGFR-R-V	-0.11009758
EGFR_pY1068-R-C	-0.1872476495
EGFR_pY1173-R-V	-0.0229316804999999
eIF4E-R-V	0.00916195800000008
eIF4G-R-C	0.7143722645
ER-alpha-R-V	-0.2085996585
ER-alpha_pS118-R-V	0.127541883
ERCC1-M-V	0.0164752690000001
ERK2-R-E	-0.3455001275
ETS-1-R-V	0.1167470935
FASN-R-V	0.46250067
Fibronectin-R-V	0.65899702
FoxM1-R-V	0.465774701
FOXO3a-R-C	-0.00419438049999987
FOXO3a_pS318_S321-R-C	-0.1539464445
G6PD-M-V	0.0335293160000001
GAB2-R-V	-0.3267780205
GAPDH-M-C	1.0644456505
GATA3-M-V	0.0387927895
GSK3-alpha-beta-M-V	-0.0791958889999999
GSK3-alpha-beta_pS21_S9-R-V	-0.332374453
GSK3_pS9-R-V	-0.132149332
HER2-M-V	0.0162820995000001
HER2_pY1248-R-C	0.147482499
HER3-R-V	0.1797984105
HER3_pY1289-R-C	0.13626179
Heregulin-R-V	0.0922261490000001
HSP70-R-C	-1.009885697
IGFBP2-R-V	-0.4018417295
INPP4B-R-V	-0.239485431
IRS1-R-V	-0.209144785
JAB1-M-C	-0.0404239554999999
JNK_pT183_pY185-R-V	-0.0415023369999999
JNK2-R-C	0.118993479
Ku80-R-C	-0.069429881
Lck-R-V	-0.1487020275
LKB1-M-E	-0.252540491
MAPK_pT202_Y204-R-V	0.267933359
MEK1-R-V	-0.2543948065
MEK1_pS217_S221-R-V	-0.054076135
MIG-6-M-V	0.1120099325
Mre11-R-C	-0.162673256
MSH2-M-V	0.7439974865
MSH6-R-C	0.601981601500001
mTOR-R-V	0.1142876745
mTOR_pS2448-R-C	-0.0037436664999998
MYH11-R-V	1.111580494
Myosin-IIa_pS1943-R-V	0.537983315
N-Cadherin-R-V	-0.1106970515
N-Ras-M-V	0.000255238499999977
NDRG1_pT346-R-V	-0.0653214264999997
NF-kB-p65_pS536-R-C	-0.3138027725
NF2-R-C	0.3262917915
Notch1-R-V	0.0236656900000001
