Sample REF	5D50BEA7-86DF-44E6-8740-22CFD2C2CC52
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.0937014067499999
14-3-3_epsilon-M-C	0.23799340075
14-3-3_zeta-R-V	0.18105264825
4E-BP1-R-V	-0.06100029525
4E-BP1_pS65-R-V	0.0549672757499999
4E-BP1_pT37_T46-R-V	0.23862500875
4E-BP1_pT70-R-V	-0.0490514462500001
53BP1-R-E	0.12301459725
A-Raf_pS299-R-C	-0.08250511975
ACC_pS79-R-V	0.59043902325
ACC1-R-E	0.61582608075
Acetyl-a-Tubulin-Lys40-R-C	-0.13964694675
ACVRL1-R-C	0.0694994092499999
ADAR1-M-V	0.29242773475
Akt-R-V	0.0960243827499999
Akt_pS473-R-V	0.22637682125
Akt_pT308-R-V	-0.20798654725
alpha-Catenin-M-V	0.0876104292499999
AMPK_alpha-R-C	-0.0896834722500001
AMPK_pT172-R-V	-0.52294061725
Annexin-1-M-E	-0.0312503847500001
Annexin_VII-M-V	0.17184301075
AR-R-V	-0.10818992675
DIRAS3-M-E	0.0715707847499999
ASNS-R-V	0.29924439225
ATM-R-E	-0.0165201347500002
B-Raf-M-C	0.27190970325
Bad_pS112-R-V	0.11026894675
Bak-R-C	0.13881156425
Bap1-c-4-M-E	0.0253249687499999
Bax-R-V	0.19810914075
Bcl-2-M-V	0.18905350025
Bcl-xL-R-V	-0.20746783075
Beclin-G-C	-0.0944263362500001
beta-Catenin-R-V	-0.53837285725
Bid-R-C	-0.17305504375
Bim-R-V	0.30615556025
c-Jun_pS73-R-V	-0.0380320837500001
c-Kit-R-V	1.56956148075
c-Met-M-E	0.15214605925
c-Met_pY1235-R-V	-0.0497929502500001
c-Myc-R-C	-0.0967586902500001
C-Raf-R-V	0.15368132175
C-Raf_pS338-R-V	-0.0476674882500001
Caspase-7_cleavedD198-R-C	0.67450200925
Caspase-8-M-E	0.12534244775
Caveolin-1-R-V	-0.70973003275
CD20-R-C	0.14884475425
CD31-M-V	-7.10717499999292e-05
CD49b-M-V	-0.0915828477500001
CDK1-R-V	-0.10090002175
Chk1-M-C	-0.0307333622500001
Chk1_pS345-R-C	0.03191709975
Chk2-M-E	0.67891960775
Chk2_pT68-R-C	0.0987349357499999
cIAP-R-V	0.13662280275
Claudin-7-R-V	-0.57569326675
Collagen_VI-R-V	0.01080595875
Cyclin_B1-R-V	-0.27151967975
Cyclin_D1-R-V	-0.15837337625
Cyclin_E1-M-V	0.00932016024999993
Cyclin_E2-R-C	0.30943869825
DJ-1-R-E	0.12246137875
Dvl3-R-V	0.15424803875
E-Cadherin-R-V	-1.06478162175
eEF2-R-C	0.19626268875
eEF2K-R-V	-0.20589045675
EGFR-R-V	-0.25538396875
EGFR_pY1068-R-C	-0.18910024425
EGFR_pY1173-R-V	-0.0241102092500001
eIF4E-R-V	0.02294996025
eIF4G-R-C	7.10717499999292e-05
ER-alpha-R-V	-0.14850968725
ER-alpha_pS118-R-V	0.0829098242499999
ERCC1-M-V	-0.0729307377500001
ERK2-R-E	0.0806135817499999
ETS-1-R-V	-0.0561586322500001
FASN-R-V	-0.31200396975
Fibronectin-R-V	-0.95305004275
FoxM1-R-V	-0.24137088875
FOXO3a-R-C	0.0948008047499999
FOXO3a_pS318_S321-R-C	0.08861630875
G6PD-M-V	0.08423063625
GAB2-R-V	1.61463181275
GAPDH-M-C	0.37446300675
GATA3-M-V	-0.0513800372500001
GSK3-alpha-beta-M-V	0.24007644025
GSK3-alpha-beta_pS21_S9-R-V	0.25570593225
GSK3_pS9-R-V	-0.0184389897500001
HER2-M-V	-0.34425578725
HER2_pY1248-R-C	-0.33830079275
HER3-R-V	-0.32709139325
HER3_pY1289-R-C	-0.10541133675
Heregulin-R-V	-0.0780731277500001
HSP70-R-C	-0.89706356175
IGFBP2-R-V	-0.20088963025
INPP4B-R-V	-0.10622393375
IRS1-R-V	-0.13662153775
JAB1-M-C	0.0986389137500001
JNK_pT183_pY185-R-V	-0.0948747817500001
JNK2-R-C	-0.0552342407500001
Ku80-R-C	0.0970310902500002
Lck-R-V	0.39507745775
LKB1-M-E	-0.0906579237500001
MAPK_pT202_Y204-R-V	-0.14876006975
MEK1-R-V	0.24297107675
MEK1_pS217_S221-R-V	-0.16734101675
MIG-6-M-V	-0.00357707625000009
Mre11-R-C	-0.02834957775
MSH2-M-V	0.21564597375
MSH6-R-C	0.0890566707500004
mTOR-R-V	0.30017339675
mTOR_pS2448-R-C	0.26571739875
MYH11-R-V	-0.59245850175
Myosin-IIa_pS1943-R-V	-0.25011317275
N-Cadherin-R-V	-0.0708931612500001
N-Ras-M-V	0.12364560375
NDRG1_pT346-R-V	0.71454915675
NF-kB-p65_pS536-R-C	0.10114916675
NF2-R-C	0.28442823475
Notch1-R-V	-0.29775321175
P-Cadherin-R-C	0.13243710475
p21-R-V	0.78164850375
p27-R-V	0.01679169675
p27_pT157-R-C	-0.0153872457500001
p27_pT198-R-V	0.10490528975
p38_MAPK-R-V	-0.0375695682500002
p38_pT180_Y182-R-V	0.31948345275
p53-R-E	-0.0750537877499998
p62-LCK-ligand-M-C	0.37461085075
p70S6K-R-V	0.0674436137499999
p70S6K_pT389-R-V	-0.01724803575
p90RSK-R-C	-0.25081209175
p90RSK_pT359_S363-R-C	-0.26845265375
PAI-1-M-E	-0.16193027925
PARP_cleaved-M-E	0.19016266525
PARP1-R-V	0.47126887575
Paxillin-R-C	0.0845695987499999
PCNA-M-C	-0.0994136792500001
PDCD4-R-C	0.43927135275
PDK1-R-V	-0.0762182672500001
PDK1_pS241-R-V	-0.07856443475
PEA15-R-V	-0.0138188752500002
PEA15_pS116-R-V	0.28261682625
PI3K-p110-alpha-R-C	-0.0878745387500001
PI3K-p85-R-V	0.11380580025
PKC-alpha-M-V	-0.16212194025
PKC-alpha_pS657-R-C	-0.18005646975
PKC-delta_pS664-R-V	0.0667164622499999
PKC-pan_BetaII_pS660-R-V	0.35028084925
PR-R-V	-0.0943107382500001
PRAS40_pT246-R-V	0.04862539025
PRDX1-R-V	0.28750537025
PREX1-R-E	0.62489535925
PTEN-R-V	-0.0431930712500001
Rab11-R-E	-0.0196285707500001
Rab25-R-V	0.31065214025
Rad50-M-V	0.0870747252499999
Rad51-R-V	-0.18695133725
Raptor-R-V	0.31986848075
Rb-M-E	0.0072424942499999
Rb_pS807_S811-R-V	0.12652870225
RBM15-R-V	-0.20167682875
Rictor-R-C	-0.27712011425
