Sample REF	5D6C00C9-06B1-4DC1-917E-20BEEEDD6F12
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.09207890025
14-3-3_epsilon-M-C	-0.0124874137499999
14-3-3_zeta-R-V	0.34804867575
4E-BP1-R-V	0.0735102862500001
4E-BP1_pS65-R-V	-0.32776705575
4E-BP1_pT37_T46-R-V	-0.0793852147499999
4E-BP1_pT70-R-V	-0.27424432975
53BP1-R-E	0.11667556375
A-Raf_pS299-R-C	-0.0708248362499999
ACC_pS79-R-V	0.29383115175
ACC1-R-E	0.39981133125
Acetyl-a-Tubulin-Lys40-R-C	0.24370941775
ACVRL1-R-C	-0.19050501325
ADAR1-M-V	0.49856288825
Akt-R-V	-0.01212252375
Akt_pS473-R-V	-0.28776468625
Akt_pT308-R-V	-0.28571283975
alpha-Catenin-M-V	0.04406424775
AMPK_alpha-R-C	-0.34413123675
AMPK_pT172-R-V	-1.02158287575
Annexin-1-M-E	-0.25468457925
Annexin_VII-M-V	0.0731982802500001
AR-R-V	0.0680050787500001
DIRAS3-M-E	-0.05293421275
ASNS-R-V	-0.08339283625
ATM-R-E	-0.67551180525
B-Raf-M-C	0.24744943775
Bad_pS112-R-V	0.21753447325
Bak-R-C	0.12711873475
Bap1-c-4-M-E	0.23246873325
Bax-R-V	0.13225551425
Bcl-2-M-V	-0.0921063432499999
Bcl-xL-R-V	0.49685781275
Beclin-G-C	0.02450328325
beta-Catenin-R-V	-0.01504523675
Bid-R-C	-0.14547794425
Bim-R-V	0.29703483475
c-Jun_pS73-R-V	0.04331430275
c-Kit-R-V	2.15565577525
c-Met-M-E	0.03261443275
c-Met_pY1235-R-V	0.06975380825
c-Myc-R-C	-0.0467434777499999
C-Raf-R-V	-0.0391982177499998
C-Raf_pS338-R-V	-0.09057117575
Caspase-7_cleavedD198-R-C	0.33006393375
Caspase-8-M-E	-0.14354222575
Caveolin-1-R-V	-0.96519874925
CD20-R-C	0.30054215675
CD31-M-V	-0.02635242525
CD49b-M-V	-0.20003156825
CDK1-R-V	-0.01004364925
Chk1-M-C	0.24412782625
Chk1_pS345-R-C	0.16852370325
Chk2-M-E	0.88225496325
Chk2_pT68-R-C	0.02621098725
cIAP-R-V	-0.01739903875
Claudin-7-R-V	0.72817123775
Collagen_VI-R-V	0.00537522125000003
Cyclin_B1-R-V	0.24373331975
Cyclin_D1-R-V	-0.00974665874999997
Cyclin_E1-M-V	-0.16578839625
Cyclin_E2-R-C	0.26811900575
DJ-1-R-E	0.03737204725
Dvl3-R-V	0.37526677725
E-Cadherin-R-V	0.20350918675
eEF2-R-C	0.68157743925
eEF2K-R-V	0.67750942575
EGFR-R-V	-0.17932884925
EGFR_pY1068-R-C	-0.0498671837499999
EGFR_pY1173-R-V	0.14590680725
eIF4E-R-V	0.0646203557500001
eIF4G-R-C	0.16176396325
ER-alpha-R-V	-0.17455030175
ER-alpha_pS118-R-V	0.36707041175
ERCC1-M-V	-0.14494840225
ERK2-R-E	0.39639915625
ETS-1-R-V	-0.08892781675
FASN-R-V	0.58642322475
Fibronectin-R-V	-0.85896956225
FoxM1-R-V	0.02226042875
FOXO3a-R-C	-0.0320128617499999
FOXO3a_pS318_S321-R-C	0.26896554525
G6PD-M-V	0.02352841575
GAB2-R-V	1.65153075425
GAPDH-M-C	-0.37301507875
GATA3-M-V	-0.25811538675
GSK3-alpha-beta-M-V	0.0201061657500001
GSK3-alpha-beta_pS21_S9-R-V	0.0858265157500001
GSK3_pS9-R-V	0.05528561575
HER2-M-V	0.0328253832500001
HER2_pY1248-R-C	0.00825859874999996
HER3-R-V	0.11405467425
HER3_pY1289-R-C	0.00327406474999997
Heregulin-R-V	-0.00836060224999996
HSP70-R-C	-0.51528296425
IGFBP2-R-V	0.04561100425
INPP4B-R-V	0.0220289997500001
IRS1-R-V	0.11199279175
JAB1-M-C	-0.0364253347499998
JNK_pT183_pY185-R-V	-0.11814063925
JNK2-R-C	-0.0941678232499999
Ku80-R-C	0.91835506475
Lck-R-V	-0.46931879675
LKB1-M-E	-0.08841145125
MAPK_pT202_Y204-R-V	-0.35397104225
MEK1-R-V	-0.12735994475
MEK1_pS217_S221-R-V	-0.15824067525
MIG-6-M-V	-0.02471765675
Mre11-R-C	-0.15298704425
MSH2-M-V	0.77617785625
MSH6-R-C	1.08460944125
mTOR-R-V	0.66050163025
mTOR_pS2448-R-C	0.25469321625
MYH11-R-V	0.52392179775
Myosin-IIa_pS1943-R-V	-0.21193701325
N-Cadherin-R-V	-0.0248147887499999
N-Ras-M-V	0.01986876925
NDRG1_pT346-R-V	-0.32192732275
NF-kB-p65_pS536-R-C	-0.51125254075
NF2-R-C	0.63350200825
Notch1-R-V	-0.19208272925
P-Cadherin-R-C	0.21112987425
p21-R-V	0.76053771325
p27-R-V	-0.04516573275
p27_pT157-R-C	0.12067449775
p27_pT198-R-V	0.19422481625
p38_MAPK-R-V	-0.13165719775
p38_pT180_Y182-R-V	-0.41059116975
p53-R-E	-0.0357812312499998
p62-LCK-ligand-M-C	0.13960375225
p70S6K-R-V	0.23071244325
p70S6K_pT389-R-V	-0.00379831624999988
p90RSK-R-C	-0.04383108825
p90RSK_pT359_S363-R-C	-0.29130707725
PAI-1-M-E	-0.09899350875
PARP_cleaved-M-E	0.27672243075
PARP1-R-V	0.84913707025
Paxillin-R-C	0.11224172625
PCNA-M-C	0.07897174125
PDCD4-R-C	1.05556156925
PDK1-R-V	-0.09195597675
PDK1_pS241-R-V	-0.15895745725
PEA15-R-V	-0.07020954675
PEA15_pS116-R-V	-0.0685316922499999
PI3K-p110-alpha-R-C	0.10518891075
PI3K-p85-R-V	-0.0967223262499999
PKC-alpha-M-V	-0.35177783975
PKC-alpha_pS657-R-C	-0.51162216425
PKC-delta_pS664-R-V	0.09819277875
PKC-pan_BetaII_pS660-R-V	-0.15369484125
PR-R-V	-0.00327406474999997
PRAS40_pT246-R-V	0.23597918075
PRDX1-R-V	0.07409963975
PREX1-R-E	0.39216434975
PTEN-R-V	-0.06041660375
Rab11-R-E	0.12796475875
Rab25-R-V	-0.14588269725
Rad50-M-V	-0.16572821825
Rad51-R-V	-0.25385188875
Raptor-R-V	0.59793294625
Rb-M-E	0.01444889075
