Sample REF	5E0F8A2B-9723-474A-B388-0A64B130DB56
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.0657929315
14-3-3_epsilon-M-C	-0.0125129565
14-3-3_zeta-R-V	0.219635372
4E-BP1-R-V	0.00885765750000006
4E-BP1_pS65-R-V	-0.1839734545
4E-BP1_pT37_T46-R-V	0.4540476685
4E-BP1_pT70-R-V	-0.0819559345
53BP1-R-E	-0.124210179
A-Raf_pS299-R-C	-0.151970343
ACC_pS79-R-V	0.150883544
ACC1-R-E	0.4518795445
Acetyl-a-Tubulin-Lys40-R-C	-0.763227253
ACVRL1-R-C	0.166879904
ADAR1-M-V	0.2406092075
Akt-R-V	-0.3185955015
Akt_pS473-R-V	-0.280542693
Akt_pT308-R-V	-0.4319673385
alpha-Catenin-M-V	-0.0985010140000001
AMPK_alpha-R-C	-0.2063545505
AMPK_pT172-R-V	-0.8149508815
Annexin-1-M-E	-0.313902339
Annexin_VII-M-V	-0.1039620115
AR-R-V	0.126153336
DIRAS3-M-E	-0.0679438385
ASNS-R-V	0.143372314
ATM-R-E	0.183081704
B-Raf-M-C	0.040776336
Bad_pS112-R-V	-0.1710505305
Bak-R-C	-0.0114063659999999
Bap1-c-4-M-E	-0.1496019225
Bax-R-V	0.1623743065
Bcl-2-M-V	-0.117546027
Bcl-xL-R-V	-0.422417625
Beclin-G-C	0.0285269895
beta-Catenin-R-V	-0.6172250985
Bid-R-C	-0.09134127
Bim-R-V	-0.015207487
c-Jun_pS73-R-V	-0.141083102
c-Kit-R-V	0.8588180595
c-Met-M-E	-0.0184516670000001
c-Met_pY1235-R-V	0.0257679935
c-Myc-R-C	-0.0656846945
C-Raf-R-V	0.1147577815
C-Raf_pS338-R-V	0.1185957675
Caspase-7_cleavedD198-R-C	0.420443077
Caspase-8-M-E	0.0895290215
Caveolin-1-R-V	-0.387208806
CD20-R-C	0.154026067
CD31-M-V	-0.144841026
CD49b-M-V	-0.169336839
CDK1-R-V	-0.00542172700000002
Chk1-M-C	0.2947487645
Chk1_pS345-R-C	-0.0593934865
Chk2-M-E	0.8074916385
Chk2_pT68-R-C	-0.0100914165
cIAP-R-V	0.1427061155
Claudin-7-R-V	-0.315354482
Collagen_VI-R-V	-0.2988483355
Cyclin_B1-R-V	-0.133264344
Cyclin_D1-R-V	0.0599006145
Cyclin_E1-M-V	0.154586835
Cyclin_E2-R-C	0.111624447
DJ-1-R-E	-0.0264675415
Dvl3-R-V	0.1487866205
E-Cadherin-R-V	0.321728534
eEF2-R-C	0.4614962435
eEF2K-R-V	0.268568272
EGFR-R-V	0.104550436
EGFR_pY1068-R-C	0.0406736075
EGFR_pY1173-R-V	-0.00906798149999999
eIF4E-R-V	0.00100590100000003
eIF4G-R-C	0.0682910515
ER-alpha-R-V	0.0713637234999999
ER-alpha_pS118-R-V	0.118717503
ERCC1-M-V	0.104633154
ERK2-R-E	-0.1915897835
ETS-1-R-V	-0.0652958365
