Sample REF	64A54D4B-253A-4DA8-8CA7-17D77080066E
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.13216335575
14-3-3_epsilon-M-C	0.0794820307500001
14-3-3_zeta-R-V	0.0525769092500001
4E-BP1-R-V	0.0297156287500001
4E-BP1_pS65-R-V	0.12989705375
4E-BP1_pT37_T46-R-V	-0.40691561925
4E-BP1_pT70-R-V	-0.16822903825
53BP1-R-E	0.29244600325
A-Raf_pS299-R-C	-0.15185879675
ACC_pS79-R-V	0.0984138512500001
ACC1-R-E	0.35637870675
Acetyl-a-Tubulin-Lys40-R-C	-0.23680932675
ACVRL1-R-C	-0.0863034347499999
ADAR1-M-V	0.19231411575
Akt-R-V	-0.30035344725
Akt_pS473-R-V	-0.47906403875
Akt_pT308-R-V	-0.38578716025
alpha-Catenin-M-V	-0.21458155675
AMPK_alpha-R-C	0.03409042775
AMPK_pT172-R-V	-0.0946950112499998
Annexin-1-M-E	-0.0124884987499998
Annexin_VII-M-V	0.18351451075
AR-R-V	-0.0258248967499999
DIRAS3-M-E	-0.0484541562499998
ASNS-R-V	0.35824196725
ATM-R-E	0.40372643625
B-Raf-M-C	0.0438787042500002
Bad_pS112-R-V	0.12220898675
Bak-R-C	0.13332827525
Bap1-c-4-M-E	0.0788944067500001
Bax-R-V	0.31590646675
Bcl-2-M-V	0.23657515125
Bcl-xL-R-V	-0.0454114507499999
Beclin-G-C	0.28533667075
beta-Catenin-R-V	-0.21360729225
Bid-R-C	0.00946606925000015
Bim-R-V	0.27429486125
c-Jun_pS73-R-V	-0.14169340075
c-Kit-R-V	1.96709219175
c-Met-M-E	-0.12054295075
c-Met_pY1235-R-V	0.0253421727500001
c-Myc-R-C	-0.18188129725
C-Raf-R-V	0.34435796975
C-Raf_pS338-R-V	-0.13562181725
Caspase-7_cleavedD198-R-C	1.25387378825
Caspase-8-M-E	0.10855754575
Caveolin-1-R-V	-0.40191566775
CD20-R-C	0.35833106725
CD31-M-V	-0.0343655347499998
CD49b-M-V	-0.16181132675
CDK1-R-V	-0.0765898047499999
Chk1-M-C	0.0619173897500001
Chk1_pS345-R-C	-0.0826933492499999
Chk2-M-E	0.86683128775
Chk2_pT68-R-C	-0.20142895225
cIAP-R-V	0.11389714575
Claudin-7-R-V	-0.60305185075
Collagen_VI-R-V	-0.0391862432499999
Cyclin_B1-R-V	0.44356347125
Cyclin_D1-R-V	-0.24940876125
Cyclin_E1-M-V	-0.12324728275
Cyclin_E2-R-C	0.49195123225
DJ-1-R-E	0.0637204007500001
Dvl3-R-V	-0.41828440025
E-Cadherin-R-V	-1.97234627775
eEF2-R-C	0.27959377175
eEF2K-R-V	0.10628143825
EGFR-R-V	-0.11099703175
EGFR_pY1068-R-C	-0.24352008625
EGFR_pY1173-R-V	0.01194336775
eIF4E-R-V	0.32443210825
eIF4G-R-C	0.24399778275
ER-alpha-R-V	-0.19100973725
ER-alpha_pS118-R-V	0.35102472625
ERCC1-M-V	-0.0534188737499999
ERK2-R-E	0.13831156775
ETS-1-R-V	0.0725965057500001
FASN-R-V	-0.14954331875
Fibronectin-R-V	-0.68379074775
FoxM1-R-V	-0.20390183775
FOXO3a-R-C	0.0631897387500001
FOXO3a_pS318_S321-R-C	0.0440030807500002
G6PD-M-V	-0.0360023037499999
GAB2-R-V	0.25978602875
GAPDH-M-C	-0.0352299922499999
GATA3-M-V	0.20201454175
GSK3-alpha-beta-M-V	-0.11020166475
GSK3-alpha-beta_pS21_S9-R-V	-0.47813267175
GSK3_pS9-R-V	-0.52003310675
HER2-M-V	-0.22976936625
HER2_pY1248-R-C	-0.05856991275
HER3-R-V	-0.21093963325
HER3_pY1289-R-C	-0.0626527837499999
Heregulin-R-V	-0.10873014675
HSP70-R-C	-0.91535150275
IGFBP2-R-V	-0.0673958072499999
INPP4B-R-V	-0.0802953717499997
IRS1-R-V	-0.32215642275
JAB1-M-C	-0.0998533402500001
JNK_pT183_pY185-R-V	-0.0919125297499999
JNK2-R-C	-0.24622300475
