Sample REF	670A5742-5E73-4991-8E68-5510E88E79D1
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.03611099475
14-3-3_epsilon-M-C	-0.05325645875
14-3-3_zeta-R-V	0.00989428775000006
4E-BP1-R-V	0.11374793225
4E-BP1_pS65-R-V	0.09291150825
4E-BP1_pT37_T46-R-V	0.44118499325
4E-BP1_pT70-R-V	-0.06196766375
53BP1-R-E	0.45489724175
A-Raf_pS299-R-C	-0.0920248352499999
ACC_pS79-R-V	-0.36269655825
ACC1-R-E	-0.28719340775
Acetyl-a-Tubulin-Lys40-R-C	0.52604070575
ACVRL1-R-C	-0.0478257312499999
ADAR1-M-V	0.23322252525
Akt-R-V	-0.10512186975
Akt_pS473-R-V	0.27569329775
Akt_pT308-R-V	-0.11961082175
alpha-Catenin-M-V	0.0108445587500001
AMPK_alpha-R-C	0.12569601725
AMPK_pT172-R-V	-0.41206931275
Annexin-1-M-E	-0.26067001425
Annexin_VII-M-V	0.0516715412500001
AR-R-V	0.14071179475
DIRAS3-M-E	-0.0504067467499998
ASNS-R-V	0.00739079875000004
ATM-R-E	-0.63478737825
B-Raf-M-C	0.47602891275
Bad_pS112-R-V	-0.22557103075
Bak-R-C	-0.00308167225
Bap1-c-4-M-E	0.36022285425
Bax-R-V	0.13686575425
Bcl-2-M-V	-0.0925268912499999
Bcl-xL-R-V	-0.05571969725
Beclin-G-C	0.30142748625
beta-Catenin-R-V	-0.13873713775
Bid-R-C	-0.17050004925
Bim-R-V	-0.04679833425
c-Jun_pS73-R-V	-0.06411732225
c-Kit-R-V	2.14534883425
c-Met-M-E	-0.00940373025000008
c-Met_pY1235-R-V	-0.02357843675
c-Myc-R-C	0.15836897125
C-Raf-R-V	0.11516936525
C-Raf_pS338-R-V	0.02737690025
Caspase-7_cleavedD198-R-C	-0.82306896125
Caspase-8-M-E	-0.11589835375
Caveolin-1-R-V	-0.47795449525
CD20-R-C	0.06607808475
CD31-M-V	-0.10174718025
CD49b-M-V	-0.29258364025
CDK1-R-V	0.03071877575
Chk1-M-C	0.07544671825
Chk1_pS345-R-C	0.11256922225
Chk2-M-E	0.51357368325
Chk2_pT68-R-C	-0.25942704475
cIAP-R-V	0.02699177025
Claudin-7-R-V	0.26866187675
Collagen_VI-R-V	-0.00334303975
Cyclin_B1-R-V	0.40071158675
Cyclin_D1-R-V	0.00500077625000006
Cyclin_E1-M-V	0.23346036175
Cyclin_E2-R-C	0.17056751975
DJ-1-R-E	0.48017693425
Dvl3-R-V	0.00308167225
E-Cadherin-R-V	0.65681838075
eEF2-R-C	0.12417145425
eEF2K-R-V	0.85692573775
EGFR-R-V	-0.11081477825
EGFR_pY1068-R-C	0.16334550725
EGFR_pY1173-R-V	0.10654524425
eIF4E-R-V	0.04539466875
eIF4G-R-C	0.24011427325
ER-alpha-R-V	0.32056154925
ER-alpha_pS118-R-V	0.30502748375
ERCC1-M-V	0.12118184975
ERK2-R-E	0.02637923825
ETS-1-R-V	-0.21160359375
FASN-R-V	-0.19149127725
Fibronectin-R-V	-1.15548685925
FoxM1-R-V	0.31291239975
FOXO3a-R-C	0.0288042562499999
FOXO3a_pS318_S321-R-C	-0.16520206975
G6PD-M-V	0.0159781967500001
GAB2-R-V	-0.13465574875
GAPDH-M-C	0.15760869625
GATA3-M-V	-0.27394063275
GSK3-alpha-beta-M-V	0.07325484175
GSK3-alpha-beta_pS21_S9-R-V	0.16512172875
GSK3_pS9-R-V	0.18759986175
HER2-M-V	-0.0392934667499999
HER2_pY1248-R-C	0.15679721775
HER3-R-V	0.19684921225
HER3_pY1289-R-C	0.13460565575
Heregulin-R-V	0.17171915075
HSP70-R-C	-0.97007777925
IGFBP2-R-V	-0.56227160775
INPP4B-R-V	0.18447121375
IRS1-R-V	-0.04128265325
JAB1-M-C	0.0360234162499999
JNK_pT183_pY185-R-V	-0.16755488525
JNK2-R-C	-0.25100665325
Ku80-R-C	0.94287333175
Lck-R-V	-0.54094961875
LKB1-M-E	-0.10239143825
MAPK_pT202_Y204-R-V	0.29064526175
MEK1-R-V	0.09538137425
MEK1_pS217_S221-R-V	-0.07961472625
MIG-6-M-V	-0.11610642075
Mre11-R-C	-0.11183832225
MSH2-M-V	0.56437841025
MSH6-R-C	0.51849333925
mTOR-R-V	0.21680634425
mTOR_pS2448-R-C	0.10086617625
MYH11-R-V	1.05665206775
Myosin-IIa_pS1943-R-V	-0.13139254525
N-Cadherin-R-V	-0.21747225475
N-Ras-M-V	-0.10017400475
NDRG1_pT346-R-V	0.29236038025
NF-kB-p65_pS536-R-C	-0.33982216575
NF2-R-C	0.49449096825
Notch1-R-V	-0.05025954925
P-Cadherin-R-C	0.39564729525
p21-R-V	0.80654753825
p27-R-V	-0.21721009975
p27_pT157-R-C	0.12326931075
p27_pT198-R-V	-0.01260769775
p38_MAPK-R-V	-0.67459972575
p38_pT180_Y182-R-V	-0.76997807075
p53-R-E	0.12770011675
p62-LCK-ligand-M-C	-0.54904321975
p70S6K-R-V	-0.10016822875
p70S6K_pT389-R-V	0.11131967575
p90RSK-R-C	0.07705270275
p90RSK_pT359_S363-R-C	-0.24060398025
PAI-1-M-E	-0.32817526175
PARP_cleaved-M-E	0.0139369137499998
PARP1-R-V	0.48417614325
Paxillin-R-C	0.54553802425
PCNA-M-C	0.11579382725
PDCD4-R-C	0.96794565125
PDK1-R-V	-0.02247851775
PDK1_pS241-R-V	-0.47473363725
PEA15-R-V	-0.05348028875
PEA15_pS116-R-V	-0.05280623925
PI3K-p110-alpha-R-C	0.37453707875
PI3K-p85-R-V	0.21746931775
PKC-alpha-M-V	-0.32414907075
PKC-alpha_pS657-R-C	-0.49224676225
PKC-delta_pS664-R-V	-0.07957956225
PKC-pan_BetaII_pS660-R-V	-0.50348825725
PR-R-V	-0.16342870875
PRAS40_pT246-R-V	0.27737135875
PRDX1-R-V	0.56264880475
PREX1-R-E	-0.06221923225
PTEN-R-V	-0.38059702475
Rab11-R-E	0.0585649767500001
Rab25-R-V	-0.49820464725
Rad50-M-V	-0.14280522925
Rad51-R-V	-0.45499839675
Raptor-R-V	-0.00771676974999991
Rb-M-E	-0.07720361525
Rb_pS807_S811-R-V	0.29167465375
RBM15-R-V	0.10841218175
Rictor-R-C	0.32553266825
Rictor_pT1135-R-V	-0.22423803675
S6-R-E	0.57296400175
S6_pS235_S236-R-V	-0.64509326175
S6_pS240_S244-R-V	-0.55322649725
SCD-M-V	0.32428991775
SETD2-R-E	-0.03220473825
SF2-M-V	0.29235419625
Shc_pY317-R-E	-0.05017876175
Smac-M-E	0.27861338475
Smad1-R-V	0.13890526275
Smad3-R-V	0.19799045075
Smad4-M-V	-0.0855960422499999
Snail-M-E	0.54981847375
Src-M-V	-0.68708377625
Src_pY416-R-C	-0.10959229825
Src_pY527-R-V	-0.22881035675
STAT3_pY705-R-V	-0.53041561175
STAT5-alpha-R-V	-1.03878790625
Stathmin-R-V	-0.06438252625
Syk-M-V	-0.54785295425
TAZ-R-V	-0.10480730325
TFRC-R-V	-0.61167175725
TIGAR-R-V	0.34104344375
Transglutaminase-M-V	-0.16888132175
TSC1-R-C	0.20673492125
TTF1-R-V	-0.0957512402499999
Tuberin-R-E	0.10290344925
Tuberin_pT1462-R-V	0.0896042692500001
VEGFR2-R-V	0.00967677025000002
EPPK1-M-E	-0.97726796775
XBP1-G-C	-0.06729086025
XRCC1-R-E	0.17146400675
YAP-R-E	-0.24050477875
YAP_pS127-R-E	-0.69892402375
YB-1-R-V	-0.01474529525
YB-1_pS102-R-V	-0.09509010125
A-Raf-R-V	-0.13290360725
ARID1A-R-C	0.20731230425
B-Raf_pS445-R-V	0.22304501675
Bcl2A1-R-V	-0.39689055975
BRD4-R-V	0.16598326625
c-Abl-R-V	0.22213368375
Caspase-3-R-C	0.14836661325
CD26-R-V	-0.10506996825
Chk1_pS296-R-V	-0.05872474325
COG3-R-V	-0.23573103325
DUSP4-R-V	-0.25161165775
ERCC5-R-C	0.26532466725
IGF1R_pY1135_Y1136-R-V	-0.15623149675
IRF-1-R-C	-0.06922936125
Jak2-R-V	0.01226534375
