Sample REF	672A4B42-5E3F-4A3B-B400-59C2D162DDD9
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.0512363555
14-3-3_epsilon-M-C	0.0299750825000001
14-3-3_zeta-R-V	-0.089116407
4E-BP1-R-V	0.0962044805
4E-BP1_pS65-R-V	0.0332927225
4E-BP1_pT37_T46-R-V	0.2510288015
4E-BP1_pT70-R-V	0.1958639295
53BP1-R-E	-0.41449959
A-Raf_pS299-R-C	-0.121194864
ACC_pS79-R-V	0.413476221
ACC1-R-E	0.4346223675
Acetyl-a-Tubulin-Lys40-R-C	0.069548499
ACVRL1-R-C	0.071834581
ADAR1-M-V	-0.1393761105
Akt-R-V	-0.1905403505
Akt_pS473-R-V	-0.188827288
Akt_pT308-R-V	-0.0393977365
alpha-Catenin-M-V	-0.162008489
AMPK_alpha-R-C	0.00200791650000004
AMPK_pT172-R-V	0.1302462985
Annexin-1-M-E	0.174761224
Annexin_VII-M-V	-0.1354144305
AR-R-V	-0.357603044
DIRAS3-M-E	0.0597119605000001
ASNS-R-V	1.036796684
ATM-R-E	-0.471439701
B-Raf-M-C	-0.123896614
Bad_pS112-R-V	0.1082780505
Bak-R-C	0.21031269
Bap1-c-4-M-E	-0.0551536485
Bax-R-V	0.1193231305
Bcl-2-M-V	-0.212084195
Bcl-xL-R-V	0.312094209
Beclin-G-C	0.1854373195
beta-Catenin-R-V	0.1601653885
Bid-R-C	0.122292617
Bim-R-V	-0.035497532
c-Jun_pS73-R-V	0.00196782000000001
c-Kit-R-V	-0.6398928415
c-Met-M-E	-0.162513349
c-Met_pY1235-R-V	-0.0514693535
c-Myc-R-C	-0.0202267435
C-Raf-R-V	-0.1150138345
C-Raf_pS338-R-V	0.0327173345
Caspase-7_cleavedD198-R-C	0.975409274
Caspase-8-M-E	-0.0396983695
Caveolin-1-R-V	-0.402133242
CD20-R-C	-0.198164152
CD31-M-V	-0.0215995899999998
CD49b-M-V	0.182704248
CDK1-R-V	0.157163348
Chk1-M-C	-0.1569129235
Chk1_pS345-R-C	0.1361478035
Chk2-M-E	-0.2129940725
Chk2_pT68-R-C	0.0636398965
cIAP-R-V	-0.1313087785
Claudin-7-R-V	0.686336989
Collagen_VI-R-V	0.1463314255
Cyclin_B1-R-V	0.686475462
Cyclin_D1-R-V	-0.1193660745
Cyclin_E1-M-V	0.0321413420000001
