Sample REF	68D49B5B-61C7-4A64-919B-DF6FAFCB8D6F
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.0565142942500001
14-3-3_epsilon-M-C	0.17020170125
14-3-3_zeta-R-V	-0.0384739002499999
4E-BP1-R-V	0.32372578225
4E-BP1_pS65-R-V	-0.18873949275
4E-BP1_pT37_T46-R-V	-0.51862574875
4E-BP1_pT70-R-V	-0.17571896575
53BP1-R-E	0.49673625675
A-Raf_pS299-R-C	0.10009183875
ACC_pS79-R-V	0.18474158875
ACC1-R-E	0.20618278625
Acetyl-a-Tubulin-Lys40-R-C	0.32019271375
ACVRL1-R-C	0.07684050875
ADAR1-M-V	0.05342768925
Akt-R-V	-0.00340236774999998
Akt_pS473-R-V	-0.04192152925
Akt_pT308-R-V	0.13642546025
alpha-Catenin-M-V	-0.13757600925
AMPK_alpha-R-C	0.45609890425
AMPK_pT172-R-V	0.0587591762500001
Annexin-1-M-E	-0.21921492325
Annexin_VII-M-V	0.0015969832500001
AR-R-V	-0.14376229325
DIRAS3-M-E	-0.0436482247500001
ASNS-R-V	-0.12608852825
ATM-R-E	0.30470254475
B-Raf-M-C	0.49847785375
Bad_pS112-R-V	0.21211049025
Bak-R-C	-0.0214148112499999
Bap1-c-4-M-E	-0.00443837974999997
Bax-R-V	0.08513151925
Bcl-2-M-V	-0.13368623525
Bcl-xL-R-V	-0.29846544025
Beclin-G-C	-0.01688658075
beta-Catenin-R-V	-0.44026754675
Bid-R-C	-0.10704407125
Bim-R-V	0.09430873975
c-Jun_pS73-R-V	0.31528080875
c-Kit-R-V	1.64288691925
c-Met-M-E	-0.08145827825
c-Met_pY1235-R-V	-0.00883844874999996
c-Myc-R-C	1.24137659125
C-Raf-R-V	0.26871074025
C-Raf_pS338-R-V	-0.04152749275
Caspase-7_cleavedD198-R-C	0.67074315275
Caspase-8-M-E	0.01234272125
Caveolin-1-R-V	-1.21415834525
CD20-R-C	-0.00111312024999996
CD31-M-V	-0.0923579292499999
CD49b-M-V	0.0377426897499999
CDK1-R-V	0.81910306875
Chk1-M-C	0.71957509225
Chk1_pS345-R-C	0.12751319625
Chk2-M-E	0.58789385525
Chk2_pT68-R-C	0.15118319325
cIAP-R-V	0.04374131025
Claudin-7-R-V	0.16798551875
Collagen_VI-R-V	-0.16205771675
Cyclin_B1-R-V	0.64982733175
Cyclin_D1-R-V	0.0662309632500001
Cyclin_E1-M-V	-0.14030075025
Cyclin_E2-R-C	0.31791553775
DJ-1-R-E	-0.01743605475
Dvl3-R-V	-0.01003999275
E-Cadherin-R-V	-1.13997642125
eEF2-R-C	0.01483864325
eEF2K-R-V	-0.11088182725
EGFR-R-V	-0.25839079825
EGFR_pY1068-R-C	-0.28573578275
EGFR_pY1173-R-V	-0.03148075175
eIF4E-R-V	0.17653282175
eIF4G-R-C	-0.19759983275
ER-alpha-R-V	0.01013635325
ER-alpha_pS118-R-V	-0.05578469225
ERCC1-M-V	-0.14288080625
ERK2-R-E	-0.0248736927500001
ETS-1-R-V	0.04590888325
FASN-R-V	-0.57053007825
Fibronectin-R-V	-1.24912484925
FoxM1-R-V	-0.02943560825
FOXO3a-R-C	-0.14404565075
FOXO3a_pS318_S321-R-C	-0.00459178474999991
G6PD-M-V	-0.14655158825
GAB2-R-V	0.84148513025
GAPDH-M-C	0.0806747462499999
GATA3-M-V	-0.31478969775
GSK3-alpha-beta-M-V	0.18617850275
GSK3-alpha-beta_pS21_S9-R-V	0.39348477475
GSK3_pS9-R-V	0.09737981775
HER2-M-V	-0.34980607175
