Sample REF	691D928E-0A6B-400C-B5E5-3F4FDCB0DF31
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.17570406275
14-3-3_epsilon-M-C	-0.07373005325
14-3-3_zeta-R-V	-0.42520555175
4E-BP1-R-V	-0.17494411125
4E-BP1_pS65-R-V	0.06743969375
4E-BP1_pT37_T46-R-V	-0.10625788825
4E-BP1_pT70-R-V	0.08424480575
53BP1-R-E	-0.0511737287499999
A-Raf_pS299-R-C	-0.11384460775
ACC_pS79-R-V	-0.14545989875
ACC1-R-E	-0.29004231425
Acetyl-a-Tubulin-Lys40-R-C	0.53292542425
ACVRL1-R-C	0.13668784325
ADAR1-M-V	-0.25003441325
Akt-R-V	0.25946450275
Akt_pS473-R-V	-0.10883844275
Akt_pT308-R-V	0.26000584375
alpha-Catenin-M-V	-0.08347774275
AMPK_alpha-R-C	0.17412568175
AMPK_pT172-R-V	0.44014780575
Annexin-1-M-E	-0.18115362075
Annexin_VII-M-V	-0.33157298425
AR-R-V	-0.31055097075
DIRAS3-M-E	0.08775413775
ASNS-R-V	-0.36995050075
ATM-R-E	0.02105593825
B-Raf-M-C	-0.02161737475
Bad_pS112-R-V	0.12971659275
Bak-R-C	-0.0191053317499998
Bap1-c-4-M-E	0.09425127575
Bax-R-V	-0.37366267925
Bcl-2-M-V	0.35257802725
Bcl-xL-R-V	-0.42451544375
Beclin-G-C	0.27029323775
beta-Catenin-R-V	0.16356167975
Bid-R-C	0.34699761725
Bim-R-V	-0.03824393175
c-Jun_pS73-R-V	-0.0694710867500001
c-Kit-R-V	-0.64236456725
c-Met-M-E	-0.17781439275
c-Met_pY1235-R-V	0.03470377975
c-Myc-R-C	-0.0548389332500001
C-Raf-R-V	-0.0923377812499999
C-Raf_pS338-R-V	0.25922234775
Caspase-7_cleavedD198-R-C	-0.59988824075
Caspase-8-M-E	-0.00326138725000003
Caveolin-1-R-V	0.49717329825
CD20-R-C	-0.19679287475
CD31-M-V	0.0347002542500001
CD49b-M-V	-0.00252558475000009
CDK1-R-V	-0.00721790675000006
Chk1-M-C	-0.41834439425
Chk1_pS345-R-C	-0.14429910525
Chk2-M-E	-0.83359556825
Chk2_pT68-R-C	0.0546822667499999
cIAP-R-V	-0.10565890625
Claudin-7-R-V	0.21440348325
Collagen_VI-R-V	0.00252558475000003
Cyclin_B1-R-V	-0.91259686775
Cyclin_D1-R-V	0.31283828875
Cyclin_E1-M-V	-0.14961628075
Cyclin_E2-R-C	-0.17194617975
DJ-1-R-E	-0.23742493925
Dvl3-R-V	0.24222448075
E-Cadherin-R-V	0.47594718525
eEF2-R-C	-0.42772930725
eEF2K-R-V	-0.17437852575
EGFR-R-V	0.33902081325
EGFR_pY1068-R-C	0.14644162675
EGFR_pY1173-R-V	0.01567169175
eIF4E-R-V	-0.16274470675
eIF4G-R-C	-0.21079581225
ER-alpha-R-V	0.25961822775
ER-alpha_pS118-R-V	-0.29811831575
ERCC1-M-V	0.12065037525
ERK2-R-E	-0.14589968325
ETS-1-R-V	0.02602091075
FASN-R-V	0.18093878725
Fibronectin-R-V	0.96635343825
FoxM1-R-V	0.18628455025
FOXO3a-R-C	0.04785523375
FOXO3a_pS318_S321-R-C	0.0550437597500001
G6PD-M-V	-0.06600031275
GAB2-R-V	-0.02714500425
GAPDH-M-C	-0.75337454825
GATA3-M-V	-0.12514555225
GSK3-alpha-beta-M-V	-0.19914245875
GSK3-alpha-beta_pS21_S9-R-V	-0.25838318775
GSK3_pS9-R-V	-0.02818837175
HER2-M-V	0.76014821975
HER2_pY1248-R-C	0.14044394525
HER3-R-V	-0.02211908825
HER3_pY1289-R-C	0.02852166925
Heregulin-R-V	-0.20354052275
HSP70-R-C	0.63295398025
IGFBP2-R-V	0.00627168275000001
INPP4B-R-V	-0.0629757137499998
IRS1-R-V	0.25241902925
JAB1-M-C	-0.11735933525
JNK_pT183_pY185-R-V	0.10390466225
JNK2-R-C	0.10775228225
Ku80-R-C	-0.47033421575
Lck-R-V	-0.13863361825
LKB1-M-E	0.13736291925
MAPK_pT202_Y204-R-V	0.0107330832499999
MEK1-R-V	0.07392639275
MEK1_pS217_S221-R-V	0.16991430925
MIG-6-M-V	0.02004911375
Mre11-R-C	0.22121043625
MSH2-M-V	-0.48410655225
MSH6-R-C	-0.64163722925
mTOR-R-V	-0.17281789325
mTOR_pS2448-R-C	0.01974941075
MYH11-R-V	1.25356099625
Myosin-IIa_pS1943-R-V	-0.21965054375
N-Cadherin-R-V	0.28379230275
N-Ras-M-V	0.04073855375
NDRG1_pT346-R-V	-0.20391332825
NF-kB-p65_pS536-R-C	0.67025998375
NF2-R-C	-0.34318903225
Notch1-R-V	0.27544339925
P-Cadherin-R-C	-0.10117389625
p21-R-V	0.02677118875
p27-R-V	0.14901139775
p27_pT157-R-C	0.05716175925
p27_pT198-R-V	0.01065848075
p38_MAPK-R-V	0.32017604475
p38_pT180_Y182-R-V	-0.05866419525
p53-R-E	0.0988508352500002
p62-LCK-ligand-M-C	-0.27344187725
p70S6K-R-V	-0.0918046642500001
p70S6K_pT389-R-V	0.13538784325
p90RSK-R-C	0.04304087325
p90RSK_pT359_S363-R-C	0.34557858425
PAI-1-M-E	-0.37905704625
PARP_cleaved-M-E	-0.20970769275
PARP1-R-V	-0.58652977625
Paxillin-R-C	-0.43695512525
PCNA-M-C	-0.20965884825
PDCD4-R-C	-0.68001946225
PDK1-R-V	0.11733784575
PDK1_pS241-R-V	0.19366133625
PEA15-R-V	-0.12873234225
PEA15_pS116-R-V	-0.09716970975
PI3K-p110-alpha-R-C	0.03667411325
PI3K-p85-R-V	-0.15254821675
PKC-alpha-M-V	0.30371722275
PKC-alpha_pS657-R-C	0.32559574525
PKC-delta_pS664-R-V	-0.0938108017500001
PKC-pan_BetaII_pS660-R-V	0.17389408325
PR-R-V	0.06485444075
PRAS40_pT246-R-V	0.01640588925
PRDX1-R-V	-1.00249928075
PREX1-R-E	-0.52783034375
PTEN-R-V	0.22399613475
Rab11-R-E	0.19079232025
