Sample REF	6A193988-A18D-4D18-914F-763613095313
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.00723727525000006
14-3-3_epsilon-M-C	0.17108031025
14-3-3_zeta-R-V	0.02681046475
4E-BP1-R-V	0.18589264925
4E-BP1_pS65-R-V	-0.06596049875
4E-BP1_pT37_T46-R-V	-0.14823959975
4E-BP1_pT70-R-V	-0.17818854775
53BP1-R-E	0.73200940175
A-Raf_pS299-R-C	0.18132664775
ACC_pS79-R-V	-0.26845408525
ACC1-R-E	0.08351642225
Acetyl-a-Tubulin-Lys40-R-C	0.15170484375
ACVRL1-R-C	0.00279388575000006
ADAR1-M-V	0.42194620225
Akt-R-V	0.08421349025
Akt_pS473-R-V	-0.00868206525000004
Akt_pT308-R-V	0.10695511725
alpha-Catenin-M-V	-0.26166166625
AMPK_alpha-R-C	-0.16762573375
AMPK_pT172-R-V	-0.26263075575
Annexin-1-M-E	-0.00569261324999992
Annexin_VII-M-V	0.21128460625
AR-R-V	-0.11991602525
DIRAS3-M-E	-0.0803347787499999
ASNS-R-V	-0.61761028125
ATM-R-E	0.37445132975
B-Raf-M-C	0.34128075975
Bad_pS112-R-V	0.0613757342500001
Bak-R-C	0.0514915927500001
Bap1-c-4-M-E	0.01929760025
Bax-R-V	0.36907596425
Bcl-2-M-V	-0.01587155425
Bcl-xL-R-V	-0.0675601262500001
Beclin-G-C	-0.12147060775
beta-Catenin-R-V	-0.68216212775
Bid-R-C	-0.07126142925
Bim-R-V	0.0155006347500001
c-Jun_pS73-R-V	-0.07605654825
c-Kit-R-V	2.48915851325
c-Met-M-E	-0.16699911225
c-Met_pY1235-R-V	-0.01987767475
c-Myc-R-C	-0.21674913075
C-Raf-R-V	0.45944871125
C-Raf_pS338-R-V	0.04305275225
Caspase-7_cleavedD198-R-C	0.53665621275
Caspase-8-M-E	0.08782796125
Caveolin-1-R-V	-1.13527688825
CD20-R-C	0.20974139175
CD31-M-V	-0.14505455925
CD49b-M-V	-0.23906427625
CDK1-R-V	-0.07033849025
Chk1-M-C	0.69169733425
Chk1_pS345-R-C	0.23413397525
Chk2-M-E	0.69099996125
Chk2_pT68-R-C	0.02003551925
cIAP-R-V	0.22092209925
Claudin-7-R-V	-0.08827854225
Collagen_VI-R-V	-0.27065680475
Cyclin_B1-R-V	0.31068351575
Cyclin_D1-R-V	-0.24520624075
Cyclin_E1-M-V	-0.49283982325
Cyclin_E2-R-C	0.45744751575
DJ-1-R-E	0.01949835425
Dvl3-R-V	0.02104338025
E-Cadherin-R-V	-2.05565396725
eEF2-R-C	-0.03438574175
eEF2K-R-V	0.13322381475
EGFR-R-V	-0.23263358525
EGFR_pY1068-R-C	-0.19558364775
EGFR_pY1173-R-V	0.07403010025
eIF4E-R-V	0.15370842075
eIF4G-R-C	0.02896087825
ER-alpha-R-V	-0.21568849475
ER-alpha_pS118-R-V	0.24359135475
ERCC1-M-V	-0.09670641525
ERK2-R-E	0.0196237912499999
ETS-1-R-V	-0.10172452475
FASN-R-V	-0.20766284625
Fibronectin-R-V	-0.50438081425
FoxM1-R-V	-0.18361059025
FOXO3a-R-C	0.0107831742500001
FOXO3a_pS318_S321-R-C	-0.0791790427499999
G6PD-M-V	-0.07300368125
GAB2-R-V	1.34584190425
GAPDH-M-C	0.21122098025
GATA3-M-V	-0.06288836975
GSK3-alpha-beta-M-V	0.02939374875
GSK3-alpha-beta_pS21_S9-R-V	0.19143315075
GSK3_pS9-R-V	0.15934232375
HER2-M-V	-0.39009206875
HER2_pY1248-R-C	-0.14632246825
HER3-R-V	0.34450610225
HER3_pY1289-R-C	-0.0522567352500001
Heregulin-R-V	-0.02831115425
HSP70-R-C	-0.30679939525
IGFBP2-R-V	0.30278368525
INPP4B-R-V	-0.19212955825
IRS1-R-V	-0.25919644325
JAB1-M-C	-0.15312795175
JNK_pT183_pY185-R-V	-0.14541298325
JNK2-R-C	-0.07312630525
Ku80-R-C	0.37751235675
Lck-R-V	0.53066712025
LKB1-M-E	-0.0195914072499999
MAPK_pT202_Y204-R-V	-0.12477225425
MEK1-R-V	0.39855993125
MEK1_pS217_S221-R-V	0.09379227875
MIG-6-M-V	-0.02274129075
Mre11-R-C	0.05922764675
MSH2-M-V	0.41606898125
MSH6-R-C	0.39683416125
mTOR-R-V	0.37764104125
mTOR_pS2448-R-C	-0.0415362977499999
MYH11-R-V	-1.76774660225
Myosin-IIa_pS1943-R-V	-0.38333989425
N-Cadherin-R-V	-0.13491648075
N-Ras-M-V	-0.0131055817500001
NDRG1_pT346-R-V	0.11862986525
NF-kB-p65_pS536-R-C	0.32384645125
NF2-R-C	-0.0574634027500001
Notch1-R-V	-0.15918823525
P-Cadherin-R-C	0.37120774025
p21-R-V	0.07849488425
p27-R-V	0.0917536922500001
p27_pT157-R-C	0.07807953175
p27_pT198-R-V	-0.07601390975
p38_MAPK-R-V	0.30133181525
p38_pT180_Y182-R-V	0.15059892225
p53-R-E	-0.11896077925
p62-LCK-ligand-M-C	0.47899559925
p70S6K-R-V	0.14296465325
p70S6K_pT389-R-V	0.39814456575
p90RSK-R-C	-0.16829043425
p90RSK_pT359_S363-R-C	-0.30715393725
PAI-1-M-E	-0.11176215775
PARP_cleaved-M-E	0.30041164075
PARP1-R-V	0.73772882625
Paxillin-R-C	0.0857687122499999
PCNA-M-C	-0.23306981875
PDCD4-R-C	0.62871104025
PDK1-R-V	0.15342131525
PDK1_pS241-R-V	0.19322453475
PEA15-R-V	0.15205954425
PEA15_pS116-R-V	0.28589337975
PI3K-p110-alpha-R-C	-0.0393450102499999
PI3K-p85-R-V	0.41040384875
PKC-alpha-M-V	-0.17925523075
PKC-alpha_pS657-R-C	-0.19734036625
PKC-delta_pS664-R-V	0.15590109675
PKC-pan_BetaII_pS660-R-V	0.44740277575
PR-R-V	-0.00279388575000006
PRAS40_pT246-R-V	0.13969260775
PRDX1-R-V	0.11156390975
PREX1-R-E	0.42268823575
PTEN-R-V	0.25932718725
Rab11-R-E	0.0264898347500001
Rab25-R-V	0.20209877275
Rad50-M-V	0.23971564275
Rad51-R-V	-0.30185556775
Raptor-R-V	0.33324828925
Rb-M-E	-0.23136494025
Rb_pS807_S811-R-V	-0.22694742425
RBM15-R-V	0.17020867175
Rictor-R-C	-0.18399926475
Rictor_pT1135-R-V	-0.0103664107500001
S6-R-E	0.10934666075
S6_pS235_S236-R-V	-0.33586726775
S6_pS240_S244-R-V	-0.52077470925
SCD-M-V	-0.0798302432500002
SETD2-R-E	-0.16262631225
SF2-M-V	0.28779525825
Shc_pY317-R-E	-0.14235884275
Smac-M-E	0.41416485375
Smad1-R-V	0.16815748975
Smad3-R-V	0.20668563375
Smad4-M-V	-0.18958999725
Snail-M-E	0.00931936574999992
Src-M-V	0.48903021275
Src_pY416-R-C	0.25510047275
Src_pY527-R-V	-0.50930384475
STAT3_pY705-R-V	-0.0747703587499999
STAT5-alpha-R-V	0.79987458975
Stathmin-R-V	-0.06804388425
Syk-M-V	0.63860263275
TAZ-R-V	-0.14756953425
TFRC-R-V	0.78614697175
TIGAR-R-V	-0.0745104842500001
Transglutaminase-M-V	-0.11275461475
TSC1-R-C	-0.02771541675
TTF1-R-V	-0.21375763025
Tuberin-R-E	0.10846203725
Tuberin_pT1462-R-V	-0.01245932975
VEGFR2-R-V	-0.13940166375
EPPK1-M-E	-0.50013505675
XBP1-G-C	-0.25669278225
XRCC1-R-E	-0.03439954025
YAP-R-E	-0.21723013075
YAP_pS127-R-E	-0.19238561175
YB-1-R-V	0.02072638275
YB-1_pS102-R-V	-0.08048203825
A-Raf-R-V	-0.15618313325
ARID1A-R-C	0.36794079925
B-Raf_pS445-R-V	0.08573360475
Bcl2A1-R-V	-0.09808014375
BRD4-R-V	0.49024128525
c-Abl-R-V	0.13190393775
Caspase-3-R-C	0.0636348892499999
CD26-R-V	-0.11019111525
Chk1_pS296-R-V	0.0800928317499999
COG3-R-V	-0.28908724425
DUSP4-R-V	-0.35243072675
ERCC5-R-C	-0.0580790527500001
IGF1R_pY1135_Y1136-R-V	-0.17769509775
IRF-1-R-C	-0.01040692825
Jak2-R-V	0.27357020775
p16_INK4a-R-V	-0.30725466725
SHP-2_pY542-R-C	-0.27246927925
CDK1_pY15-R-C	0.0516381562500001
