Sample REF	6F6978FF-C181-4002-98F9-FF3F89E419F9
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.34809207475
14-3-3_epsilon-M-C	-0.03239664325
14-3-3_zeta-R-V	0.10589220325
4E-BP1-R-V	-0.17030511025
4E-BP1_pS65-R-V	-0.00219073624999996
4E-BP1_pT37_T46-R-V	-0.17409909625
4E-BP1_pT70-R-V	0.03180218775
53BP1-R-E	-0.86297866175
A-Raf_pS299-R-C	-0.0715034727499999
ACC_pS79-R-V	-0.19129295075
ACC1-R-E	-0.30699109925
Acetyl-a-Tubulin-Lys40-R-C	0.15670265225
ACVRL1-R-C	0.49572436725
ADAR1-M-V	-0.14654405425
Akt-R-V	0.11743104375
Akt_pS473-R-V	0.22710720925
Akt_pT308-R-V	0.28232613875
alpha-Catenin-M-V	0.14498528725
AMPK_alpha-R-C	0.38750061375
AMPK_pT172-R-V	0.69905617475
Annexin-1-M-E	0.38148674325
Annexin_VII-M-V	0.19427847275
AR-R-V	-0.31594303375
DIRAS3-M-E	0.06125931675
ASNS-R-V	0.12801013525
ATM-R-E	-0.35122351075
B-Raf-M-C	-0.27289839775
Bad_pS112-R-V	-0.16015705625
Bak-R-C	0.0767027412500002
Bap1-c-4-M-E	-0.57988946525
Bax-R-V	-0.57529578625
Bcl-2-M-V	0.27738086925
Bcl-xL-R-V	-0.27764902975
Beclin-G-C	0.14256329875
beta-Catenin-R-V	0.05537002975
Bid-R-C	0.05815460725
Bim-R-V	-0.12536814775
c-Jun_pS73-R-V	-0.13177309375
c-Kit-R-V	-0.56986950925
c-Met-M-E	0.02898934425
c-Met_pY1235-R-V	-0.10545007525
c-Myc-R-C	-0.0412006752499999
C-Raf-R-V	-0.48359315525
C-Raf_pS338-R-V	0.09625456875
Caspase-7_cleavedD198-R-C	-0.12556239575
Caspase-8-M-E	0.0191934847500001
Caveolin-1-R-V	2.08583092625
CD20-R-C	-0.27404488575
CD31-M-V	0.0775740762500002
CD49b-M-V	0.20582998225
CDK1-R-V	0.00219073624999999
Chk1-M-C	-0.75749674625
Chk1_pS345-R-C	-0.34059054525
Chk2-M-E	-0.61239766125
Chk2_pT68-R-C	0.09067499375
cIAP-R-V	-0.0435922822499999
Claudin-7-R-V	0.29547923425
Collagen_VI-R-V	0.19225740275
Cyclin_B1-R-V	-1.38777557875
Cyclin_D1-R-V	0.24979553875
Cyclin_E1-M-V	-0.21297902075
Cyclin_E2-R-C	-0.34868384475
DJ-1-R-E	0.15205615675
Dvl3-R-V	-0.0989630902499999
E-Cadherin-R-V	0.82127933725
eEF2-R-C	-0.33170408125
eEF2K-R-V	-0.91186147075
EGFR-R-V	0.30827197625
EGFR_pY1068-R-C	0.36238932375
EGFR_pY1173-R-V	-0.15415110625
eIF4E-R-V	-0.0309573727499999
eIF4G-R-C	-0.34742750725
ER-alpha-R-V	0.39831585775
ER-alpha_pS118-R-V	-0.37077796175
ERCC1-M-V	-0.14969711475
ERK2-R-E	0.09883812175
ETS-1-R-V	0.0650884077500001
FASN-R-V	-0.0434106207499999
Fibronectin-R-V	-0.23970358275
FoxM1-R-V	-0.76148924875
FOXO3a-R-C	0.0880727907500001
FOXO3a_pS318_S321-R-C	0.23078537475
G6PD-M-V	0.04117972825
GAB2-R-V	-0.64787408625
GAPDH-M-C	-0.14984783125
GATA3-M-V	-0.18418161825
GSK3-alpha-beta-M-V	-0.0805961957499999
GSK3-alpha-beta_pS21_S9-R-V	-0.10574729675
GSK3_pS9-R-V	-0.15412177875
HER2-M-V	0.42822234675
HER2_pY1248-R-C	-0.0586022487499999
HER3-R-V	-0.0789437072499999
HER3_pY1289-R-C	0.01536587625
Heregulin-R-V	0.23815238225
HSP70-R-C	0.15731561425
IGFBP2-R-V	-0.26256236225
INPP4B-R-V	0.24523120725
IRS1-R-V	0.19244849825
JAB1-M-C	0.0441596487499998
JNK_pT183_pY185-R-V	0.00970389524999998
JNK2-R-C	0.28494028125
Ku80-R-C	-1.17907293475
Lck-R-V	-0.0691610182499999
LKB1-M-E	0.0310810892500001
MAPK_pT202_Y204-R-V	0.35225665125
MEK1-R-V	0.15649494175
MEK1_pS217_S221-R-V	-0.01963787775
MIG-6-M-V	-0.0632845302499999
Mre11-R-C	0.30484803025
MSH2-M-V	-0.71143133625
MSH6-R-C	-2.01138840725
mTOR-R-V	-0.39684191725
mTOR_pS2448-R-C	0.0382940477500001
MYH11-R-V	2.46184969825
Myosin-IIa_pS1943-R-V	0.28126960025
N-Cadherin-R-V	0.29214575775
N-Ras-M-V	0.0762049917499999
NDRG1_pT346-R-V	0.47971494775
NF-kB-p65_pS536-R-C	0.21319315675
NF2-R-C	-0.44990899225
Notch1-R-V	0.26562010625
P-Cadherin-R-C	-0.12450033525
p21-R-V	0.22662230975
p27-R-V	0.10951223775
p27_pT157-R-C	-0.11053613475
p27_pT198-R-V	-0.0259692872499999
p38_MAPK-R-V	0.14818212975
p38_pT180_Y182-R-V	-0.12610299425
p53-R-E	0.20857689425
p62-LCK-ligand-M-C	-0.0455763242499999
p70S6K-R-V	-0.28185807225
p70S6K_pT389-R-V	0.17130112925
p90RSK-R-C	0.13089500025
p90RSK_pT359_S363-R-C	0.40158953425
PAI-1-M-E	0.57600612175
PARP_cleaved-M-E	-0.15584713575
PARP1-R-V	-0.81465973225
Paxillin-R-C	-0.63971456125
PCNA-M-C	-0.46711363825
PDCD4-R-C	-0.72603002625
PDK1-R-V	0.08600237175
PDK1_pS241-R-V	0.15874697625
PEA15-R-V	-0.04791024025
PEA15_pS116-R-V	-0.11697148975
PI3K-p110-alpha-R-C	0.08465024025
PI3K-p85-R-V	0.0742094572500001
PKC-alpha-M-V	0.79197851375
PKC-alpha_pS657-R-C	0.90894896625
PKC-delta_pS664-R-V	-0.40462930175
PKC-pan_BetaII_pS660-R-V	0.10899079925
PR-R-V	0.23391279675
PRAS40_pT246-R-V	-0.20584395775
PRDX1-R-V	-0.32040179575
PREX1-R-E	-0.29294805775
PTEN-R-V	-0.10803511125
Rab11-R-E	0.00432052225000007
Rab25-R-V	0.52597547825
Rad50-M-V	-0.01177907975
Rad51-R-V	0.51199489975
Raptor-R-V	-0.23533854125
Rb-M-E	0.0288695562500001
Rb_pS807_S811-R-V	-0.57455115775
RBM15-R-V	-0.89289140975
Rictor-R-C	3.10132247375
Rictor_pT1135-R-V	-0.34948993025
S6-R-E	-1.13318755375
S6_pS235_S236-R-V	-0.0851260122500001
S6_pS240_S244-R-V	0.21489123225
SCD-M-V	-0.0152042327500001
SETD2-R-E	0.0241389692500001
SF2-M-V	0.0350012227500001
Shc_pY317-R-E	0.0335510107499999
Smac-M-E	0.16064821025
Smad1-R-V	-0.22715254775
Smad3-R-V	-0.36632252875
Smad4-M-V	-0.10824735875
Snail-M-E	-0.26592103975
Src-M-V	0.27098434325
Src_pY416-R-C	0.0751278932500002
Src_pY527-R-V	0.35235034275
STAT3_pY705-R-V	0.39779708675
STAT5-alpha-R-V	-0.47565620875
Stathmin-R-V	-0.0735186427499999
Syk-M-V	-0.35021763175
TAZ-R-V	0.10282583725
TFRC-R-V	-0.44189510775
TIGAR-R-V	0.15618760525
Transglutaminase-M-V	0.40889529075
TSC1-R-C	0.19725041575
TTF1-R-V	0.0810902302500001
Tuberin-R-E	-0.80945146725
Tuberin_pT1462-R-V	-0.0922438242499998
VEGFR2-R-V	0.0811697427500001
EPPK1-M-E	-0.23639592825
XBP1-G-C	0.14655333025
XRCC1-R-E	-0.28401127675
YAP-R-E	0.13129187775
YAP_pS127-R-E	0.44754847775
YB-1-R-V	0.0052934232500001
YB-1_pS102-R-V	-0.0700117337499999
A-Raf-R-V	0.0136448002500001
ARID1A-R-C	-0.42103996025
B-Raf_pS445-R-V	-0.0161352697499999
Bcl2A1-R-V	0.26123326375
BRD4-R-V	-0.84250498925
c-Abl-R-V	-0.08717924675
Caspase-3-R-C	-0.04859289425
CD26-R-V	0.36225752125
Chk1_pS296-R-V	-0.09542383475
COG3-R-V	-0.23476895875
DUSP4-R-V	-0.12691527825
ERCC5-R-C	0.02179083075
IGF1R_pY1135_Y1136-R-V	0.15112230175
IRF-1-R-C	-0.07185686075
Jak2-R-V	-0.41039622075
p16_INK4a-R-V	0.0832470462500002
SHP-2_pY542-R-C	0.12302882925
CDK1_pY15-R-C	-0.27119189025
