Sample REF	6FA4F019-B969-4B5A-B15A-0949E405F729
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.0726261352500001
14-3-3_epsilon-M-C	0.0237588677500001
14-3-3_zeta-R-V	-0.11555740775
4E-BP1-R-V	-0.0232587732499999
4E-BP1_pS65-R-V	-0.13893963325
4E-BP1_pT37_T46-R-V	0.0371709877500001
4E-BP1_pT70-R-V	-0.10470613325
53BP1-R-E	-0.43283793375
A-Raf_pS299-R-C	0.0378631802500001
ACC_pS79-R-V	0.03814758425
ACC1-R-E	0.24500117275
Acetyl-a-Tubulin-Lys40-R-C	-0.54367809275
ACVRL1-R-C	0.04819614125
ADAR1-M-V	-0.04174984425
Akt-R-V	-0.17523454325
Akt_pS473-R-V	0.24124201425
Akt_pT308-R-V	0.19475808975
alpha-Catenin-M-V	0.000482982249999958
AMPK_alpha-R-C	-0.01361538025
AMPK_pT172-R-V	-0.36213292725
Annexin-1-M-E	0.28313812225
Annexin_VII-M-V	-0.08701907125
AR-R-V	-0.23574333475
DIRAS3-M-E	0.10643188275
ASNS-R-V	0.50907584525
ATM-R-E	-0.50689509275
B-Raf-M-C	-0.15328361775
Bad_pS112-R-V	-0.00780977624999998
Bak-R-C	0.0256058012500001
Bap1-c-4-M-E	-0.08778656925
Bax-R-V	-0.11035895125
Bcl-2-M-V	-0.08847333875
Bcl-xL-R-V	0.08193836225
Beclin-G-C	0.02758579775
beta-Catenin-R-V	0.06404299375
Bid-R-C	0.13316573425
Bim-R-V	0.21651759125
c-Jun_pS73-R-V	0.14861708725
c-Kit-R-V	-0.77436486125
c-Met-M-E	-0.12452617775
c-Met_pY1235-R-V	-0.00599667624999997
c-Myc-R-C	0.22012803075
C-Raf-R-V	0.00679196675000013
C-Raf_pS338-R-V	0.13486689175
Caspase-7_cleavedD198-R-C	-0.89044107375
Caspase-8-M-E	0.02541467675
Caveolin-1-R-V	-0.13741429375
CD20-R-C	-0.0376419967499999
CD31-M-V	-0.01367850675
CD49b-M-V	0.13043213025
CDK1-R-V	0.20266598525
Chk1-M-C	-0.17564052525
Chk1_pS345-R-C	0.0597106127500001
Chk2-M-E	0.15671189875
Chk2_pT68-R-C	0.60890041375
cIAP-R-V	-0.05790130425
Claudin-7-R-V	0.95619097125
Collagen_VI-R-V	-0.0307575372499999
Cyclin_B1-R-V	0.39754869225
Cyclin_D1-R-V	-0.08412519525
Cyclin_E1-M-V	0.32268133825
Cyclin_E2-R-C	-0.15526443075
DJ-1-R-E	0.01196937275
Dvl3-R-V	-0.05902556025
E-Cadherin-R-V	0.98252060225
eEF2-R-C	-0.29051680025
eEF2K-R-V	-0.59286395575
EGFR-R-V	0.03447485025
EGFR_pY1068-R-C	0.0345891727499999
EGFR_pY1173-R-V	-0.04996070625
eIF4E-R-V	0.00188386325000006
eIF4G-R-C	0.52641308975
ER-alpha-R-V	0.16573995375
ER-alpha_pS118-R-V	-0.08571744075
ERCC1-M-V	-0.09045248675
ERK2-R-E	-0.17916415025
ETS-1-R-V	-0.00462375824999997
FASN-R-V	0.68286180325
Fibronectin-R-V	0.61008863925
FoxM1-R-V	0.25570963525
FOXO3a-R-C	-0.00827245224999987
FOXO3a_pS318_S321-R-C	-0.14166389525
G6PD-M-V	-0.0270683177499999
GAB2-R-V	-0.45970061825
GAPDH-M-C	0.46487797275
GATA3-M-V	-0.04171034325
GSK3-alpha-beta-M-V	-0.39846305575
GSK3-alpha-beta_pS21_S9-R-V	-0.31837906575
GSK3_pS9-R-V	0.0329331622500001
HER2-M-V	0.26076314275
HER2_pY1248-R-C	0.18419983125
HER3-R-V	0.09774940375
HER3_pY1289-R-C	0.03614039425
Heregulin-R-V	0.10355567125
HSP70-R-C	-0.40102847175
IGFBP2-R-V	0.10510629875
INPP4B-R-V	-0.0869523427499998
IRS1-R-V	-0.01955516875
JAB1-M-C	0.0579157557499999
JNK_pT183_pY185-R-V	0.02202377625
JNK2-R-C	-0.05092476175
Ku80-R-C	-0.22154110875
Lck-R-V	-0.48372278725
LKB1-M-E	0.00878796225000003
MAPK_pT202_Y204-R-V	0.55860940225
MEK1-R-V	0.15289113075
MEK1_pS217_S221-R-V	0.19610817025
MIG-6-M-V	0.17300413575
Mre11-R-C	-0.0669561717499999
MSH2-M-V	0.28779901075
MSH6-R-C	0.29139801875
mTOR-R-V	-0.33144241425
mTOR_pS2448-R-C	-0.14798385625
MYH11-R-V	-2.54228767775
Myosin-IIa_pS1943-R-V	0.16776568925
N-Cadherin-R-V	0.05795011675
N-Ras-M-V	0.14116956075
NDRG1_pT346-R-V	0.12671589575
NF-kB-p65_pS536-R-C	0.00985924275000005
NF2-R-C	-0.0327532562500001
Notch1-R-V	0.26516668025
P-Cadherin-R-C	-0.07237069525
p21-R-V	-0.34750494025
p27-R-V	-0.24869371225
p27_pT157-R-C	0.03646991825
p27_pT198-R-V	-0.02537060525
p38_MAPK-R-V	-0.0876417682500001
p38_pT180_Y182-R-V	0.15643641775
p53-R-E	0.0896617412500001
p62-LCK-ligand-M-C	-0.07176918225
p70S6K-R-V	0.09375301275
p70S6K_pT389-R-V	0.0835386002500001
p90RSK-R-C	0.0804707822500001
p90RSK_pT359_S363-R-C	0.19223499825
PAI-1-M-E	1.72399192775
PARP_cleaved-M-E	0.0525498942499999
PARP1-R-V	0.14794153475
Paxillin-R-C	0.35359009875
PCNA-M-C	0.03588037475
PDCD4-R-C	-0.95315443925
PDK1-R-V	-0.00656072825000001
PDK1_pS241-R-V	-0.01012081075
PEA15-R-V	0.08222277475
PEA15_pS116-R-V	-0.06654721575
PI3K-p110-alpha-R-C	-0.11872905975
PI3K-p85-R-V	-0.33959005175
PKC-alpha-M-V	-0.19242734325
PKC-alpha_pS657-R-C	-0.22458568675
PKC-delta_pS664-R-V	-0.23950060275
PKC-pan_BetaII_pS660-R-V	-0.07379499975
PR-R-V	0.00615673075000003
PRAS40_pT246-R-V	0.09883247825
PRDX1-R-V	0.01615864925
PREX1-R-E	-0.66793997975
PTEN-R-V	-0.18304177125
Rab11-R-E	0.0422040532500001
Rab25-R-V	0.0476812592500001
Rad50-M-V	-0.12329162175
Rad51-R-V	0.26684370975
Raptor-R-V	-0.27223043325
Rb-M-E	-0.0369329057499999
Rb_pS807_S811-R-V	-0.14008610775
RBM15-R-V	-0.0206430757499999
Rictor-R-C	-0.41728999925
Rictor_pT1135-R-V	0.13945065575
S6-R-E	-0.26034026875
S6_pS235_S236-R-V	0.28282813175
S6_pS240_S244-R-V	0.0894863222499999
SCD-M-V	-0.0365386997500003
SETD2-R-E	0.00564553325000006
SF2-M-V	-0.06421815825
Shc_pY317-R-E	-0.00560097725
Smac-M-E	-0.23541883275
Smad1-R-V	-0.14202754875
Smad3-R-V	-0.0891319627499999
Smad4-M-V	0.0397003272500001
Snail-M-E	0.08718272125
Src-M-V	-0.38653890775
Src_pY416-R-C	-0.18355268875
Src_pY527-R-V	-0.0971430552499999
STAT3_pY705-R-V	-0.15757490825
STAT5-alpha-R-V	-0.47298569875
Stathmin-R-V	0.12593751925
Syk-M-V	-0.47763225775
TAZ-R-V	0.13726504325
TFRC-R-V	0.23980156525
TIGAR-R-V	0.17372247825
Transglutaminase-M-V	-0.00293291424999995
TSC1-R-C	-0.02406294825
TTF1-R-V	0.00894241625000011
Tuberin-R-E	-0.19110697625
Tuberin_pT1462-R-V	0.16323546275
VEGFR2-R-V	0.03256822775
EPPK1-M-E	1.32205426975
XBP1-G-C	0.05983040125
XRCC1-R-E	-0.03633481475
YAP-R-E	0.00703682275000003
YAP_pS127-R-E	-0.15543934025
YB-1-R-V	0.15832085425
YB-1_pS102-R-V	0.29295917225
A-Raf-R-V	-0.19109623075
ARID1A-R-C	-0.000482982249999958
B-Raf_pS445-R-V	-0.12067716875
Bcl2A1-R-V	0.46184543275
BRD4-R-V	-0.13169337625
c-Abl-R-V	-0.10727143175
Caspase-3-R-C	0.37979581075
CD26-R-V	-0.0524270647500001
Chk1_pS296-R-V	0.05887903125
COG3-R-V	-0.03776696975
DUSP4-R-V	0.33672474575
ERCC5-R-C	-0.14519636525
IGF1R_pY1135_Y1136-R-V	0.04107771275
IRF-1-R-C	-0.06791333475
Jak2-R-V	-0.32025879475
p16_INK4a-R-V	0.29158500325
SHP-2_pY542-R-C	0.17192367225
CDK1_pY15-R-C	0.0668118787500001
