Sample REF	7001516C-7B9D-4306-A9B8-FE8778EB5F2E
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.1810522485
14-3-3_epsilon-M-C	0.0709151825
14-3-3_zeta-R-V	0.081700545
4E-BP1-R-V	-0.2607525165
4E-BP1_pS65-R-V	-0.1833352785
4E-BP1_pT37_T46-R-V	0.1702461605
4E-BP1_pT70-R-V	-0.3695179505
53BP1-R-E	-0.130707367
A-Raf_pS299-R-C	-0.092572206
ACC_pS79-R-V	0.090868095
ACC1-R-E	0.1308993445
Acetyl-a-Tubulin-Lys40-R-C	0.2072668
ACVRL1-R-C	-0.134723096
ADAR1-M-V	-0.0149234145
Akt-R-V	-0.0496784445
Akt_pS473-R-V	0.560827421
Akt_pT308-R-V	0.3122745425
alpha-Catenin-M-V	0.142529867
AMPK_alpha-R-C	-0.2040160945
AMPK_pT172-R-V	-0.2918835535
Annexin-1-M-E	0.021377591
Annexin_VII-M-V	-0.0321699215
AR-R-V	0.075039947
DIRAS3-M-E	0.00110917850000014
ASNS-R-V	0.372071245
ATM-R-E	0.490166238
B-Raf-M-C	0.127954059
Bad_pS112-R-V	0.0323532905
Bak-R-C	-0.0590931359999999
Bap1-c-4-M-E	-0.0708822725
Bax-R-V	-0.1228932905
Bcl-2-M-V	-0.169429506
Bcl-xL-R-V	-0.03864513
Beclin-G-C	0.1938590145
beta-Catenin-R-V	0.1759373735
Bid-R-C	-0.236110514
Bim-R-V	0.048921284
c-Jun_pS73-R-V	-0.189877961
c-Kit-R-V	1.3132888645
c-Met-M-E	0.00847020300000001
c-Met_pY1235-R-V	-0.0063853545
c-Myc-R-C	-0.1288438155
C-Raf-R-V	0.0774199275
C-Raf_pS338-R-V	-0.1054750415
Caspase-7_cleavedD198-R-C	0.484684885
Caspase-8-M-E	-0.0307200355
Caveolin-1-R-V	0.248262613
CD20-R-C	0.154510844
CD31-M-V	-0.122330093
CD49b-M-V	-0.104917294
CDK1-R-V	-0.05184349
Chk1-M-C	0.0435393285
Chk1_pS345-R-C	-0.0585449355
Chk2-M-E	-0.2077356425
