Sample REF	75E62CC7-B129-45B2-8A57-8CD39A3D8FBE
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.10211912875
14-3-3_epsilon-M-C	0.10760427425
14-3-3_zeta-R-V	0.0780607057500001
4E-BP1-R-V	0.04463942525
4E-BP1_pS65-R-V	-0.07503228775
4E-BP1_pT37_T46-R-V	-0.10232858075
4E-BP1_pT70-R-V	0.11810412425
53BP1-R-E	-0.35054643425
A-Raf_pS299-R-C	-0.13613710025
ACC_pS79-R-V	0.01225187575
ACC1-R-E	0.04239785825
Acetyl-a-Tubulin-Lys40-R-C	-1.24466828825
ACVRL1-R-C	0.00695773875
ADAR1-M-V	-0.00911727774999999
Akt-R-V	0.02881115325
Akt_pS473-R-V	-0.18761575825
Akt_pT308-R-V	-0.11298447775
alpha-Catenin-M-V	-0.11638665225
AMPK_alpha-R-C	0.11901848425
AMPK_pT172-R-V	0.32368316625
Annexin-1-M-E	0.52391818775
Annexin_VII-M-V	0.28114919325
AR-R-V	-0.00401811824999998
DIRAS3-M-E	-0.0863038967499999
ASNS-R-V	0.26625959075
ATM-R-E	0.43057351475
B-Raf-M-C	-0.10368157425
Bad_pS112-R-V	-0.04850105475
Bak-R-C	-0.0148732902499999
Bap1-c-4-M-E	0.0127142132500001
Bax-R-V	0.0153268472500001
Bcl-2-M-V	0.20665490375
Bcl-xL-R-V	0.44680588975
Beclin-G-C	-0.09812076475
beta-Catenin-R-V	0.25777082925
Bid-R-C	-0.08856025825
Bim-R-V	0.11048280575
c-Jun_pS73-R-V	-0.12935967025
c-Kit-R-V	-0.48258543675
c-Met-M-E	-0.14776985025
c-Met_pY1235-R-V	-0.09682403575
c-Myc-R-C	-0.06820199075
C-Raf-R-V	0.01442241525
C-Raf_pS338-R-V	-0.05038957475
Caspase-7_cleavedD198-R-C	1.20087711575
Caspase-8-M-E	0.11752044125
Caveolin-1-R-V	0.61659517975
CD20-R-C	-0.04762466625
CD31-M-V	0.01620712075
CD49b-M-V	0.14397643175
CDK1-R-V	0.05062506675
Chk1-M-C	-0.11455614975
Chk1_pS345-R-C	-0.13876888675
Chk2-M-E	-0.32991387675
Chk2_pT68-R-C	-0.17185119975
cIAP-R-V	-0.01069019775
Claudin-7-R-V	0.15891688475
Collagen_VI-R-V	0.27433785925
Cyclin_B1-R-V	-0.11683833625
Cyclin_D1-R-V	-0.34461655675
Cyclin_E1-M-V	-0.10702600625
Cyclin_E2-R-C	-0.14202862125
DJ-1-R-E	0.0332456142500001
Dvl3-R-V	-0.16345357175
E-Cadherin-R-V	0.68883026975
eEF2-R-C	0.10034966825
eEF2K-R-V	0.01365431175
EGFR-R-V	0.02669012675
EGFR_pY1068-R-C	-0.11947040275
EGFR_pY1173-R-V	-0.09939457675
eIF4E-R-V	-0.00534757124999996
eIF4G-R-C	0.31152203725
ER-alpha-R-V	-0.10807295575
ER-alpha_pS118-R-V	-0.02980795025
ERCC1-M-V	0.09999631975
ERK2-R-E	0.16070930725
ETS-1-R-V	0.05437970925
FASN-R-V	0.15006562775
Fibronectin-R-V	0.64112228375
FoxM1-R-V	0.03825856475
FOXO3a-R-C	-0.0502518107499999
FOXO3a_pS318_S321-R-C	0.0883285622500001
G6PD-M-V	-0.03657629225
GAB2-R-V	-0.20318880675
GAPDH-M-C	0.42778629525
GATA3-M-V	0.12406145925
GSK3-alpha-beta-M-V	-0.03796596325
GSK3-alpha-beta_pS21_S9-R-V	0.04800503975
GSK3_pS9-R-V	0.01667203975
HER2-M-V	-0.35147293675
HER2_pY1248-R-C	-0.22340191325
HER3-R-V	-0.02750023275
HER3_pY1289-R-C	-0.10838618325
Heregulin-R-V	-0.13844654025
HSP70-R-C	-0.11462867525
IGFBP2-R-V	0.07316208925
INPP4B-R-V	0.13499728875
IRS1-R-V	-0.00430704524999997
JAB1-M-C	-0.11155772675
JNK_pT183_pY185-R-V	-0.08169399925
JNK2-R-C	0.15671579575
Ku80-R-C	-0.20343871725
Lck-R-V	0.73464691225
LKB1-M-E	-0.12112143825
MAPK_pT202_Y204-R-V	-0.30558581925
MEK1-R-V	0.21185055725
MEK1_pS217_S221-R-V	-0.14749903425
MIG-6-M-V	0.03633283125
Mre11-R-C	-0.11825149125
MSH2-M-V	-0.0935952247499999
MSH6-R-C	0.0878017512500004
mTOR-R-V	-0.20534717475
mTOR_pS2448-R-C	-0.0841529317499999
MYH11-R-V	1.68066567975
Myosin-IIa_pS1943-R-V	-0.16423680225
N-Cadherin-R-V	-0.21449835275
N-Ras-M-V	-0.12137343875
NDRG1_pT346-R-V	-0.0193323477499996
NF-kB-p65_pS536-R-C	0.02184581425
NF2-R-C	0.15262695925
Notch1-R-V	0.10292375175
P-Cadherin-R-C	-0.11569590775
p21-R-V	-0.63482877975
p27-R-V	0.24963873325
p27_pT157-R-C	-0.06748960525
p27_pT198-R-V	0.09977812525
p38_MAPK-R-V	0.34863313325
p38_pT180_Y182-R-V	0.97944653925
p53-R-E	-0.0267033162499997
p62-LCK-ligand-M-C	0.13810918625
p70S6K-R-V	0.09598398625
p70S6K_pT389-R-V	-0.13774603625
p90RSK-R-C	0.11216968475
p90RSK_pT359_S363-R-C	-0.26241422425
PAI-1-M-E	1.02485210425
PARP_cleaved-M-E	-0.0743005982500001
PARP1-R-V	-0.0289707157499999
Paxillin-R-C	0.49010117325
PCNA-M-C	0.01577679725
PDCD4-R-C	0.30180511625
PDK1-R-V	0.19167892625
PDK1_pS241-R-V	0.24858584775
PEA15-R-V	0.39654557725
PEA15_pS116-R-V	0.15052910275
PI3K-p110-alpha-R-C	0.04802910675
PI3K-p85-R-V	0.58690600575
PKC-alpha-M-V	0.38139520925
PKC-alpha_pS657-R-C	0.51384207275
PKC-delta_pS664-R-V	0.25142339475
PKC-pan_BetaII_pS660-R-V	0.36046890075
PR-R-V	-0.05145618075
PRAS40_pT246-R-V	-0.12329954825
PRDX1-R-V	0.04114106875
PREX1-R-E	0.05197984475
PTEN-R-V	0.26078005425
