Sample REF	77A63384-A591-43F2-80D3-E35FED6DC28F
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.08918479575
14-3-3_epsilon-M-C	0.24780239975
14-3-3_zeta-R-V	-0.05987047675
4E-BP1-R-V	-0.07828372525
4E-BP1_pS65-R-V	-0.0150379732500001
4E-BP1_pT37_T46-R-V	0.24107392175
4E-BP1_pT70-R-V	-0.06309281125
53BP1-R-E	-0.00390932574999997
A-Raf_pS299-R-C	-0.0910792197500001
ACC_pS79-R-V	-0.35087804075
ACC1-R-E	-0.22230062625
Acetyl-a-Tubulin-Lys40-R-C	-0.29659844375
ACVRL1-R-C	0.14611338225
ADAR1-M-V	0.000759154749999935
Akt-R-V	-0.04210312625
Akt_pS473-R-V	0.0820669002499999
Akt_pT308-R-V	-0.02971082025
alpha-Catenin-M-V	-0.0955370027499999
AMPK_alpha-R-C	0.0953969747499999
AMPK_pT172-R-V	-0.33912278025
Annexin-1-M-E	0.21533554025
Annexin_VII-M-V	0.27516553475
AR-R-V	-0.10112496575
DIRAS3-M-E	-0.00936585524999994
ASNS-R-V	0.05227882325
ATM-R-E	0.46757055925
B-Raf-M-C	-0.0599943317500001
Bad_pS112-R-V	-0.08752917425
Bak-R-C	-0.000661890749999949
Bap1-c-4-M-E	-0.15622313825
Bax-R-V	-0.27869939925
Bcl-2-M-V	0.22495431225
Bcl-xL-R-V	-0.47661835775
Beclin-G-C	-0.0185087332500001
beta-Catenin-R-V	-1.05208098825
Bid-R-C	-0.34899367175
Bim-R-V	-0.24517965075
c-Jun_pS73-R-V	-0.13131908675
c-Kit-R-V	1.28709660575
c-Met-M-E	0.04625474225
c-Met_pY1235-R-V	-0.05877523425
c-Myc-R-C	-0.07344166125
C-Raf-R-V	0.10482775575
C-Raf_pS338-R-V	0.02736558975
Caspase-7_cleavedD198-R-C	-0.11942868875
Caspase-8-M-E	0.00993415074999998
Caveolin-1-R-V	-0.19574493775
CD20-R-C	-0.06684935175
CD31-M-V	-0.00355198475000001
CD49b-M-V	-0.14956814875
CDK1-R-V	-0.15135143375
Chk1-M-C	-0.10571979925
Chk1_pS345-R-C	-0.03685612225
