Sample REF	7AF1B59F-6168-4909-A2B2-51EAAEAD465B
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.10037621875
14-3-3_epsilon-M-C	0.26628989725
14-3-3_zeta-R-V	-0.0232112622499999
4E-BP1-R-V	0.70795350125
4E-BP1_pS65-R-V	-0.00891990574999996
4E-BP1_pT37_T46-R-V	0.23119912825
4E-BP1_pT70-R-V	0.22149547025
53BP1-R-E	0.18039284375
A-Raf_pS299-R-C	-0.0810102332499998
ACC_pS79-R-V	-0.16319287525
ACC1-R-E	-0.18512137275
Acetyl-a-Tubulin-Lys40-R-C	-0.41168808625
ACVRL1-R-C	-0.06307136825
ADAR1-M-V	0.34133072925
Akt-R-V	-0.15831794675
Akt_pS473-R-V	-0.26633816825
Akt_pT308-R-V	-0.39331775675
alpha-Catenin-M-V	0.05300292175
AMPK_alpha-R-C	-0.26633478975
AMPK_pT172-R-V	-0.67804436175
Annexin-1-M-E	-0.30730705825
Annexin_VII-M-V	-0.0991159127499999
AR-R-V	0.00434600775000005
DIRAS3-M-E	-0.00179576175000001
ASNS-R-V	0.98856149875
ATM-R-E	-0.08288172725
B-Raf-M-C	0.62476884775
Bad_pS112-R-V	-0.0996181867499999
Bak-R-C	0.0403751267500002
Bap1-c-4-M-E	0.31590338625
Bax-R-V	0.59408983825
Bcl-2-M-V	-0.15175464725
Bcl-xL-R-V	-0.34454327725
Beclin-G-C	0.16618112425
beta-Catenin-R-V	-0.39662730275
Bid-R-C	-0.03870275425
Bim-R-V	0.33425390675
c-Jun_pS73-R-V	-0.00590414025000002
c-Kit-R-V	0.58174111425
c-Met-M-E	-0.10833617025
c-Met_pY1235-R-V	0.04005778725
c-Myc-R-C	-0.0999588607499999
C-Raf-R-V	0.35945060625
C-Raf_pS338-R-V	-0.04560706275
Caspase-7_cleavedD198-R-C	0.48543760775
Caspase-8-M-E	0.25676214925
Caveolin-1-R-V	-0.57338240925
CD20-R-C	0.26748652175
CD31-M-V	-0.04134418925
CD49b-M-V	-0.0655999722500001
CDK1-R-V	0.16666770475
Chk1-M-C	0.43560880825
Chk1_pS345-R-C	0.12513469025
Chk2-M-E	1.48420712025
Chk2_pT68-R-C	0.10203360825
cIAP-R-V	0.03572946525
Claudin-7-R-V	0.88946299375
Collagen_VI-R-V	-0.35213977475
Cyclin_B1-R-V	0.63325322875
Cyclin_D1-R-V	0.00691563225000008
Cyclin_E1-M-V	0.38810772375
Cyclin_E2-R-C	0.67993572675
DJ-1-R-E	-0.0863389447499999
Dvl3-R-V	-0.09426221975
E-Cadherin-R-V	0.42026480775
eEF2-R-C	0.41059129725
eEF2K-R-V	1.07345486675
EGFR-R-V	-0.12907552925
EGFR_pY1068-R-C	-0.0264132337500001
EGFR_pY1173-R-V	0.04140590925
eIF4E-R-V	0.0837449657500001
eIF4G-R-C	0.38315676725
ER-alpha-R-V	-0.21270072075
ER-alpha_pS118-R-V	0.31332396875
ERCC1-M-V	0.16013114475
ERK2-R-E	-0.07684058375
ETS-1-R-V	-0.09329178275
FASN-R-V	-0.14874776725
Fibronectin-R-V	-0.67533782925
FoxM1-R-V	0.85009918575
FOXO3a-R-C	-0.0414099907499999
FOXO3a_pS318_S321-R-C	-0.13806783475
G6PD-M-V	-0.10531068025
GAB2-R-V	0.80256962525
GAPDH-M-C	1.05819311925
GATA3-M-V	-0.44794551875
GSK3-alpha-beta-M-V	0.24561336175
GSK3-alpha-beta_pS21_S9-R-V	0.52251488975
GSK3_pS9-R-V	-0.18969771825
HER2-M-V	-0.24615721875
HER2_pY1248-R-C	-0.00561255225000007
HER3-R-V	0.06531839925
HER3_pY1289-R-C	-0.02461626525
Heregulin-R-V	0.08725931475
HSP70-R-C	-0.47639752725
IGFBP2-R-V	-0.81037101475
INPP4B-R-V	-0.15067540725
IRS1-R-V	0.21645219975
JAB1-M-C	0.0411947002499999
JNK_pT183_pY185-R-V	-0.00217593824999995
JNK2-R-C	-0.11733167225
Ku80-R-C	0.23081265275
Lck-R-V	-0.12010739175
LKB1-M-E	-0.11250578225
MAPK_pT202_Y204-R-V	-0.35312832425
MEK1-R-V	0.26501820525
MEK1_pS217_S221-R-V	-0.11746366525
MIG-6-M-V	0.0651783172500001
Mre11-R-C	-0.0181665622499999
MSH2-M-V	0.41167124025
MSH6-R-C	0.59094927625
mTOR-R-V	0.21962301225
mTOR_pS2448-R-C	0.0371238672500001
MYH11-R-V	-2.06401711225
Myosin-IIa_pS1943-R-V	-0.20886408025
N-Cadherin-R-V	0.0188720542500001
N-Ras-M-V	-0.0533695407499999
NDRG1_pT346-R-V	-0.32351760575
NF-kB-p65_pS536-R-C	-0.36175896075
NF2-R-C	0.40459165025
Notch1-R-V	0.00967523375000007
P-Cadherin-R-C	0.60014300525
p21-R-V	0.58332944225
p27-R-V	-0.16965766875
p27_pT157-R-C	0.10468480275
p27_pT198-R-V	0.06589546025
p38_MAPK-R-V	-0.24022968075
p38_pT180_Y182-R-V	-0.50132095375
p53-R-E	-0.03228008625
p62-LCK-ligand-M-C	-0.19659588075
p70S6K-R-V	0.10873578025
p70S6K_pT389-R-V	-0.0346313472499999
p90RSK-R-C	-0.12820079425
p90RSK_pT359_S363-R-C	-0.17895241925
PAI-1-M-E	-0.54853323975
PARP_cleaved-M-E	0.16360124475
PARP1-R-V	0.42066630225
Paxillin-R-C	0.0217025032499999
PCNA-M-C	0.16207248425
PDCD4-R-C	0.83459355825
PDK1-R-V	-0.16764483975
PDK1_pS241-R-V	-0.25022949325
PEA15-R-V	-0.16508369175
PEA15_pS116-R-V	-0.07935337525
PI3K-p110-alpha-R-C	0.13272279375
PI3K-p85-R-V	-0.34328199325
PKC-alpha-M-V	-0.41944663975
PKC-alpha_pS657-R-C	-0.69453761725
PKC-delta_pS664-R-V	0.07801054375
PKC-pan_BetaII_pS660-R-V	-0.28513280325
PR-R-V	-0.03421415975
PRAS40_pT246-R-V	0.22993001875
PRDX1-R-V	0.14021857275
PREX1-R-E	1.03509663675
PTEN-R-V	-0.15261350875
Rab11-R-E	0.0560271397500001
Rab25-R-V	0.60325216275
Rad50-M-V	-0.06892575325
Rad51-R-V	0.0390893392500001
Raptor-R-V	0.0971002732500001
Rb-M-E	0.04119598875
Rb_pS807_S811-R-V	0.61876799475
RBM15-R-V	0.0187943627500001
Rictor-R-C	-0.28890014475
Rictor_pT1135-R-V	-0.20200980975
S6-R-E	0.27718848375
S6_pS235_S236-R-V	-0.73153669775
S6_pS240_S244-R-V	-0.42104129525
SCD-M-V	0.22466403175
SETD2-R-E	0.04935230375
SF2-M-V	0.26560604825
Shc_pY317-R-E	0.23368560625
Smac-M-E	0.18357524575
Smad1-R-V	0.13103575275
Smad3-R-V	0.37133902775
Smad4-M-V	0.18531516275
Snail-M-E	0.21608299975
Src-M-V	-0.15313262325
Src_pY416-R-C	0.59035609675
Src_pY527-R-V	-0.52039115275
STAT3_pY705-R-V	-0.27267371175
STAT5-alpha-R-V	-0.20639307125
Stathmin-R-V	0.0420338007500001
Syk-M-V	-0.0822275242500002
TAZ-R-V	-0.0565512492499999
TFRC-R-V	-0.08429621725
TIGAR-R-V	0.20290360575
Transglutaminase-M-V	-0.07937389575
TSC1-R-C	-0.04871820575
TTF1-R-V	0.0955055577500001
