Sample REF	7C0ACF92-67F1-4542-B285-79F4ACCB64CB
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.1631888425
14-3-3_epsilon-M-C	0.1687414565
14-3-3_zeta-R-V	-0.054942389
4E-BP1-R-V	-0.0713260425
4E-BP1_pS65-R-V	0.0651707754999999
4E-BP1_pT37_T46-R-V	-0.1605008395
4E-BP1_pT70-R-V	-0.1735990715
53BP1-R-E	-0.099919095
A-Raf_pS299-R-C	0.046797706
ACC_pS79-R-V	-0.244461544
ACC1-R-E	-0.0536773325
Acetyl-a-Tubulin-Lys40-R-C	-0.12655518
ACVRL1-R-C	0.101378435
ADAR1-M-V	0.0391688325
Akt-R-V	-0.00115641350000004
Akt_pS473-R-V	0.116708922
Akt_pT308-R-V	-0.0721107095
alpha-Catenin-M-V	-0.0687239280000001
AMPK_alpha-R-C	0.0337222825
AMPK_pT172-R-V	-0.0276070815
Annexin-1-M-E	0.329667963
Annexin_VII-M-V	0.2329844805
AR-R-V	-0.221472498
DIRAS3-M-E	0.0466033624999999
ASNS-R-V	-0.096461328
ATM-R-E	0.230693492
B-Raf-M-C	-0.122175901
Bad_pS112-R-V	0.1174906605
Bak-R-C	0.151531744
Bap1-c-4-M-E	-0.0495907145
Bax-R-V	0.0949876974999999
Bcl-2-M-V	0.233490024
Bcl-xL-R-V	0.0993489489999999
Beclin-G-C	0.3677527905
beta-Catenin-R-V	-0.3664580975
Bid-R-C	-0.0507599880000001
Bim-R-V	-0.00357497100000004
c-Jun_pS73-R-V	-0.0569255630000001
c-Kit-R-V	1.9843838105
c-Met-M-E	0.0705462689999999
c-Met_pY1235-R-V	-0.0695648585
c-Myc-R-C	-0.1240326895
C-Raf-R-V	0.0403638855000001
C-Raf_pS338-R-V	0.0508554754999999
Caspase-7_cleavedD198-R-C	0.526205066
Caspase-8-M-E	0.1477538045
Caveolin-1-R-V	0.626077688
CD20-R-C	0.035107646
CD31-M-V	0.0779598569999999
CD49b-M-V	-0.0904345800000002
CDK1-R-V	-0.059436826
Chk1-M-C	-0.1421068135
Chk1_pS345-R-C	-0.1094518885
Chk2-M-E	0.7965095715
Chk2_pT68-R-C	0.5390454505
cIAP-R-V	0.00387945449999996
Claudin-7-R-V	-0.160445665
Collagen_VI-R-V	0.4149730135
Cyclin_B1-R-V	-0.255373361
Cyclin_D1-R-V	-0.0328613645
Cyclin_E1-M-V	0.033346696
Cyclin_E2-R-C	-0.042265164
DJ-1-R-E	0.1777763345
Dvl3-R-V	-0.1252633995
E-Cadherin-R-V	-0.55597015
eEF2-R-C	0.00167756749999995
eEF2K-R-V	-0.052107033
EGFR-R-V	-0.045177467
EGFR_pY1068-R-C	-0.1421231545
EGFR_pY1173-R-V	-0.1242468715
eIF4E-R-V	-0.00766659500000003
eIF4G-R-C	-0.2246696655
ER-alpha-R-V	0.1750409145
ER-alpha_pS118-R-V	-0.122515692
ERCC1-M-V	-0.131558738
ERK2-R-E	0.0173801514999999
ETS-1-R-V	0.2044767005
FASN-R-V	-0.047160472
Fibronectin-R-V	-0.153296324
FoxM1-R-V	-0.188989101
FOXO3a-R-C	0.0736948095
FOXO3a_pS318_S321-R-C	0.0327411475
G6PD-M-V	0.093313816
GAB2-R-V	-0.2760047595
GAPDH-M-C	0.0994429765
GATA3-M-V	0.4381328235
GSK3-alpha-beta-M-V	0.051615234
GSK3-alpha-beta_pS21_S9-R-V	0.100189439
GSK3_pS9-R-V	-0.0741288810000001
HER2-M-V	-0.2229149205
HER2_pY1248-R-C	-0.161813313
HER3-R-V	-0.3293064195
HER3_pY1289-R-C	-0.0942881570000001
Heregulin-R-V	-0.322476522
HSP70-R-C	-0.637134381
IGFBP2-R-V	-0.3072108305
INPP4B-R-V	0.0348698020000002
IRS1-R-V	-0.20903432
JAB1-M-C	0.0528714175
JNK_pT183_pY185-R-V	-0.0612866090000001
JNK2-R-C	0.060321357
Ku80-R-C	0.202391244
Lck-R-V	0.4950540485
LKB1-M-E	-0.030709733
MAPK_pT202_Y204-R-V	0.226924182
MEK1-R-V	0.1629419725
MEK1_pS217_S221-R-V	0.010328183
MIG-6-M-V	-0.0925555065
Mre11-R-C	0.000639846000000027
MSH2-M-V	0.3072351165
MSH6-R-C	0.1808444745
mTOR-R-V	0.2421242665
mTOR_pS2448-R-C	0.0843138295000001
MYH11-R-V	2.848318532
Myosin-IIa_pS1943-R-V	-0.059901191
N-Cadherin-R-V	-0.0951384185000001
N-Ras-M-V	0.0983021834999998
NDRG1_pT346-R-V	0.7309070585
NF-kB-p65_pS536-R-C	0.4187575945
NF2-R-C	0.1994120855
Notch1-R-V	-0.154881588
P-Cadherin-R-C	-0.0656712335
p21-R-V	-0.0232166254999999
p27-R-V	0.3294185595
p27_pT157-R-C	-0.0113793260000001
p27_pT198-R-V	-0.0641302445
p38_MAPK-R-V	0.1823224375
p38_pT180_Y182-R-V	0.5587480505
p53-R-E	0.0566101690000002
p62-LCK-ligand-M-C	0.1319712835
p70S6K-R-V	0.0120703744999999
p70S6K_pT389-R-V	-0.128604765
p90RSK-R-C	0.079042093
p90RSK_pT359_S363-R-C	-0.094533044
PAI-1-M-E	0.2200195455
PARP_cleaved-M-E	-0.128255711
PARP1-R-V	-0.1120841055
Paxillin-R-C	-0.1749482285
PCNA-M-C	0.00383634849999995
PDCD4-R-C	0.5692927975
PDK1-R-V	-0.0281719405000001
PDK1_pS241-R-V	-0.025529848
PEA15-R-V	0.1760611375
PEA15_pS116-R-V	0.146335479
PI3K-p110-alpha-R-C	-0.061579303
PI3K-p85-R-V	0.274325647
PKC-alpha-M-V	0.3066063215
PKC-alpha_pS657-R-C	0.212211185
PKC-delta_pS664-R-V	0.212419306
PKC-pan_BetaII_pS660-R-V	0.446185227
PR-R-V	0.0557695555
PRAS40_pT246-R-V	-0.154031392
PRDX1-R-V	0.193430119
PREX1-R-E	0.129003352
PTEN-R-V	0.1132077575
Rab11-R-E	-0.069260682
Rab25-R-V	0.0649868789999999
Rad50-M-V	-0.0550343470000001
Rad51-R-V	-0.0029176645
Raptor-R-V	0.3355894895
Rb-M-E	-0.0633038960000001
Rb_pS807_S811-R-V	-0.112481876
RBM15-R-V	-0.134436885
Rictor-R-C	1.2732391385
Rictor_pT1135-R-V	0.0142137614999999
S6-R-E	-0.011187622
S6_pS235_S236-R-V	0.7018258285
S6_pS240_S244-R-V	0.26620952
SCD-M-V	0.101121335
SETD2-R-E	-0.158274973
SF2-M-V	0.0429235535
Shc_pY317-R-E	-0.0111717175000002
