Sample REF	7CEB95E7-E9F1-4654-ACB4-ED9CF52F7632
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.2446057405
14-3-3_epsilon-M-C	-0.0591326225
14-3-3_zeta-R-V	0.278492456
4E-BP1-R-V	0.3147116805
4E-BP1_pS65-R-V	0.1596068625
4E-BP1_pT37_T46-R-V	0.3932266865
4E-BP1_pT70-R-V	0.4732958235
53BP1-R-E	-0.50165328
A-Raf_pS299-R-C	-0.0274165479999999
ACC_pS79-R-V	-0.312447922
ACC1-R-E	-0.4340136015
Acetyl-a-Tubulin-Lys40-R-C	0.139597308
ACVRL1-R-C	0.587931877
ADAR1-M-V	-0.3759528635
Akt-R-V	0.3017138145
Akt_pS473-R-V	0.0655552509999999
Akt_pT308-R-V	0.5789751015
alpha-Catenin-M-V	-0.031614195
AMPK_alpha-R-C	0.3008088475
AMPK_pT172-R-V	0.5018149425
Annexin-1-M-E	0.091936354
Annexin_VII-M-V	-0.1171820405
AR-R-V	-0.151009681
DIRAS3-M-E	0.1068635995
ASNS-R-V	-0.587232936
ATM-R-E	-0.574766341
B-Raf-M-C	-0.367456866
Bad_pS112-R-V	-0.1179738595
Bak-R-C	-0.011832356
Bap1-c-4-M-E	-1.0708040545
Bax-R-V	-0.6839925755
Bcl-2-M-V	0.147913496
Bcl-xL-R-V	0.0133052
Beclin-G-C	-0.0252338755
beta-Catenin-R-V	0.1666799035
Bid-R-C	0.592044131
Bim-R-V	0.00865595099999994
c-Jun_pS73-R-V	-0.145333607
c-Kit-R-V	-0.7379671135
c-Met-M-E	0.17618117
c-Met_pY1235-R-V	0.0992814635
c-Myc-R-C	0.0856555305
C-Raf-R-V	-0.8050761865
C-Raf_pS338-R-V	0.3260783215
Caspase-7_cleavedD198-R-C	-0.61996564
Caspase-8-M-E	0.0108792935000001
Caveolin-1-R-V	3.157118781
CD20-R-C	-0.161675693
CD31-M-V	0.00608846799999996
CD49b-M-V	0.153299035
CDK1-R-V	-0.021539803
Chk1-M-C	-1.0049608455
Chk1_pS345-R-C	-0.1330120755
Chk2-M-E	-1.1645690385
Chk2_pT68-R-C	0.2352391995
cIAP-R-V	-0.1149008935
Claudin-7-R-V	-0.604477587
Collagen_VI-R-V	0.3448350215
Cyclin_B1-R-V	-2.080976354
Cyclin_D1-R-V	0.5389471605
Cyclin_E1-M-V	-0.546995629
Cyclin_E2-R-C	-0.600599887
DJ-1-R-E	-0.0220433775
Dvl3-R-V	0.3445659485
E-Cadherin-R-V	0.514090987
eEF2-R-C	-0.3536157215
eEF2K-R-V	-0.00608846800000001
EGFR-R-V	0.563062794
EGFR_pY1068-R-C	0.4255735825
EGFR_pY1173-R-V	0.1309603725
eIF4E-R-V	-0.046678106
eIF4G-R-C	-0.6426327825
ER-alpha-R-V	0.4945416495
ER-alpha_pS118-R-V	-0.239928347
ERCC1-M-V	-0.0965364599999999
ERK2-R-E	-0.1004310725
ETS-1-R-V	0.0651608044999999
FASN-R-V	-0.654017032
Fibronectin-R-V	0.595609902
FoxM1-R-V	-0.474664464
FOXO3a-R-C	0.2199190875
FOXO3a_pS318_S321-R-C	0.4287279125
G6PD-M-V	-0.124393815
GAB2-R-V	-0.5935623965
GAPDH-M-C	0.2707682395
GATA3-M-V	-0.0136433555
GSK3-alpha-beta-M-V	-0.123669809
