Sample REF	7D681E96-5C9D-48A4-A45E-0964DE0BB487
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.078183626
14-3-3_epsilon-M-C	0.0988235729999999
14-3-3_zeta-R-V	-0.1845182275
4E-BP1-R-V	0.209935239
4E-BP1_pS65-R-V	0.139431855
4E-BP1_pT37_T46-R-V	0.403856432
4E-BP1_pT70-R-V	-0.0279508440000001
53BP1-R-E	0.2842417465
A-Raf_pS299-R-C	-0.000269165499999946
ACC_pS79-R-V	0.2715419135
ACC1-R-E	0.389014703
Acetyl-a-Tubulin-Lys40-R-C	-0.3663502775
ACVRL1-R-C	-0.0234455415
ADAR1-M-V	0.297112619
Akt-R-V	-0.254218879
Akt_pS473-R-V	-0.0168100775000001
Akt_pT308-R-V	-0.329546429
alpha-Catenin-M-V	0.0476491445
AMPK_alpha-R-C	-0.202607732
AMPK_pT172-R-V	-0.251593332
Annexin-1-M-E	-0.1621329675
Annexin_VII-M-V	-0.11566861
AR-R-V	-0.0592480595000001
DIRAS3-M-E	-0.01885727
ASNS-R-V	0.4975270625
ATM-R-E	-0.1193237585
B-Raf-M-C	0.4760831155
Bad_pS112-R-V	0.0314802419999999
Bak-R-C	0.1726357695
Bap1-c-4-M-E	0.241036687
Bax-R-V	0.11122826
Bcl-2-M-V	0.000269165499999946
Bcl-xL-R-V	-0.3019513385
Beclin-G-C	-0.0989931220000001
beta-Catenin-R-V	0.052795828
Bid-R-C	-0.1386646645
Bim-R-V	0.4128965325
c-Jun_pS73-R-V	0.00144440449999989
c-Kit-R-V	2.977048377
c-Met-M-E	0.0416471815
c-Met_pY1235-R-V	-0.0588608
c-Myc-R-C	-0.0317566830000001
C-Raf-R-V	0.198196045
C-Raf_pS338-R-V	-0.0720291280000001
Caspase-7_cleavedD198-R-C	0.3935459625
Caspase-8-M-E	0.07560588
Caveolin-1-R-V	-1.0685172885
CD20-R-C	0.2570874775
CD31-M-V	-0.0103460815
CD49b-M-V	-0.2114153055
CDK1-R-V	-0.0199003705
Chk1-M-C	0.0898543800000001
Chk1_pS345-R-C	0.201706831
Chk2-M-E	1.0659565
Chk2_pT68-R-C	0.224215247
cIAP-R-V	0.105960955
Claudin-7-R-V	0.5021502125
Collagen_VI-R-V	0.141055099
Cyclin_B1-R-V	0.5346404835
Cyclin_D1-R-V	-0.107094649
Cyclin_E1-M-V	0.4395742665
Cyclin_E2-R-C	0.3995982815
DJ-1-R-E	0.143252083
Dvl3-R-V	-0.0700800380000001
E-Cadherin-R-V	0.7125239145
eEF2-R-C	0.140353908
eEF2K-R-V	0.3815537895
EGFR-R-V	-0.2158112735
EGFR_pY1068-R-C	-0.0132172790000002
EGFR_pY1173-R-V	0.0442323839999999
eIF4E-R-V	0.2441241375
eIF4G-R-C	0.358494895
ER-alpha-R-V	-0.0935885840000001
ER-alpha_pS118-R-V	0.2571085855
ERCC1-M-V	0.0900080604999999
ERK2-R-E	-0.0179231920000001
ETS-1-R-V	-0.266996741
FASN-R-V	0.0939114284999999
Fibronectin-R-V	-1.2506042585
FoxM1-R-V	-0.2920213255
FOXO3a-R-C	0.062171406
FOXO3a_pS318_S321-R-C	-0.101006856
G6PD-M-V	-0.0628927845
GAB2-R-V	-0.299798892
GAPDH-M-C	0.389164418
GATA3-M-V	-0.0839883430000001
GSK3-alpha-beta-M-V	0.0193666924999999
GSK3-alpha-beta_pS21_S9-R-V	-0.2095269355
GSK3_pS9-R-V	-0.1426033575
HER2-M-V	0.129486337
HER2_pY1248-R-C	0.00874619250000003
HER3-R-V	-0.157240267
HER3_pY1289-R-C	-0.1222717415
Heregulin-R-V	0.0206553875
HSP70-R-C	-0.7384592395
IGFBP2-R-V	-0.348937947
INPP4B-R-V	-0.2167155915
IRS1-R-V	-0.1870619605
JAB1-M-C	0.0299717609999997
