Sample REF	81D64FE2-4E9F-4FE1-BA92-5705E9BA006F
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.174918374
14-3-3_epsilon-M-C	0.0167226900000002
14-3-3_zeta-R-V	0.00603176550000006
4E-BP1-R-V	0.0405782290000002
4E-BP1_pS65-R-V	0.0143942250000001
4E-BP1_pT37_T46-R-V	0.407504605
4E-BP1_pT70-R-V	0.0799627850000001
53BP1-R-E	-0.2822843615
A-Raf_pS299-R-C	-0.1455154155
ACC_pS79-R-V	0.1829431255
ACC1-R-E	0.300049528
Acetyl-a-Tubulin-Lys40-R-C	-0.2149851385
ACVRL1-R-C	-0.0460266184999998
ADAR1-M-V	-0.0903321399999999
Akt-R-V	-0.104984811
Akt_pS473-R-V	0.1149503655
Akt_pT308-R-V	-0.0834475739999999
alpha-Catenin-M-V	-0.2070054775
AMPK_alpha-R-C	0.187512138
AMPK_pT172-R-V	0.0631055640000001
Annexin-1-M-E	0.2797000445
Annexin_VII-M-V	0.0415394210000002
AR-R-V	-0.2077853215
DIRAS3-M-E	-0.0710947919999999
ASNS-R-V	0.4109873585
ATM-R-E	0.0264440675000001
B-Raf-M-C	0.1269513785
Bad_pS112-R-V	0.0728290710000001
Bak-R-C	0.1018019015
Bap1-c-4-M-E	-0.0193061229999999
Bax-R-V	0.0799313490000001
Bcl-2-M-V	-0.0449358754999999
Bcl-xL-R-V	0.4415831915
Beclin-G-C	-0.23238456
beta-Catenin-R-V	0.366526495
Bid-R-C	0.0485513935
Bim-R-V	0.0770362605000001
c-Jun_pS73-R-V	0.2247063265
c-Kit-R-V	-0.863948248
c-Met-M-E	-0.2134050885
c-Met_pY1235-R-V	-0.134256775
c-Myc-R-C	-0.0484764689999999
C-Raf-R-V	-0.00735866999999979
C-Raf_pS338-R-V	-0.0131059309999999
Caspase-7_cleavedD198-R-C	0.9299263375
Caspase-8-M-E	-0.0922351439999999
Caveolin-1-R-V	0.4958346655
CD20-R-C	-0.1806066285
CD31-M-V	-0.0684463134999999
CD49b-M-V	-0.1086793075
CDK1-R-V	0.1097998265
Chk1-M-C	-0.410009726
Chk1_pS345-R-C	0.102604136
Chk2-M-E	-0.316548806
Chk2_pT68-R-C	-0.0223386959999999
cIAP-R-V	0.00249942600000008
Claudin-7-R-V	0.3462250485
Collagen_VI-R-V	-0.0738561449999999
Cyclin_B1-R-V	0.4988540885
Cyclin_D1-R-V	-0.101112241
Cyclin_E1-M-V	0.000340161500000158
Cyclin_E2-R-C	-0.2052549405
DJ-1-R-E	0.0821809400000001
Dvl3-R-V	-0.226043457
E-Cadherin-R-V	1.0030842415
eEF2-R-C	-0.0829390149999999
eEF2K-R-V	-0.2820826905
EGFR-R-V	-0.0445696744999999
EGFR_pY1068-R-C	-0.0764627829999999
EGFR_pY1173-R-V	-0.0466798969999999
eIF4E-R-V	-0.0768681034999998
eIF4G-R-C	0.228428375
ER-alpha-R-V	-0.195226961
ER-alpha_pS118-R-V	-0.0171946874999999
ERCC1-M-V	-0.0646088704999999
ERK2-R-E	0.106954225
ETS-1-R-V	0.0614165690000001
FASN-R-V	0.2728402485
Fibronectin-R-V	0.5593206975
FoxM1-R-V	0.1045953865
FOXO3a-R-C	-0.0967949629999999
FOXO3a_pS318_S321-R-C	0.0417478830000002
G6PD-M-V	-0.0638211434999999
GAB2-R-V	-0.278632767
GAPDH-M-C	-0.189418463
GATA3-M-V	0.0296700510000001
GSK3-alpha-beta-M-V	-0.2606012315
GSK3-alpha-beta_pS21_S9-R-V	0.2313844555
GSK3_pS9-R-V	9.31615000001051e-05
HER2-M-V	-0.355181416
HER2_pY1248-R-C	-0.1175902015
HER3-R-V	0.147219043
HER3_pY1289-R-C	0.1107737065
Heregulin-R-V	0.1885191035
HSP70-R-C	0.2927520635
IGFBP2-R-V	-0.241271042
INPP4B-R-V	-0.0953423854999996
IRS1-R-V	-0.1396696925
JAB1-M-C	-0.117016525
JNK_pT183_pY185-R-V	0.0647250255000001
JNK2-R-C	0.2542537535
Ku80-R-C	-0.3811840595
Lck-R-V	0.480854991
LKB1-M-E	-0.1525344915
MAPK_pT202_Y204-R-V	0.4933082805
MEK1-R-V	0.0312225550000001
MEK1_pS217_S221-R-V	-0.0334100394999999
MIG-6-M-V	0.0288221030000001
Mre11-R-C	0.00731102950000018
MSH2-M-V	0.130386957
MSH6-R-C	0.317521349
mTOR-R-V	-0.0168081039999998
mTOR_pS2448-R-C	0.15565241
MYH11-R-V	1.4990594945
Myosin-IIa_pS1943-R-V	0.0706235095000001
N-Cadherin-R-V	-0.0786447189999999
N-Ras-M-V	-0.174135233
NDRG1_pT346-R-V	-0.0088207819999998
NF-kB-p65_pS536-R-C	0.243233758
NF2-R-C	0.136447666
Notch1-R-V	0.1323836635
P-Cadherin-R-C	0.00488973500000012
p21-R-V	-0.523881108
p27-R-V	0.17301
p27_pT157-R-C	-0.0753440344999999
p27_pT198-R-V	-0.0128899299999999
p38_MAPK-R-V	0.252168792
p38_pT180_Y182-R-V	0.703643698
p53-R-E	-0.0527610104999997
p62-LCK-ligand-M-C	0.172008511
p70S6K-R-V	0.083774279
p70S6K_pT389-R-V	-0.0618060164999998
p90RSK-R-C	0.3351861175
p90RSK_pT359_S363-R-C	-0.0868750364999998
PAI-1-M-E	1.420917736
PARP_cleaved-M-E	-0.0787365255
PARP1-R-V	0.402456023
Paxillin-R-C	0.0896036110000001
PCNA-M-C	-0.0366761759999999
PDCD4-R-C	0.250196208
PDK1-R-V	0.16923208
PDK1_pS241-R-V	0.2727330465
PEA15-R-V	0.264005541
PEA15_pS116-R-V	0.3596750525
PI3K-p110-alpha-R-C	-0.1498682405
PI3K-p85-R-V	0.4735050825
PKC-alpha-M-V	0.187992836
PKC-alpha_pS657-R-C	0.2279741555
PKC-delta_pS664-R-V	0.1018669265
PKC-pan_BetaII_pS660-R-V	0.4008360225
PR-R-V	-0.0902258949999999
PRAS40_pT246-R-V	-0.0361896174999999
PRDX1-R-V	-0.0740118314999999
PREX1-R-E	-0.1433281785
PTEN-R-V	0.212589381
Rab11-R-E	-0.1265138695
Rab25-R-V	-0.7383263565
Rad50-M-V	0.0231816885000001
Rad51-R-V	-0.369259883
Raptor-R-V	-0.191093612
Rb-M-E	-0.1835689655
Rb_pS807_S811-R-V	0.1708768825
RBM15-R-V	0.0601218895000001
Rictor-R-C	0.0422051260000001
Rictor_pT1135-R-V	-0.0574730979999999
S6-R-E	-9.31615000000496e-05
S6_pS235_S236-R-V	0.951795177
S6_pS240_S244-R-V	0.3847415225
SCD-M-V	-0.2438300675
SETD2-R-E	-0.1409922025
SF2-M-V	-0.399235775
Shc_pY317-R-E	0.0678224150000001
Smac-M-E	-0.3970987685
Smad1-R-V	0.0970237495000001
Smad3-R-V	-0.0395994734999999
Smad4-M-V	-0.0833560014999998
Snail-M-E	-0.3305986015
Src-M-V	-0.2069435605
Src_pY416-R-C	0.2475431145
Src_pY527-R-V	-0.0963609119999999
STAT3_pY705-R-V	0.218740361
STAT5-alpha-R-V	0.5577750655
Stathmin-R-V	-0.1306741745
Syk-M-V	0.4628814805
TAZ-R-V	0.0863399485000002
TFRC-R-V	-0.1064346095
TIGAR-R-V	-0.2473327325
Transglutaminase-M-V	-0.146653862
TSC1-R-C	-0.025093677
TTF1-R-V	-0.2907488835
Tuberin-R-E	0.085385741
Tuberin_pT1462-R-V	0.115531378
VEGFR2-R-V	0.178114918
EPPK1-M-E	1.158057894
XBP1-G-C	-0.1787400455
XRCC1-R-E	-0.1720438845
YAP-R-E	-0.223521589
YAP_pS127-R-E	-0.151188418
YB-1-R-V	0.3866126905
YB-1_pS102-R-V	0.1492414295
A-Raf-R-V	0.0150277655000002
ARID1A-R-C	0.0912255360000002
B-Raf_pS445-R-V	0.1098238565
Bcl2A1-R-V	-0.116861202
BRD4-R-V	-0.0887313009999998
c-Abl-R-V	-0.1062627115
Caspase-3-R-C	-0.066235692
