Sample REF	8329F212-4A68-483B-875D-6C49BB6B3E58
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.00190161425000002
14-3-3_epsilon-M-C	-0.03638262225
14-3-3_zeta-R-V	-0.22013712475
4E-BP1-R-V	-0.0850479082499999
4E-BP1_pS65-R-V	-0.0378355722499999
4E-BP1_pT37_T46-R-V	0.33029190975
4E-BP1_pT70-R-V	0.27127426775
53BP1-R-E	0.20572776525
A-Raf_pS299-R-C	-0.13562933475
ACC_pS79-R-V	-0.16324372375
ACC1-R-E	-0.12104352525
Acetyl-a-Tubulin-Lys40-R-C	0.20491429525
ACVRL1-R-C	-0.0347232897499999
ADAR1-M-V	-0.03035972925
Akt-R-V	0.26198230175
Akt_pS473-R-V	0.06107037225
Akt_pT308-R-V	-0.00385405224999991
alpha-Catenin-M-V	0.00353478024999998
AMPK_alpha-R-C	0.18324728075
AMPK_pT172-R-V	0.36844488275
Annexin-1-M-E	0.20181979225
Annexin_VII-M-V	-0.0321477972499998
AR-R-V	0.15947478825
DIRAS3-M-E	-0.0377977912500002
ASNS-R-V	-0.54615896475
ATM-R-E	0.17082106825
B-Raf-M-C	-0.72304491475
Bad_pS112-R-V	0.0110311897500001
Bak-R-C	0.0491639472500002
Bap1-c-4-M-E	-0.19443946025
Bax-R-V	-0.02377956525
Bcl-2-M-V	0.13961877525
Bcl-xL-R-V	-0.26633953375
Beclin-G-C	-0.10776749225
beta-Catenin-R-V	-0.00486016124999999
Bid-R-C	0.14139803725
Bim-R-V	-0.0884142957499999
c-Jun_pS73-R-V	-0.0184057647499999
c-Kit-R-V	-0.69263284825
c-Met-M-E	0.0832082562499999
c-Met_pY1235-R-V	-0.10082576825
c-Myc-R-C	0.19912553775
C-Raf-R-V	-0.22746791225
C-Raf_pS338-R-V	0.17288120675
Caspase-7_cleavedD198-R-C	0.08368840125
Caspase-8-M-E	0.0492417557500001
Caveolin-1-R-V	0.86283716825
CD20-R-C	-0.02531531375
CD31-M-V	0.11386657525
CD49b-M-V	0.0603007572499999
CDK1-R-V	-0.0434179547499999
Chk1-M-C	-0.21608228425
Chk1_pS345-R-C	-0.21972769525
Chk2-M-E	-0.42379282525
Chk2_pT68-R-C	-0.0292505742499999
cIAP-R-V	0.13447319175
Claudin-7-R-V	-0.33430567075
Collagen_VI-R-V	0.11467827475
Cyclin_B1-R-V	-0.73738934975
Cyclin_D1-R-V	0.43053700675
Cyclin_E1-M-V	0.01422980225
Cyclin_E2-R-C	-0.0812201037499999
DJ-1-R-E	0.0380779577500001
Dvl3-R-V	0.26048034375
E-Cadherin-R-V	-0.03327215275
eEF2-R-C	-0.10510599025
eEF2K-R-V	-0.59574722075
EGFR-R-V	0.0915809582500001
EGFR_pY1068-R-C	-0.0473538732500002
EGFR_pY1173-R-V	-0.01231874225
eIF4E-R-V	-0.0568227927499999
eIF4G-R-C	-0.34809671225
ER-alpha-R-V	0.30273990875
ER-alpha_pS118-R-V	0.0318151532500001
