Sample REF	83939C40-F012-4116-8905-17AED97E71EA
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.2037403985
14-3-3_epsilon-M-C	-0.0528726125
14-3-3_zeta-R-V	0.0124314000000001
4E-BP1-R-V	0.2577699045
4E-BP1_pS65-R-V	0.1614732375
4E-BP1_pT37_T46-R-V	0.6781111775
4E-BP1_pT70-R-V	0.2521161525
53BP1-R-E	-0.478088812
A-Raf_pS299-R-C	-0.105711713
ACC_pS79-R-V	0.346743094
ACC1-R-E	0.4530482705
Acetyl-a-Tubulin-Lys40-R-C	-0.211361707
ACVRL1-R-C	-0.124087412
ADAR1-M-V	-0.0077780365
Akt-R-V	-0.0728307455
Akt_pS473-R-V	0.0569427130000001
Akt_pT308-R-V	-0.2458910895
alpha-Catenin-M-V	-0.0935875219999999
AMPK_alpha-R-C	0.2447967565
AMPK_pT172-R-V	0.2382073355
Annexin-1-M-E	-0.22825246
Annexin_VII-M-V	-0.0380769834999999
AR-R-V	-0.079901691
DIRAS3-M-E	-0.1169465375
ASNS-R-V	1.300537918
ATM-R-E	0.186710385
B-Raf-M-C	-0.020347521
Bad_pS112-R-V	-0.00617640849999998
Bak-R-C	0.230476633
Bap1-c-4-M-E	-0.0269371905
Bax-R-V	0.0860743875
Bcl-2-M-V	-0.022184479
Bcl-xL-R-V	0.641788373
Beclin-G-C	0.0438853725
beta-Catenin-R-V	0.2288847255
Bid-R-C	-0.02130232
Bim-R-V	0.262790052
c-Jun_pS73-R-V	-0.029190312
c-Kit-R-V	-0.6724147185
c-Met-M-E	-0.0932069530000001
c-Met_pY1235-R-V	-0.1196801415
c-Myc-R-C	-0.000529967499999978
C-Raf-R-V	-0.0653408664999998
C-Raf_pS338-R-V	-0.0216830575
Caspase-7_cleavedD198-R-C	0.603792767
Caspase-8-M-E	-0.0816067125
Caveolin-1-R-V	0.129775902
CD20-R-C	0.064981216
CD31-M-V	-0.01846593
CD49b-M-V	-0.174256429
CDK1-R-V	0.101084686
Chk1-M-C	0.3676578295
Chk1_pS345-R-C	0.2408965885
Chk2-M-E	0.2189597845
Chk2_pT68-R-C	0.0676605685
cIAP-R-V	-0.0147716315
Claudin-7-R-V	0.145442988
Collagen_VI-R-V	0.0644264185
Cyclin_B1-R-V	0.783914531
Cyclin_D1-R-V	-0.1335688805
Cyclin_E1-M-V	0.073007846
Cyclin_E2-R-C	-0.06613047
DJ-1-R-E	0.0124204095
Dvl3-R-V	-0.1906798955
E-Cadherin-R-V	1.007693791
eEF2-R-C	-0.2075669525
eEF2K-R-V	-0.324482431
EGFR-R-V	-0.159674448
EGFR_pY1068-R-C	0.0930894114999999
EGFR_pY1173-R-V	0.0407194345
eIF4E-R-V	0.043597374
eIF4G-R-C	0.5060726275
ER-alpha-R-V	0.0716362124999999
ER-alpha_pS118-R-V	0.190695444
ERCC1-M-V	-0.090291594
ERK2-R-E	0.1086234575
ETS-1-R-V	-0.1186287505
FASN-R-V	0.566913775
Fibronectin-R-V	0.434686487
FoxM1-R-V	0.255902391
FOXO3a-R-C	0.000529967499999978
FOXO3a_pS318_S321-R-C	-0.0649368464999999
G6PD-M-V	-0.052436614
GAB2-R-V	-0.2255458115
GAPDH-M-C	-0.00313760350000006
GATA3-M-V	0.0188741835
GSK3-alpha-beta-M-V	-0.064265949
GSK3-alpha-beta_pS21_S9-R-V	0.00982774600000001
GSK3_pS9-R-V	-0.060373587
HER2-M-V	0.1104255855
HER2_pY1248-R-C	0.108974069
HER3-R-V	-0.0208302895
HER3_pY1289-R-C	0.027950207
Heregulin-R-V	0.390716606
HSP70-R-C	-0.918615316
IGFBP2-R-V	-0.0946613175
INPP4B-R-V	0.0831822750000003
IRS1-R-V	-0.299568569
JAB1-M-C	0.0566756875000002
