Sample REF	8437C43A-BFF4-4593-97D4-574B4A2C4138
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.223243078
14-3-3_epsilon-M-C	-0.030571692
14-3-3_zeta-R-V	0.1107330105
4E-BP1-R-V	-0.142294579
4E-BP1_pS65-R-V	-0.0685404900000001
4E-BP1_pT37_T46-R-V	-0.0114650709999999
4E-BP1_pT70-R-V	0.0982107489999999
53BP1-R-E	-0.0791302465
A-Raf_pS299-R-C	-0.1527566965
ACC_pS79-R-V	-0.1058808995
ACC1-R-E	-0.204614904
Acetyl-a-Tubulin-Lys40-R-C	-0.00248207950000001
ACVRL1-R-C	0.1971264805
ADAR1-M-V	-0.189995022
Akt-R-V	-0.033618381
Akt_pS473-R-V	1.0598221475
Akt_pT308-R-V	1.079077972
alpha-Catenin-M-V	-0.1432963685
AMPK_alpha-R-C	-0.032223709
AMPK_pT172-R-V	0.539095694
Annexin-1-M-E	0.8713488335
Annexin_VII-M-V	0.019376912
AR-R-V	-0.00962501749999994
DIRAS3-M-E	-0.00476274999999993
ASNS-R-V	0.3469002405
ATM-R-E	0.4923932625
B-Raf-M-C	0.3434048075
Bad_pS112-R-V	0.103432526
Bak-R-C	-0.1058985795
Bap1-c-4-M-E	-0.223370705
Bax-R-V	-0.18333061
Bcl-2-M-V	0.2035349805
Bcl-xL-R-V	-0.1696341745
Beclin-G-C	-0.086057942
beta-Catenin-R-V	-0.011551485
Bid-R-C	0.1005914535
Bim-R-V	0.1671569255
c-Jun_pS73-R-V	-0.1277617735
c-Kit-R-V	-0.54857197
c-Met-M-E	-0.0394524075
c-Met_pY1235-R-V	-0.074007107
c-Myc-R-C	-0.149359999
C-Raf-R-V	-0.188296866
C-Raf_pS338-R-V	-0.028637715
Caspase-7_cleavedD198-R-C	0.4657218355
Caspase-8-M-E	0.01082872
Caveolin-1-R-V	0.7258701095
CD20-R-C	-0.2199488065
CD31-M-V	0.0619136465
CD49b-M-V	-0.0456662095000001
CDK1-R-V	-0.1509625215
Chk1-M-C	-0.68644612
Chk1_pS345-R-C	-0.249092085
Chk2-M-E	-0.706068194
Chk2_pT68-R-C	-0.055961475
cIAP-R-V	-0.198298184
Claudin-7-R-V	-0.0601649155
Collagen_VI-R-V	0.035894149
Cyclin_B1-R-V	-0.5065270545
Cyclin_D1-R-V	0.240266134
Cyclin_E1-M-V	0.6996567915
Cyclin_E2-R-C	-0.3245720565
DJ-1-R-E	0.00565210200000005
Dvl3-R-V	-0.01148233
E-Cadherin-R-V	0.1984972455
eEF2-R-C	-0.159340911
eEF2K-R-V	-0.2968096295
EGFR-R-V	0.9165872515
EGFR_pY1068-R-C	0.386676178
EGFR_pY1173-R-V	-0.178617328
eIF4E-R-V	-0.0468487905
eIF4G-R-C	0.201515326
ER-alpha-R-V	0.406190512
ER-alpha_pS118-R-V	-0.3776116995
ERCC1-M-V	0.0702994165
ERK2-R-E	-0.243224708
ETS-1-R-V	0.135319814
FASN-R-V	0.0290252495
Fibronectin-R-V	-0.1087552015
FoxM1-R-V	-0.2072658155
FOXO3a-R-C	0.087682754
FOXO3a_pS318_S321-R-C	0.0558346920000001
G6PD-M-V	-0.00646022350000008
GAB2-R-V	0.41793791
GAPDH-M-C	-0.00947808300000019
GATA3-M-V	0.482409313
GSK3-alpha-beta-M-V	-0.0303153815
GSK3-alpha-beta_pS21_S9-R-V	0.2516017805
GSK3_pS9-R-V	0.3460871775
HER2-M-V	0.233576132
