Sample REF	8634C1DD-714F-48E4-9036-0F7AE5510B50
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.50131111575
14-3-3_epsilon-M-C	-0.0995951722499998
14-3-3_zeta-R-V	-0.26667380275
4E-BP1-R-V	-0.15966603125
4E-BP1_pS65-R-V	0.0763126587500002
4E-BP1_pT37_T46-R-V	-0.18278137625
4E-BP1_pT70-R-V	0.12767627975
53BP1-R-E	-0.27123402375
A-Raf_pS299-R-C	0.0627234972500003
ACC_pS79-R-V	-0.26185763575
ACC1-R-E	-0.23010459725
Acetyl-a-Tubulin-Lys40-R-C	0.69818033725
ACVRL1-R-C	0.32667643325
ADAR1-M-V	-0.11080312925
Akt-R-V	-0.12106603325
Akt_pS473-R-V	0.20533252125
Akt_pT308-R-V	0.25595299275
alpha-Catenin-M-V	0.0641814992500002
AMPK_alpha-R-C	0.0477403067500002
AMPK_pT172-R-V	0.0954878477500002
Annexin-1-M-E	-0.0739199527499997
Annexin_VII-M-V	0.0534633397500003
AR-R-V	-0.25034498175
DIRAS3-M-E	0.23918134475
ASNS-R-V	0.17445750825
ATM-R-E	0.0109910472500002
B-Raf-M-C	-0.54643286275
Bad_pS112-R-V	-0.18842767225
Bak-R-C	0.35406241925
Bap1-c-4-M-E	-0.11177772125
Bax-R-V	-0.15467821425
Bcl-2-M-V	-0.18199460975
Bcl-xL-R-V	1.16813764825
Beclin-G-C	0.69293934975
beta-Catenin-R-V	0.48341978375
Bid-R-C	0.44332090725
Bim-R-V	-0.24942217975
c-Jun_pS73-R-V	-0.0467682387499998
c-Kit-R-V	-0.37694512125
c-Met-M-E	0.0288704472500002
c-Met_pY1235-R-V	0.0555925857500002
c-Myc-R-C	-0.00283334024999982
C-Raf-R-V	-0.0188487342499998
C-Raf_pS338-R-V	0.36303416075
Caspase-7_cleavedD198-R-C	-0.61018433475
Caspase-8-M-E	-0.12668869325
Caveolin-1-R-V	0.38732137625
CD20-R-C	0.0879531462500002
CD31-M-V	0.16469696425
CD49b-M-V	0.0769238872500001
CDK1-R-V	0.0958668672500002
Chk1-M-C	0.17530951475
Chk1_pS345-R-C	-0.0873651502499998
Chk2-M-E	-0.68523798925
Chk2_pT68-R-C	0.13728215875
cIAP-R-V	0.0595889367500002
Claudin-7-R-V	0.74983702925
Collagen_VI-R-V	0.15471874175
Cyclin_B1-R-V	-0.31744562375
Cyclin_D1-R-V	0.61766859875
Cyclin_E1-M-V	0.13844234025
Cyclin_E2-R-C	-0.0889081667499998
DJ-1-R-E	-0.0386967782499998
Dvl3-R-V	-0.0126841822499998
E-Cadherin-R-V	0.12732997925
eEF2-R-C	-0.39639592925
eEF2K-R-V	-0.54058578175
EGFR-R-V	0.14656405525
EGFR_pY1068-R-C	-0.00256259424999994
EGFR_pY1173-R-V	0.0318633767500002
eIF4E-R-V	-0.0723408887499998
eIF4G-R-C	0.13458664475
ER-alpha-R-V	0.29475527275
ER-alpha_pS118-R-V	-0.12949258975
ERCC1-M-V	-0.15165844975
ERK2-R-E	-0.21828636425
ETS-1-R-V	0.47727082375
FASN-R-V	0.50317397625
Fibronectin-R-V	1.94024525925
FoxM1-R-V	-0.0262793267499998
FOXO3a-R-C	0.25754080075
FOXO3a_pS318_S321-R-C	0.13792041775
G6PD-M-V	-0.0839228837499998
GAB2-R-V	0.16361026875
GAPDH-M-C	-1.03815876425
GATA3-M-V	1.67946842375
GSK3-alpha-beta-M-V	-0.0935280337499997
GSK3-alpha-beta_pS21_S9-R-V	-0.25267512975
GSK3_pS9-R-V	-0.25689849575
HER2-M-V	0.23995043875
HER2_pY1248-R-C	0.22339178225
HER3-R-V	-0.21194277325
HER3_pY1289-R-C	0.14791112125
Heregulin-R-V	0.0251923782500002
HSP70-R-C	0.64245295225
IGFBP2-R-V	-0.10464063625
INPP4B-R-V	-0.0922447867499997
IRS1-R-V	0.28668375025
JAB1-M-C	-0.02277744125
JNK_pT183_pY185-R-V	0.18406875525
JNK2-R-C	-0.0783015327499998
Ku80-R-C	-0.73298709375
Lck-R-V	-0.39545453825
LKB1-M-E	0.17740948425
MAPK_pT202_Y204-R-V	0.94281176725
MEK1-R-V	-0.0597625182499998
MEK1_pS217_S221-R-V	0.36486905025
MIG-6-M-V	0.0406688027500002
Mre11-R-C	0.40194054925
MSH2-M-V	-0.20733969825
MSH6-R-C	-0.384705262249999
mTOR-R-V	-0.33686427025
mTOR_pS2448-R-C	-0.0932325922499998
MYH11-R-V	2.74954899125
Myosin-IIa_pS1943-R-V	0.90581796025
N-Cadherin-R-V	0.57385820775
N-Ras-M-V	0.20924865975
NDRG1_pT346-R-V	-0.14811878925
NF-kB-p65_pS536-R-C	0.16337554575
NF2-R-C	-0.48723545925
Notch1-R-V	0.20056566325
P-Cadherin-R-C	0.14170599575
p21-R-V	-0.52775646525
p27-R-V	-0.21839283925
p27_pT157-R-C	0.15519498925
p27_pT198-R-V	-0.0292927252499998
p38_MAPK-R-V	-0.13654421025
p38_pT180_Y182-R-V	0.15330309775
p53-R-E	0.19718744925
p62-LCK-ligand-M-C	-0.21844888025
p70S6K-R-V	-0.42151940425
p70S6K_pT389-R-V	0.28045230625
p90RSK-R-C	-0.36935471575
p90RSK_pT359_S363-R-C	0.41330797325
PAI-1-M-E	0.71610527175
PARP_cleaved-M-E	-0.17762263775
PARP1-R-V	-0.54388743125
Paxillin-R-C	0.0418303517500002
PCNA-M-C	-0.21884655325
