Sample REF	87394E1C-65DA-4993-80CD-FD01F045E4A1
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.0267919944999999
14-3-3_epsilon-M-C	0.0287764314999999
14-3-3_zeta-R-V	-0.022345214
4E-BP1-R-V	-0.2754476535
4E-BP1_pS65-R-V	-0.0972714435
4E-BP1_pT37_T46-R-V	0.0455496975
4E-BP1_pT70-R-V	-0.0564602865
53BP1-R-E	-0.37310429
A-Raf_pS299-R-C	0.0734066199999999
ACC_pS79-R-V	0.292982507
ACC1-R-E	0.2928702575
Acetyl-a-Tubulin-Lys40-R-C	0.090826177
ACVRL1-R-C	-0.146070295
ADAR1-M-V	-0.0559161194999999
Akt-R-V	0.0768848155
Akt_pS473-R-V	0.604524725
Akt_pT308-R-V	0.2889321865
alpha-Catenin-M-V	-0.0599098740000001
AMPK_alpha-R-C	0.2273616935
AMPK_pT172-R-V	0.3878344795
Annexin-1-M-E	0.236877371
Annexin_VII-M-V	0.1242102755
AR-R-V	0.102355677
DIRAS3-M-E	0.0131435455
ASNS-R-V	0.433734593
ATM-R-E	-0.0104391880000001
B-Raf-M-C	-0.153002482
Bad_pS112-R-V	0.0717251845
Bak-R-C	0.00619522300000011
Bap1-c-4-M-E	-0.2931224915
Bax-R-V	-0.0661797635
Bcl-2-M-V	0.055485319
Bcl-xL-R-V	0.60178441
Beclin-G-C	0.3738638495
beta-Catenin-R-V	0.2338964535
Bid-R-C	-0.004728343
Bim-R-V	-0.28811671
c-Jun_pS73-R-V	0.061641206
c-Kit-R-V	0.4201864685
c-Met-M-E	0.146409938
c-Met_pY1235-R-V	-0.0855026065
c-Myc-R-C	-0.0580522075
C-Raf-R-V	-0.2384158205
C-Raf_pS338-R-V	0.0187474415
Caspase-7_cleavedD198-R-C	-0.111741968
Caspase-8-M-E	0.0703106355
Caveolin-1-R-V	1.238774272
CD20-R-C	-0.0738254850000001
CD31-M-V	0.0732280300000001
CD49b-M-V	0.00548237299999979
CDK1-R-V	-0.062937787
Chk1-M-C	-0.6143243895
Chk1_pS345-R-C	-0.0135716155
Chk2-M-E	-0.2600550965
Chk2_pT68-R-C	-0.0319435515
cIAP-R-V	0.0654227885
Claudin-7-R-V	0.202412608
Collagen_VI-R-V	0.5980979025
Cyclin_B1-R-V	-0.242209918
Cyclin_D1-R-V	0.2100048675
Cyclin_E1-M-V	-0.177259492
Cyclin_E2-R-C	-0.280854622
DJ-1-R-E	0.2200536595
Dvl3-R-V	-0.0766238525
E-Cadherin-R-V	0.314177414
eEF2-R-C	-0.1537138955
eEF2K-R-V	-0.333550679
EGFR-R-V	0.236425926
EGFR_pY1068-R-C	0.0462642915
EGFR_pY1173-R-V	-0.0644651095
eIF4E-R-V	-0.00484621799999999
eIF4G-R-C	-0.0413330705
ER-alpha-R-V	-0.0057036025000001
ER-alpha_pS118-R-V	-0.127709224
ERCC1-M-V	0.095111634
ERK2-R-E	0.1478957315
ETS-1-R-V	-0.0324138885
FASN-R-V	0.165075775
Fibronectin-R-V	0.529570317
FoxM1-R-V	-0.488315937
FOXO3a-R-C	0.0325234164999999
FOXO3a_pS318_S321-R-C	0.1190749965
G6PD-M-V	0.135344458
GAB2-R-V	-0.0514121174999999
GAPDH-M-C	-0.2599428265
GATA3-M-V	0.2518168385
GSK3-alpha-beta-M-V	-0.102197848
GSK3-alpha-beta_pS21_S9-R-V	0.314053612
GSK3_pS9-R-V	0.190450783
HER2-M-V	-0.2092425285
HER2_pY1248-R-C	-0.0814700720000001
HER3-R-V	-0.1690092115
HER3_pY1289-R-C	-0.042018998
Heregulin-R-V	-0.142504494
HSP70-R-C	-0.0353473130000001
IGFBP2-R-V	-0.0152123385
INPP4B-R-V	0.0961721260000002
IRS1-R-V	0.015047387
JAB1-M-C	-0.1400567545
JNK_pT183_pY185-R-V	0.038633053
JNK2-R-C	0.246555889
Ku80-R-C	-0.273135697
