Sample REF	87D08FC0-0235-4681-AB7F-2CFE8187E277
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.02809795525
14-3-3_epsilon-M-C	-0.01030665425
14-3-3_zeta-R-V	0.23658675225
4E-BP1-R-V	0.43796342075
4E-BP1_pS65-R-V	0.01085882875
4E-BP1_pT37_T46-R-V	-0.13301526225
4E-BP1_pT70-R-V	0.16636343475
53BP1-R-E	-0.22514493975
A-Raf_pS299-R-C	-0.0913080427499999
ACC_pS79-R-V	0.55110237925
ACC1-R-E	0.53794492375
Acetyl-a-Tubulin-Lys40-R-C	0.39986306425
ACVRL1-R-C	-0.00666734774999983
ADAR1-M-V	-0.0456089432499999
Akt-R-V	-0.25134748625
Akt_pS473-R-V	-0.24140308975
Akt_pT308-R-V	0.0703759547500001
alpha-Catenin-M-V	-0.11327403275
AMPK_alpha-R-C	0.22458841175
AMPK_pT172-R-V	0.35024846975
Annexin-1-M-E	-0.27834974675
Annexin_VII-M-V	-0.0716557932499999
AR-R-V	-0.27162711575
DIRAS3-M-E	0.00670563375000005
ASNS-R-V	0.31426331625
ATM-R-E	-0.45499267275
B-Raf-M-C	-0.25314711775
Bad_pS112-R-V	-0.13447251825
Bak-R-C	0.0529831342500001
Bap1-c-4-M-E	-0.17812684725
Bax-R-V	0.06237897975
Bcl-2-M-V	-0.0806746047499999
Bcl-xL-R-V	-0.12532620875
Beclin-G-C	-0.17152671525
beta-Catenin-R-V	0.47190757075
Bid-R-C	0.30942403925
Bim-R-V	-0.09179312275
c-Jun_pS73-R-V	0.11128510125
c-Kit-R-V	-0.61409326425
c-Met-M-E	-0.12260933875
c-Met_pY1235-R-V	0.0647528297500001
c-Myc-R-C	0.43688347175
C-Raf-R-V	-0.0547477582499998
C-Raf_pS338-R-V	0.21911992475
Caspase-7_cleavedD198-R-C	-0.68785594275
Caspase-8-M-E	-0.19456586625
Caveolin-1-R-V	-0.30248369875
CD20-R-C	-0.15093003675
CD31-M-V	-0.0499955167499999
CD49b-M-V	0.13130572025
CDK1-R-V	0.47313710425
Chk1-M-C	-0.40050904725
Chk1_pS345-R-C	0.0186783787500001
Chk2-M-E	-0.16735131025
Chk2_pT68-R-C	0.20019938175
cIAP-R-V	0.0244074117500001
Claudin-7-R-V	1.00092470225
Collagen_VI-R-V	-0.0241277222499999
Cyclin_B1-R-V	0.54166732425
Cyclin_D1-R-V	0.64555851275
Cyclin_E1-M-V	-0.14157460275
Cyclin_E2-R-C	-0.22263357975
DJ-1-R-E	0.11044699975
Dvl3-R-V	0.11625610575
E-Cadherin-R-V	0.42748834225
eEF2-R-C	-0.02799163225
eEF2K-R-V	-0.37373402875
EGFR-R-V	0.0187438922500001
EGFR_pY1068-R-C	-0.0712930652500001
EGFR_pY1173-R-V	0.01283501975
eIF4E-R-V	0.0227835962500001
eIF4G-R-C	0.05332009475
ER-alpha-R-V	-0.03939621325
ER-alpha_pS118-R-V	-0.13399522375
ERCC1-M-V	-0.0720219267499999
ERK2-R-E	-0.10097583725
ETS-1-R-V	0.01082689475
FASN-R-V	0.40731901625
Fibronectin-R-V	0.59225560825
FoxM1-R-V	0.05479916025
FOXO3a-R-C	0.0236939887500001
FOXO3a_pS318_S321-R-C	-0.0539825262499998
G6PD-M-V	-0.12314869375
GAB2-R-V	-0.42296042625
GAPDH-M-C	0.34084094475
GATA3-M-V	0.0139025397499999
GSK3-alpha-beta-M-V	-0.0708211517499999
GSK3-alpha-beta_pS21_S9-R-V	-0.21111998875
GSK3_pS9-R-V	0.00267210825000003
HER2-M-V	0.36787227575
HER2_pY1248-R-C	0.26107517425
HER3-R-V	0.62539727775
HER3_pY1289-R-C	0.09628279425
Heregulin-R-V	0.20126032225
HSP70-R-C	1.95055942825
IGFBP2-R-V	0.38104929975
INPP4B-R-V	-0.19218422175
IRS1-R-V	0.16997553925
JAB1-M-C	-0.12097824625
JNK_pT183_pY185-R-V	0.11152463425
JNK2-R-C	0.28645863525
Ku80-R-C	-0.26917796075
Lck-R-V	-0.26468464125
LKB1-M-E	0.24720134125
MAPK_pT202_Y204-R-V	-0.0839018657500001
MEK1-R-V	0.17894326475
MEK1_pS217_S221-R-V	0.19126496725
MIG-6-M-V	0.01422354975
Mre11-R-C	0.19403873125
MSH2-M-V	-0.19232136825
MSH6-R-C	-0.11402272825
mTOR-R-V	-0.35775330725
mTOR_pS2448-R-C	-0.23726420425
MYH11-R-V	-0.95187239175
Myosin-IIa_pS1943-R-V	-0.29678508475
N-Cadherin-R-V	0.0582652267500001
N-Ras-M-V	0.04814588375
NDRG1_pT346-R-V	-0.32735476325
NF-kB-p65_pS536-R-C	-0.0345194982499999
NF2-R-C	-0.24149163125
Notch1-R-V	0.11315859525
P-Cadherin-R-C	0.06026986575
p21-R-V	-0.39771920825
p27-R-V	-0.46563741825
p27_pT157-R-C	0.0110763962500001
p27_pT198-R-V	0.0242658187500001
p38_MAPK-R-V	-0.00267210825000003
p38_pT180_Y182-R-V	-0.11111103925
p53-R-E	0.0671611422500001
p62-LCK-ligand-M-C	-0.23644509825
p70S6K-R-V	-0.17377584325
p70S6K_pT389-R-V	0.0255855512500001
p90RSK-R-C	0.12239338825
p90RSK_pT359_S363-R-C	0.23775043325
PAI-1-M-E	0.54332205975
PARP_cleaved-M-E	-0.0662229957500002
PARP1-R-V	-0.23611258125
Paxillin-R-C	0.22624211675
PCNA-M-C	-0.04413091425
PDCD4-R-C	-0.71882362525
PDK1-R-V	0.12135133275
PDK1_pS241-R-V	0.07838514225
PEA15-R-V	-0.02814727125
PEA15_pS116-R-V	0.22062279925
PI3K-p110-alpha-R-C	-0.15438117875
PI3K-p85-R-V	-0.43588471975
PKC-alpha-M-V	-0.28400348425
PKC-alpha_pS657-R-C	-0.45694307775
PKC-delta_pS664-R-V	-0.12042832375
PKC-pan_BetaII_pS660-R-V	-0.44130045575
PR-R-V	0.07122644775
PRAS40_pT246-R-V	0.0263794142500001
PRDX1-R-V	-0.25904715775
PREX1-R-E	-0.58946927675
PTEN-R-V	-0.26019392725
Rab11-R-E	0.13986466125
Rab25-R-V	0.13062362325
Rad50-M-V	-0.05928131375
Rad51-R-V	0.26983163375
Raptor-R-V	-0.18151770625
Rb-M-E	0.16848598125
Rb_pS807_S811-R-V	0.26069184225
RBM15-R-V	-0.11527813875
Rictor-R-C	-0.47408548325
Rictor_pT1135-R-V	0.36534675675
S6-R-E	-0.24912402275
S6_pS235_S236-R-V	-0.29913187325
S6_pS240_S244-R-V	-0.21497547975
SCD-M-V	-0.14271867275
SETD2-R-E	0.11696799525
SF2-M-V	-0.17879853525
Shc_pY317-R-E	0.0452726047499999
Smac-M-E	-0.48846878775
Smad1-R-V	-0.0552972637499999
Smad3-R-V	-0.0967890707499999
Smad4-M-V	0.0786523692500001
Snail-M-E	0.12261860625
Src-M-V	0.0497699342500001
Src_pY416-R-C	0.00367626125000015
Src_pY527-R-V	0.26874298775
STAT3_pY705-R-V	-0.45758005425
STAT5-alpha-R-V	-0.97283470575
Stathmin-R-V	0.25024257625
Syk-M-V	-0.80346134275
TAZ-R-V	0.09817238625
TFRC-R-V	-0.08257628775
TIGAR-R-V	-0.10449966775
Transglutaminase-M-V	-0.08832972525
TSC1-R-C	0.01971304175
TTF1-R-V	0.0670553492500001
Tuberin-R-E	-0.19496309925
Tuberin_pT1462-R-V	0.13504918875
VEGFR2-R-V	0.0771968187500001
EPPK1-M-E	0.23748080675
XBP1-G-C	-0.33164987675
XRCC1-R-E	-0.0653862757499999
YAP-R-E	0.28788334175
YAP_pS127-R-E	0.30486578775
YB-1-R-V	0.09538669925
YB-1_pS102-R-V	0.26482141125
A-Raf-R-V	-0.14590325575
ARID1A-R-C	0.18578676875
B-Raf_pS445-R-V	-0.46507320175
Bcl2A1-R-V	0.45724590175
BRD4-R-V	0.10094487575
c-Abl-R-V	-0.13202988075
Caspase-3-R-C	0.37012567475
CD26-R-V	-0.03793706775
Chk1_pS296-R-V	0.02811230525
COG3-R-V	-0.13928517275
DUSP4-R-V	0.80820057675
ERCC5-R-C	-0.25950427725
IGF1R_pY1135_Y1136-R-V	0.0771917067499999
IRF-1-R-C	-0.03094571875
Jak2-R-V	-0.53815191575
p16_INK4a-R-V	0.36555848525
SHP-2_pY542-R-C	0.07031208025
CDK1_pY15-R-C	0.10425449075
