Sample REF	8A84F80A-CA4D-4809-BF17-D50458644D56
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.0343780554999999
14-3-3_epsilon-M-C	0.0326188064999999
14-3-3_zeta-R-V	0.219894141
4E-BP1-R-V	0.0484539075
4E-BP1_pS65-R-V	0.0628373194999999
4E-BP1_pT37_T46-R-V	0.0199436005
4E-BP1_pT70-R-V	-0.2393256275
53BP1-R-E	0.204415191
A-Raf_pS299-R-C	-0.219692357
ACC_pS79-R-V	-0.011005196
ACC1-R-E	0.2003637135
Acetyl-a-Tubulin-Lys40-R-C	-0.236017218
ACVRL1-R-C	-0.167560054
ADAR1-M-V	0.2533140895
Akt-R-V	-0.3015970845
Akt_pS473-R-V	-0.35504593
Akt_pT308-R-V	-0.4404008545
alpha-Catenin-M-V	-0.117873956
AMPK_alpha-R-C	0.0959257855
AMPK_pT172-R-V	-0.2112395365
Annexin-1-M-E	-0.107353966
Annexin_VII-M-V	0.1867917105
AR-R-V	-0.054440511
DIRAS3-M-E	-0.0851035385000001
ASNS-R-V	0.197854393
ATM-R-E	0.565004094
B-Raf-M-C	0.270094931
Bad_pS112-R-V	-0.1093404405
Bak-R-C	0.0526332330000001
Bap1-c-4-M-E	0.1259513925
Bax-R-V	0.7185171765
Bcl-2-M-V	0.072544215
Bcl-xL-R-V	-0.388621129
Beclin-G-C	0.0471823954999999
beta-Catenin-R-V	-0.3168041925
Bid-R-C	-0.0844665840000001
Bim-R-V	0.188443281
c-Jun_pS73-R-V	-0.060571215
c-Kit-R-V	1.7679965095
c-Met-M-E	-0.156448984
c-Met_pY1235-R-V	0.0469115585
c-Myc-R-C	-0.0287392345
C-Raf-R-V	-0.0374616234999999
C-Raf_pS338-R-V	-0.0708335605
Caspase-7_cleavedD198-R-C	0.233108944
Caspase-8-M-E	0.2165364135
Caveolin-1-R-V	-0.79308314
CD20-R-C	0.120263727
CD31-M-V	-0.0922902320000001
CD49b-M-V	0.0177407079999998
CDK1-R-V	0.011926855
Chk1-M-C	0.4860079225
Chk1_pS345-R-C	0.0597240245
Chk2-M-E	1.0715765805
Chk2_pT68-R-C	1.4198358685
cIAP-R-V	0.2119851315
Claudin-7-R-V	-0.205737448
Collagen_VI-R-V	-0.0753653195
Cyclin_B1-R-V	0.357131045
Cyclin_D1-R-V	-0.1752877315
Cyclin_E1-M-V	0.32307445
Cyclin_E2-R-C	0.163636986
DJ-1-R-E	0.0395610955
Dvl3-R-V	0.2755882205
E-Cadherin-R-V	-0.307432348
eEF2-R-C	0.3223171525
eEF2K-R-V	-0.053580121
EGFR-R-V	-0.263736293
EGFR_pY1068-R-C	-0.1203559025
EGFR_pY1173-R-V	0.0171045245
eIF4E-R-V	0.011038632
eIF4G-R-C	0.00860106249999995
ER-alpha-R-V	-0.1542982315
ER-alpha_pS118-R-V	0.165222596
ERCC1-M-V	-0.00459923200000004
ERK2-R-E	0.0319864834999999
ETS-1-R-V	-0.0395934835
FASN-R-V	0.113753971
Fibronectin-R-V	-1.085140958
FoxM1-R-V	0.039876979
FOXO3a-R-C	0.0432363485
FOXO3a_pS318_S321-R-C	-0.1070822965
G6PD-M-V	-0.0188389870000001
GAB2-R-V	-0.0708024205
GAPDH-M-C	0.4270458355
GATA3-M-V	-0.2300093205
GSK3-alpha-beta-M-V	0.230519759
GSK3-alpha-beta_pS21_S9-R-V	-0.238223248
GSK3_pS9-R-V	-0.778636869
HER2-M-V	-0.5299098875
HER2_pY1248-R-C	-0.178632525
HER3-R-V	0.1695482435
HER3_pY1289-R-C	-0.0813502660000001
Heregulin-R-V	-0.102814807
HSP70-R-C	-0.635193492
IGFBP2-R-V	-0.1594603985
INPP4B-R-V	-0.0762937009999998
IRS1-R-V	-0.213909536
JAB1-M-C	0.0255495035
JNK_pT183_pY185-R-V	-0.102706362
JNK2-R-C	-0.108343988
Ku80-R-C	0.417966443
Lck-R-V	0.4105695225
LKB1-M-E	-0.0284662530000001
MAPK_pT202_Y204-R-V	-0.247558428
MEK1-R-V	-0.00505115250000002
MEK1_pS217_S221-R-V	-0.106185437
MIG-6-M-V	-0.0429268835
Mre11-R-C	-0.131879238
MSH2-M-V	0.5222587135
MSH6-R-C	0.4852074565
mTOR-R-V	0.3761780725
mTOR_pS2448-R-C	-0.1578459045
MYH11-R-V	-2.281027394
Myosin-IIa_pS1943-R-V	-0.009271266
N-Cadherin-R-V	-0.2357088745
N-Ras-M-V	0.1093680245
NDRG1_pT346-R-V	-0.0141197125000001
NF-kB-p65_pS536-R-C	-0.7806669595
NF2-R-C	0.1859867145
Notch1-R-V	-0.115815064
P-Cadherin-R-C	-0.00470704450000006
p21-R-V	0.2007599055
p27-R-V	0.2454585765
p27_pT157-R-C	0.0151552099999999
p27_pT198-R-V	0.0584221385
p38_MAPK-R-V	0.0698216034999999
p38_pT180_Y182-R-V	-0.5736854555
p53-R-E	-0.262598014
p62-LCK-ligand-M-C	0.2081434785
p70S6K-R-V	0.1783511715
p70S6K_pT389-R-V	-0.325028471
p90RSK-R-C	0.159072735
p90RSK_pT359_S363-R-C	-0.314643353
PAI-1-M-E	1.0746003335
PARP_cleaved-M-E	0.20896706
PARP1-R-V	1.0307148455
Paxillin-R-C	-0.1452194995
PCNA-M-C	0.3234565745
PDCD4-R-C	0.7424065305
PDK1-R-V	-0.0492386285
PDK1_pS241-R-V	-0.174568062
PEA15-R-V	-0.0155185815000001
PEA15_pS116-R-V	-0.188865925
PI3K-p110-alpha-R-C	0.163426953
PI3K-p85-R-V	0.230130244
PKC-alpha-M-V	-0.0765433925
PKC-alpha_pS657-R-C	-0.18307082
PKC-delta_pS664-R-V	0.22565278
PKC-pan_BetaII_pS660-R-V	0.184830777
PR-R-V	-0.0890553615
PRAS40_pT246-R-V	-0.0588885260000001
PRDX1-R-V	0.0812325169999999
PREX1-R-E	0.524236799
PTEN-R-V	-0.0846491445
Rab11-R-E	0.029727471
Rab25-R-V	-0.587477609
Rad50-M-V	0.0313995949999999
Rad51-R-V	-0.4521542185
Raptor-R-V	0.3243119735
Rb-M-E	-0.110339253
Rb_pS807_S811-R-V	-0.271527129
RBM15-R-V	0.232044932
Rictor-R-C	-0.4108706905
Rictor_pT1135-R-V	-0.1252631455
S6-R-E	0.449917853
S6_pS235_S236-R-V	0.1486002805
S6_pS240_S244-R-V	0.225228922
SCD-M-V	0.192141154
SETD2-R-E	-0.172330829
SF2-M-V	0.1493767955
Shc_pY317-R-E	-0.00906520850000003
Smac-M-E	0.200325284
Smad1-R-V	0.0226712019999999
Smad3-R-V	0.25992386
Smad4-M-V	-0.147921753
Snail-M-E	0.497827792
Src-M-V	0.174855793
Src_pY416-R-C	-0.435130287
Src_pY527-R-V	-0.2446761535
STAT3_pY705-R-V	0.4747921455
STAT5-alpha-R-V	0.462790404
Stathmin-R-V	0.00459923200000001
Syk-M-V	0.296036353
TAZ-R-V	-0.222039279
TFRC-R-V	0.566310382
TIGAR-R-V	0.279160552
Transglutaminase-M-V	0.0834480355
TSC1-R-C	-0.0619922965
TTF1-R-V	-0.011199312
Tuberin-R-E	0.0971979294999998
Tuberin_pT1462-R-V	-0.3711811625
VEGFR2-R-V	-0.1136459075
EPPK1-M-E	0.3321148365
XBP1-G-C	-0.360322549
XRCC1-R-E	0.284650304
YAP-R-E	-0.1498755455
YAP_pS127-R-E	-0.9802685045
YB-1-R-V	-0.072488135
YB-1_pS102-R-V	-0.186986051
A-Raf-R-V	0.147336059
ARID1A-R-C	0.0926885325
B-Raf_pS445-R-V	0.118889263
