Sample REF	94D9E508-F429-4174-872A-8B228FFBB2BC
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.078989655
14-3-3_epsilon-M-C	0.157016577
14-3-3_zeta-R-V	-0.1288502065
4E-BP1-R-V	-0.319338699
4E-BP1_pS65-R-V	-0.086503954
4E-BP1_pT37_T46-R-V	-0.389927339
4E-BP1_pT70-R-V	-0.092612093
53BP1-R-E	-0.1958737975
A-Raf_pS299-R-C	-0.00169895949999999
ACC_pS79-R-V	0.1705797445
ACC1-R-E	0.169842446
Acetyl-a-Tubulin-Lys40-R-C	0.3441243385
ACVRL1-R-C	0.0463345715000001
ADAR1-M-V	-0.0279000159999999
Akt-R-V	0.179767797
Akt_pS473-R-V	0.2493967755
Akt_pT308-R-V	0.0573213790000001
alpha-Catenin-M-V	0.0538052405000001
AMPK_alpha-R-C	0.243032354
AMPK_pT172-R-V	0.655242362
Annexin-1-M-E	0.1384736815
Annexin_VII-M-V	0.228293605
AR-R-V	0.1070282605
DIRAS3-M-E	0.278272636
ASNS-R-V	0.1288171575
ATM-R-E	-0.0102478654999999
B-Raf-M-C	0.5024025005
Bad_pS112-R-V	0.062136948
Bak-R-C	0.1392031065
Bap1-c-4-M-E	0.023991044
Bax-R-V	-0.338036621
Bcl-2-M-V	-0.0414497344999999
Bcl-xL-R-V	0.3819914415
Beclin-G-C	0.294206909
beta-Catenin-R-V	0.406044987
Bid-R-C	-0.0938363365
Bim-R-V	-0.1396428875
c-Jun_pS73-R-V	0.0853078585
c-Kit-R-V	-0.630117467
c-Met-M-E	0.1581035445
c-Met_pY1235-R-V	-0.142165789
c-Myc-R-C	-0.00663067399999995
C-Raf-R-V	-0.074117605
C-Raf_pS338-R-V	-0.139369107
Caspase-7_cleavedD198-R-C	0.1539916675
Caspase-8-M-E	0.00194738500000005
Caveolin-1-R-V	0.8697297705
CD20-R-C	-0.1708637885
CD31-M-V	0.0717670275000001
CD49b-M-V	0.0650501515
CDK1-R-V	0.1586656365
Chk1-M-C	0.12058245
Chk1_pS345-R-C	-0.106825209
Chk2-M-E	-0.454269781
Chk2_pT68-R-C	-0.180422111
cIAP-R-V	0.168439988
Claudin-7-R-V	-0.2427471165
Collagen_VI-R-V	0.19135741
Cyclin_B1-R-V	0.000527052499999958
Cyclin_D1-R-V	-0.119054481
Cyclin_E1-M-V	0.1420737585
Cyclin_E2-R-C	-0.3979806595
DJ-1-R-E	0.344410435
Dvl3-R-V	-0.270327024
E-Cadherin-R-V	0.2045710235
eEF2-R-C	-0.191950202
eEF2K-R-V	-0.4198358355
EGFR-R-V	0.1186468625
EGFR_pY1068-R-C	-0.0253523750000001
EGFR_pY1173-R-V	-0.214904533
eIF4E-R-V	0.0975219765000001
eIF4G-R-C	-0.067879143
ER-alpha-R-V	0.00913788900000012
ER-alpha_pS118-R-V	-0.2815023515
ERCC1-M-V	0.0729361695
ERK2-R-E	0.346271334
ETS-1-R-V	0.022319512
FASN-R-V	-0.00052705249999993
Fibronectin-R-V	0.0994030525000001
FoxM1-R-V	-0.2135227685
FOXO3a-R-C	0.155012712
FOXO3a_pS318_S321-R-C	0.13182438
G6PD-M-V	0.7394179525
GAB2-R-V	-0.527599339
GAPDH-M-C	-0.264287205
GATA3-M-V	0.292014169
GSK3-alpha-beta-M-V	-0.0127509884999999
GSK3-alpha-beta_pS21_S9-R-V	0.0276189105000001
GSK3_pS9-R-V	-0.0862824945
HER2-M-V	-0.365753888
HER2_pY1248-R-C	-0.2431418735
HER3-R-V	0.00229578300000005
HER3_pY1289-R-C	-0.1688420525
Heregulin-R-V	-0.1518924455
HSP70-R-C	-0.0532276555000001
IGFBP2-R-V	-0.147806632
INPP4B-R-V	0.1137501145
IRS1-R-V	-0.0841918775
JAB1-M-C	0.155877588
JNK_pT183_pY185-R-V	0.0775299845
JNK2-R-C	0.5049736915
Ku80-R-C	-0.2827604665
Lck-R-V	-0.0950263669999999
LKB1-M-E	0.1496095835
MAPK_pT202_Y204-R-V	-0.1094131645
MEK1-R-V	-0.0254476359999999
MEK1_pS217_S221-R-V	-0.1528141895
MIG-6-M-V	-0.013325977
Mre11-R-C	0.0961182765000001
MSH2-M-V	-0.220027795
MSH6-R-C	-0.438105196
mTOR-R-V	0.126126707
mTOR_pS2448-R-C	0.178893285
MYH11-R-V	2.2058105105
Myosin-IIa_pS1943-R-V	-0.3855672935
N-Cadherin-R-V	0.177905152
N-Ras-M-V	0.035920439
NDRG1_pT346-R-V	0.757626798
NF-kB-p65_pS536-R-C	0.1291278
NF2-R-C	-0.328561635
