Sample REF	9509378B-1D46-4CA4-9FAB-A2B8B2A1D9BF
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.0335156857500001
14-3-3_epsilon-M-C	0.09775616625
14-3-3_zeta-R-V	0.13591790775
4E-BP1-R-V	0.10521185625
4E-BP1_pS65-R-V	0.11977563325
4E-BP1_pT37_T46-R-V	0.20885766125
4E-BP1_pT70-R-V	0.14499582325
53BP1-R-E	-0.51509615625
A-Raf_pS299-R-C	-0.07348159025
ACC_pS79-R-V	0.56033828275
ACC1-R-E	0.58843090825
Acetyl-a-Tubulin-Lys40-R-C	-0.85912107425
ACVRL1-R-C	0.19533771875
ADAR1-M-V	0.09273406725
Akt-R-V	-0.23156202175
Akt_pS473-R-V	-0.03423712225
Akt_pT308-R-V	-0.14266911175
alpha-Catenin-M-V	-0.17829120725
AMPK_alpha-R-C	-0.03447004575
AMPK_pT172-R-V	0.17911835125
Annexin-1-M-E	0.08795745375
Annexin_VII-M-V	-0.15459103675
AR-R-V	-0.13123155425
DIRAS3-M-E	-0.0714381137500001
ASNS-R-V	1.37949645575
ATM-R-E	0.0739664907500001
B-Raf-M-C	0.14982279675
Bad_pS112-R-V	0.16253778225
Bak-R-C	0.0075449277500001
Bap1-c-4-M-E	0.06927681825
Bax-R-V	0.27618117925
Bcl-2-M-V	-0.05176985125
Bcl-xL-R-V	-0.09382730025
Beclin-G-C	-0.14438908675
beta-Catenin-R-V	0.31682100525
Bid-R-C	-0.0454849942500001
Bim-R-V	0.33891355375
c-Jun_pS73-R-V	-0.02029945125
c-Kit-R-V	0.81395042225
c-Met-M-E	-0.18593477325
c-Met_pY1235-R-V	-0.00651488775000003
c-Myc-R-C	-0.01999944875
C-Raf-R-V	0.11853182725
C-Raf_pS338-R-V	0.00353575824999997
Caspase-7_cleavedD198-R-C	0.92365192175
Caspase-8-M-E	-0.02983623875
Caveolin-1-R-V	-0.0827701232499999
CD20-R-C	-0.02549394325
CD31-M-V	-0.09908813525
CD49b-M-V	0.11824937775
CDK1-R-V	0.34419122975
Chk1-M-C	0.27642016025
Chk1_pS345-R-C	0.26232138325
Chk2-M-E	0.42062453725
Chk2_pT68-R-C	0.26613147425
cIAP-R-V	0.0549292032499999
Claudin-7-R-V	0.42616878875
Collagen_VI-R-V	-0.16645697775
Cyclin_B1-R-V	0.79777059975
Cyclin_D1-R-V	-0.38395101775
Cyclin_E1-M-V	0.30280347475
Cyclin_E2-R-C	0.10076577675
DJ-1-R-E	0.21118754725
Dvl3-R-V	-0.38887837075
E-Cadherin-R-V	0.81427207175
eEF2-R-C	0.15820841125
eEF2K-R-V	-0.24945094925
EGFR-R-V	-0.14422120325
EGFR_pY1068-R-C	-0.27983813175
EGFR_pY1173-R-V	-0.09371786275
eIF4E-R-V	0.17705941075
eIF4G-R-C	0.33894800125
ER-alpha-R-V	-0.21561196975
ER-alpha_pS118-R-V	-0.04753388525
ERCC1-M-V	0.11328203175
ERK2-R-E	0.13954610725
ETS-1-R-V	0.04428883425
FASN-R-V	0.58910645875
Fibronectin-R-V	0.10273522475
FoxM1-R-V	1.10521028675
FOXO3a-R-C	-0.08739651575
FOXO3a_pS318_S321-R-C	0.03510193525
G6PD-M-V	-0.08974235525
GAB2-R-V	-0.72847028275
GAPDH-M-C	1.06565986125
GATA3-M-V	-0.17179865875
GSK3-alpha-beta-M-V	-0.12801978625
GSK3-alpha-beta_pS21_S9-R-V	0.35396152175
GSK3_pS9-R-V	-0.15103343525
HER2-M-V	-0.02405297575
HER2_pY1248-R-C	-0.11433720125
HER3-R-V	-0.18022802475
HER3_pY1289-R-C	0.0801174917499999
Heregulin-R-V	-0.09621900025
HSP70-R-C	-0.36203225125
IGFBP2-R-V	-0.19961185675
INPP4B-R-V	-0.17797236725
IRS1-R-V	-0.18514931525
JAB1-M-C	0.00587766224999975
JNK_pT183_pY185-R-V	-0.07000507425
JNK2-R-C	-0.04498245025
Ku80-R-C	-0.27869678325
Lck-R-V	0.26078087925
LKB1-M-E	-0.11371602125
MAPK_pT202_Y204-R-V	-0.37343981125
MEK1-R-V	-0.15180803975
MEK1_pS217_S221-R-V	-0.0476126532500001
MIG-6-M-V	0.26815739825
Mre11-R-C	-0.15482984925
MSH2-M-V	0.80701450825
MSH6-R-C	0.57389862525
mTOR-R-V	-0.00797785574999998
mTOR_pS2448-R-C	0.0505999782500001
MYH11-R-V	-2.04844683325
Myosin-IIa_pS1943-R-V	-0.18463744825
N-Cadherin-R-V	-0.23937211875
N-Ras-M-V	0.13293264125
NDRG1_pT346-R-V	-0.0347313237499999
NF-kB-p65_pS536-R-C	-0.29526177575
NF2-R-C	0.29204927525
Notch1-R-V	-0.07562340525
P-Cadherin-R-C	-0.41276688575
p21-R-V	-0.82403745175
p27-R-V	-0.03289663375
p27_pT157-R-C	0.00310786175
p27_pT198-R-V	0.0879804742499999
p38_MAPK-R-V	0.0804733962499998
p38_pT180_Y182-R-V	-0.30527967475
p53-R-E	-0.16082188125
p62-LCK-ligand-M-C	-0.06035648075
p70S6K-R-V	0.27059091425
p70S6K_pT389-R-V	-0.25310432325
p90RSK-R-C	0.28656571575
p90RSK_pT359_S363-R-C	0.0113675147500001
PAI-1-M-E	0.30694709125
PARP_cleaved-M-E	0.0242605987499999
PARP1-R-V	0.32796166625
Paxillin-R-C	0.11515213525
PCNA-M-C	0.17301041325
PDCD4-R-C	-0.83249906175
PDK1-R-V	-0.00310786175
PDK1_pS241-R-V	0.14335908375
PEA15-R-V	0.18686050025
