Sample REF	962143F1-494F-4391-BA87-F030E20A9B8B
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.000174312999999995
14-3-3_epsilon-M-C	0.09634382
14-3-3_zeta-R-V	-0.1403185955
4E-BP1-R-V	-0.224519082
4E-BP1_pS65-R-V	-0.077845746
4E-BP1_pT37_T46-R-V	-0.073093781
4E-BP1_pT70-R-V	-0.169066096
53BP1-R-E	0.2314496335
A-Raf_pS299-R-C	-0.0426948395
ACC_pS79-R-V	-0.4027109495
ACC1-R-E	-0.614271333
Acetyl-a-Tubulin-Lys40-R-C	-0.0441401165
ACVRL1-R-C	-0.00930800849999995
ADAR1-M-V	0.073971849
Akt-R-V	0.0906702
Akt_pS473-R-V	0.2602809315
Akt_pT308-R-V	0.012268623
alpha-Catenin-M-V	0.0404433754999999
AMPK_alpha-R-C	-0.123236665
AMPK_pT172-R-V	-0.64999147
Annexin-1-M-E	0.2190085465
Annexin_VII-M-V	0.250005693
AR-R-V	-4.65249999999362e-06
DIRAS3-M-E	-0.112136933
ASNS-R-V	-0.1657858235
ATM-R-E	0.1777677265
B-Raf-M-C	0.1694308925
Bad_pS112-R-V	0.064177006
Bak-R-C	-0.1317449385
Bap1-c-4-M-E	-0.0996640850000001
Bax-R-V	-0.169725001
Bcl-2-M-V	0.2316919605
Bcl-xL-R-V	-0.0128607995
Beclin-G-C	-0.027077301
beta-Catenin-R-V	-0.168752977
Bid-R-C	-0.1096567775
Bim-R-V	4.65249999999362e-06
c-Jun_pS73-R-V	-0.1369119605
c-Kit-R-V	1.610341175
c-Met-M-E	0.0469324075
c-Met_pY1235-R-V	0.009066716
c-Myc-R-C	-0.084921177
C-Raf-R-V	0.098771734
C-Raf_pS338-R-V	-0.077196068
Caspase-7_cleavedD198-R-C	0.0777323125
Caspase-8-M-E	-0.019317682
Caveolin-1-R-V	0.2617793865
CD20-R-C	0.0564339135
CD31-M-V	0.0417407145000001
CD49b-M-V	-0.0294055635000002
CDK1-R-V	-0.0539668115
Chk1-M-C	0.14548907
Chk1_pS345-R-C	0.105414273
Chk2-M-E	0.52264991
Chk2_pT68-R-C	0.338405547
cIAP-R-V	0.00409671999999999
Claudin-7-R-V	-0.3097550365
Collagen_VI-R-V	-0.190249928
Cyclin_B1-R-V	0.3560839985
Cyclin_D1-R-V	0.210808256
Cyclin_E1-M-V	-0.0672854835
Cyclin_E2-R-C	0.2269588315
DJ-1-R-E	-0.00262306799999999
Dvl3-R-V	0.066863005
E-Cadherin-R-V	-1.0893519155
eEF2-R-C	-0.00961111800000002
eEF2K-R-V	0.3208511075
EGFR-R-V	-0.0767983615
EGFR_pY1068-R-C	0.0212564589999999
EGFR_pY1173-R-V	-0.040051499
eIF4E-R-V	-0.0643282175
