Sample REF	98BF5B14-7CE7-4E13-BFAA-104572685026
Composite Element REF	Protein Expression
14-3-3_beta-R-V	1.4587473745
14-3-3_epsilon-M-C	0.0727827854999999
14-3-3_zeta-R-V	-0.006588284
4E-BP1-R-V	-0.1435204065
4E-BP1_pS65-R-V	-0.2715098755
4E-BP1_pT37_T46-R-V	0.0845709615
4E-BP1_pT70-R-V	0.5064677225
53BP1-R-E	-0.56055537
A-Raf_pS299-R-C	0.144265189
ACC_pS79-R-V	-0.708681446
ACC1-R-E	-0.8433178495
Acetyl-a-Tubulin-Lys40-R-C	-0.099820646
ACVRL1-R-C	0.453624447
ADAR1-M-V	-0.2192226025
Akt-R-V	-0.0852346035000001
Akt_pS473-R-V	0.473072408
Akt_pT308-R-V	0.5559770095
alpha-Catenin-M-V	-0.063116204
AMPK_alpha-R-C	0.0534075104999999
AMPK_pT172-R-V	-0.1175405015
Annexin-1-M-E	0.344835864
Annexin_VII-M-V	0.2127307015
AR-R-V	-0.75198614
DIRAS3-M-E	-0.1218568985
ASNS-R-V	1.251623534
ATM-R-E	-0.118924713
B-Raf-M-C	-0.259823552
Bad_pS112-R-V	-0.0443850615
Bak-R-C	0.209716231
Bap1-c-4-M-E	-0.6376104975
Bax-R-V	-0.1207407825
Bcl-2-M-V	-0.0329953140000001
Bcl-xL-R-V	0.279714918
Beclin-G-C	0.5899187635
beta-Catenin-R-V	-0.4474517075
Bid-R-C	0.426439182
Bim-R-V	-0.29558392
c-Jun_pS73-R-V	0.019471035
c-Kit-R-V	-0.4110992145
c-Met-M-E	0.02554094
c-Met_pY1235-R-V	-0.1160100005
c-Myc-R-C	0.2451586945
C-Raf-R-V	-0.3439248605
C-Raf_pS338-R-V	0.3510022675
Caspase-7_cleavedD198-R-C	-0.292272051
Caspase-8-M-E	0.0761209594999999
Caveolin-1-R-V	-0.090546677
CD20-R-C	-0.296216062
CD31-M-V	0.115626096
CD49b-M-V	0.18001839
CDK1-R-V	0.02515442
Chk1-M-C	-0.7160432975
Chk1_pS345-R-C	-0.2327958255
Chk2-M-E	-0.4336148265
Chk2_pT68-R-C	0.2540101185
cIAP-R-V	-0.1822240045
Claudin-7-R-V	-0.464565307
Collagen_VI-R-V	0.7362455735
Cyclin_B1-R-V	-1.070626463
Cyclin_D1-R-V	2.1318739125
Cyclin_E1-M-V	-0.379186608
Cyclin_E2-R-C	-0.66285095
DJ-1-R-E	-0.0839427195
Dvl3-R-V	-0.2276790795
E-Cadherin-R-V	-0.79553763
eEF2-R-C	-0.1869166325
eEF2K-R-V	0.059960681
EGFR-R-V	0.727850334
EGFR_pY1068-R-C	-0.0170448095
EGFR_pY1173-R-V	-0.2576202695
eIF4E-R-V	0.401211338
eIF4G-R-C	-0.3142242655
ER-alpha-R-V	0.6792759575
ER-alpha_pS118-R-V	-0.494239032
ERCC1-M-V	-0.212189379
ERK2-R-E	-0.1096598405
ETS-1-R-V	0.4836535405
FASN-R-V	-0.765045522
Fibronectin-R-V	0.766199517
FoxM1-R-V	-0.66172447
FOXO3a-R-C	0.2311905405
FOXO3a_pS318_S321-R-C	0.2561587855
G6PD-M-V	0.287681863
GAB2-R-V	-0.0515243675
GAPDH-M-C	-0.0808755965000001
GATA3-M-V	0.1430561455
GSK3-alpha-beta-M-V	-0.263008749
GSK3-alpha-beta_pS21_S9-R-V	0.073377588
GSK3_pS9-R-V	-0.012482898
HER2-M-V	-0.5065266285
HER2_pY1248-R-C	0.799933713
HER3-R-V	0.1750822475
HER3_pY1289-R-C	0.102802019
Heregulin-R-V	-0.195692409
HSP70-R-C	2.64563463
IGFBP2-R-V	0.1046421575
INPP4B-R-V	0.0204023280000001
IRS1-R-V	0.444989841
JAB1-M-C	-0.1446030675
JNK_pT183_pY185-R-V	0.271469708
JNK2-R-C	-0.095317314
Ku80-R-C	-0.434598193
Lck-R-V	0.1750784005
LKB1-M-E	0.550206714
MAPK_pT202_Y204-R-V	0.918017892
MEK1-R-V	0.2642777915
MEK1_pS217_S221-R-V	0.388330359
MIG-6-M-V	-0.0567463245000001
Mre11-R-C	0.587488071
MSH2-M-V	-0.7295336295
MSH6-R-C	-1.1116949455
mTOR-R-V	-0.5018930355
mTOR_pS2448-R-C	-0.0613250665
MYH11-R-V	1.506803021
Myosin-IIa_pS1943-R-V	0.111762899
N-Cadherin-R-V	0.7308612075
N-Ras-M-V	0.1365607145
NDRG1_pT346-R-V	0.7362898535
NF-kB-p65_pS536-R-C	0.7171229425
NF2-R-C	-0.6944155745
Notch1-R-V	0.381645984
P-Cadherin-R-C	0.2774988435
p21-R-V	0.9636438255
p27-R-V	0.1211716365
p27_pT157-R-C	0.104566111
p27_pT198-R-V	0.3120296285
