Sample REF	9B312149-C836-4776-B637-9FA92B1CD26B
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.0206854305000002
14-3-3_epsilon-M-C	-0.0963071215
14-3-3_zeta-R-V	0.054009599
4E-BP1-R-V	-0.2067232405
4E-BP1_pS65-R-V	0.3202682605
4E-BP1_pT37_T46-R-V	-0.3139133925
4E-BP1_pT70-R-V	-0.0723403365000001
53BP1-R-E	-0.225899213
A-Raf_pS299-R-C	-0.000889665999999956
ACC_pS79-R-V	-0.238036214
ACC1-R-E	-0.3742540105
Acetyl-a-Tubulin-Lys40-R-C	0.498900611
ACVRL1-R-C	0.0719136699999999
ADAR1-M-V	-0.2255919255
Akt-R-V	0.2134615495
Akt_pS473-R-V	0.000889665999999956
Akt_pT308-R-V	0.0951236845
alpha-Catenin-M-V	0.108987414
AMPK_alpha-R-C	0.4018718015
AMPK_pT172-R-V	0.5900082935
Annexin-1-M-E	0.13671881
Annexin_VII-M-V	0.1305145795
AR-R-V	-0.257576626
DIRAS3-M-E	0.1327166105
ASNS-R-V	-0.760398152
ATM-R-E	-0.10604051
B-Raf-M-C	-0.508098854
Bad_pS112-R-V	0.0498826784999999
Bak-R-C	-0.0472662260000001
Bap1-c-4-M-E	-0.2999963665
Bax-R-V	-0.2466677875
Bcl-2-M-V	0.0927188999999999
Bcl-xL-R-V	0.00948560999999992
Beclin-G-C	0.1696186665
beta-Catenin-R-V	0.5707436905
Bid-R-C	0.111716492
Bim-R-V	-0.471116851
c-Jun_pS73-R-V	0.00631839999999984
c-Kit-R-V	-0.7592702495
c-Met-M-E	1.381116611
c-Met_pY1235-R-V	-0.0695493605
c-Myc-R-C	0.9731890885
C-Raf-R-V	-0.3904684715
C-Raf_pS338-R-V	0.1083289945
Caspase-7_cleavedD198-R-C	-0.742514243
Caspase-8-M-E	0.9183430265
Caveolin-1-R-V	1.840819475
CD20-R-C	-0.181308943
CD31-M-V	0.0291068560000001
CD49b-M-V	0.111921572
CDK1-R-V	0.00883539899999991
Chk1-M-C	-0.6042956925
Chk1_pS345-R-C	-0.0922971685
Chk2-M-E	-0.5482540525
Chk2_pT68-R-C	-0.0893104745
cIAP-R-V	-0.0190058175000001
Claudin-7-R-V	0.289531387
Collagen_VI-R-V	0.0837701014999999
Cyclin_B1-R-V	-1.862729574
Cyclin_D1-R-V	0.00426125949999989
Cyclin_E1-M-V	-0.230662943
Cyclin_E2-R-C	-0.278027487
DJ-1-R-E	0.0600843034999999
Dvl3-R-V	0.3692245845
E-Cadherin-R-V	1.294630263
eEF2-R-C	-0.3567767215
eEF2K-R-V	0.0859096679999999
EGFR-R-V	0.111140635
EGFR_pY1068-R-C	0.2163969305
EGFR_pY1173-R-V	-0.1028016085
eIF4E-R-V	-0.0782350700000001
eIF4G-R-C	-0.4963862875
ER-alpha-R-V	0.0460847945
ER-alpha_pS118-R-V	-0.311268614
ERCC1-M-V	0.107956537
ERK2-R-E	-0.00621468450000018
ETS-1-R-V	-0.1004316445
FASN-R-V	-0.654582765
Fibronectin-R-V	0.476645816
FoxM1-R-V	-0.449091111
FOXO3a-R-C	0.1535285615
FOXO3a_pS318_S321-R-C	0.3379840415
G6PD-M-V	-0.081290289
GAB2-R-V	-0.2202488015
GAPDH-M-C	-0.1058054175
