Sample REF	9D33C736-CE44-44B2-97EC-A15D376B221F
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.251964743
14-3-3_epsilon-M-C	0.142447693
14-3-3_zeta-R-V	-0.1417224195
4E-BP1-R-V	-0.20032939
4E-BP1_pS65-R-V	0.0509557620000002
4E-BP1_pT37_T46-R-V	0.381494072
4E-BP1_pT70-R-V	0.363411866
53BP1-R-E	-0.3400200355
A-Raf_pS299-R-C	-0.0707452334999997
ACC_pS79-R-V	-0.8067343445
ACC1-R-E	-0.559258282
Acetyl-a-Tubulin-Lys40-R-C	-1.3315864255
ACVRL1-R-C	0.2868311245
ADAR1-M-V	-0.133819099
Akt-R-V	0.307410795
Akt_pS473-R-V	0.2095377725
Akt_pT308-R-V	0.317857399
alpha-Catenin-M-V	-0.0699166914999999
AMPK_alpha-R-C	0.0106536870000001
AMPK_pT172-R-V	-0.494237336
Annexin-1-M-E	0.2513972825
Annexin_VII-M-V	-0.233454756
AR-R-V	-0.1123297215
DIRAS3-M-E	0.111748118
ASNS-R-V	-0.0488565884999999
ATM-R-E	-0.2169025805
B-Raf-M-C	-0.4874031475
Bad_pS112-R-V	-0.142523883
Bak-R-C	0.2548290885
Bap1-c-4-M-E	-0.58475996
Bax-R-V	-0.338836799
Bcl-2-M-V	0.2275261415
Bcl-xL-R-V	0.5080585775
Beclin-G-C	0.135202553
beta-Catenin-R-V	-0.0889399479999998
Bid-R-C	0.5381476115
Bim-R-V	-0.0870078844999999
c-Jun_pS73-R-V	0.1398091755
c-Kit-R-V	-0.836782299
c-Met-M-E	0.0354631805000002
c-Met_pY1235-R-V	0.166933026
c-Myc-R-C	0.21002482
C-Raf-R-V	-0.180967482
C-Raf_pS338-R-V	0.506639408
Caspase-7_cleavedD198-R-C	0.3258316975
Caspase-8-M-E	0.117518434
Caveolin-1-R-V	-0.0881180454999998
CD20-R-C	-0.0957670984999998
CD31-M-V	0.1779548355
CD49b-M-V	-0.1110621195
CDK1-R-V	0.0845450245000002
Chk1-M-C	-0.421589623
Chk1_pS345-R-C	-0.0645500419999998
Chk2-M-E	-0.729536784
Chk2_pT68-R-C	0.395518306
cIAP-R-V	-0.0530575729999998
Claudin-7-R-V	-0.6497909565
Collagen_VI-R-V	0.397050184
Cyclin_B1-R-V	-0.7000781465
Cyclin_D1-R-V	0.735841729
Cyclin_E1-M-V	-0.2376372145
Cyclin_E2-R-C	-0.2945108585
DJ-1-R-E	-0.179652672
Dvl3-R-V	0.0693480270000001
E-Cadherin-R-V	-0.5853033025
eEF2-R-C	-0.397002602
eEF2K-R-V	0.0846085025000001
EGFR-R-V	0.2032573635
EGFR_pY1068-R-C	0.424393125
