Sample REF	9D9CB948-72AC-41BE-9016-807AC2411930
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.0512998844999999
14-3-3_epsilon-M-C	0.0869456924999999
14-3-3_zeta-R-V	0.183194176
4E-BP1-R-V	0.5773158745
4E-BP1_pS65-R-V	0.3993715345
4E-BP1_pT37_T46-R-V	0.6631024035
4E-BP1_pT70-R-V	0.4413561245
53BP1-R-E	-0.092126321
A-Raf_pS299-R-C	0.058428599
ACC_pS79-R-V	0.758427538
ACC1-R-E	0.8652685335
Acetyl-a-Tubulin-Lys40-R-C	-0.867952957
ACVRL1-R-C	0.064495019
ADAR1-M-V	0.8389000685
Akt-R-V	-0.4193514405
Akt_pS473-R-V	-0.547743186
Akt_pT308-R-V	-0.4457948055
alpha-Catenin-M-V	-0.109283634
AMPK_alpha-R-C	-0.2012078355
AMPK_pT172-R-V	-0.7598566315
Annexin-1-M-E	-0.352142835
Annexin_VII-M-V	-0.0203210785
AR-R-V	0.091388176
DIRAS3-M-E	-0.0360295805
ASNS-R-V	1.352702579
ATM-R-E	-0.292712114
B-Raf-M-C	0.217898647
Bad_pS112-R-V	0.1027305715
Bak-R-C	0.052337294
Bap1-c-4-M-E	0.0805443434999999
Bax-R-V	0.4050550215
Bcl-2-M-V	-0.127898019
Bcl-xL-R-V	-0.349245637
Beclin-G-C	-0.1015577475
beta-Catenin-R-V	-0.1781374655
Bid-R-C	-0.10009642
Bim-R-V	-0.071870595
c-Jun_pS73-R-V	-0.0248314460000001
c-Kit-R-V	1.6253573625
c-Met-M-E	0.00770132999999995
c-Met_pY1235-R-V	0.00496028149999994
c-Myc-R-C	-0.0792285955000001
C-Raf-R-V	0.0967031994999999
C-Raf_pS338-R-V	-0.0419653075
Caspase-7_cleavedD198-R-C	1.444021402
Caspase-8-M-E	0.2902069985
Caveolin-1-R-V	-0.601849507
CD20-R-C	0.275241017
CD31-M-V	-0.095266958
CD49b-M-V	-0.176383327
CDK1-R-V	0.144514939
Chk1-M-C	0.00151703049999996
Chk1_pS345-R-C	-0.0184265375
Chk2-M-E	0.8876459485
Chk2_pT68-R-C	-0.0504581215000001
cIAP-R-V	0.2002009885
Claudin-7-R-V	0.676048819
Collagen_VI-R-V	-0.2555993825
Cyclin_B1-R-V	0.45068986
Cyclin_D1-R-V	-0.2803383155
Cyclin_E1-M-V	0.284375013
Cyclin_E2-R-C	0.574321612
DJ-1-R-E	0.1391874515
Dvl3-R-V	-0.0818812195
E-Cadherin-R-V	0.510679371
eEF2-R-C	0.1774209905
eEF2K-R-V	0.103296121
EGFR-R-V	-0.126474931
EGFR_pY1068-R-C	-0.2054755155
EGFR_pY1173-R-V	0.0559601614999999
eIF4E-R-V	0.0629643049999999
eIF4G-R-C	0.2121219065
ER-alpha-R-V	-0.3504430305
ER-alpha_pS118-R-V	0.252390418
ERCC1-M-V	0.041235684
ERK2-R-E	-0.3717705715
ETS-1-R-V	-0.2065646425
FASN-R-V	0.069122587
Fibronectin-R-V	-0.918004484
FoxM1-R-V	0.00938225299999995
FOXO3a-R-C	0.0608862124999999
FOXO3a_pS318_S321-R-C	0.0125320685
G6PD-M-V	-0.139476462
GAB2-R-V	-0.3723245735
GAPDH-M-C	0.7746423945
GATA3-M-V	-0.2952660835
GSK3-alpha-beta-M-V	0.279709325
GSK3-alpha-beta_pS21_S9-R-V	0.26137637
GSK3_pS9-R-V	-0.161719906
HER2-M-V	0.0749073275
HER2_pY1248-R-C	0.046444693
HER3-R-V	0.3556414205
HER3_pY1289-R-C	-0.106484583
Heregulin-R-V	0.118183466
HSP70-R-C	-0.289541798
IGFBP2-R-V	-1.0848014805
INPP4B-R-V	-0.117575922
IRS1-R-V	-0.07452694
JAB1-M-C	-0.0664917774999999
JNK_pT183_pY185-R-V	-0.063409193
JNK2-R-C	-0.062489443
Ku80-R-C	0.334871717
Lck-R-V	-0.3088035485
LKB1-M-E	-0.072234893
MAPK_pT202_Y204-R-V	0.044877934
MEK1-R-V	0.1942282805
MEK1_pS217_S221-R-V	0.071850821
MIG-6-M-V	-0.00117367550000003
Mre11-R-C	0.029090513
MSH2-M-V	0.8236057745
MSH6-R-C	0.8212918575
mTOR-R-V	0.6607163505
mTOR_pS2448-R-C	0.2119719105
MYH11-R-V	-0.538309892
Myosin-IIa_pS1943-R-V	-0.357190992
