Sample REF	A2D32F2C-55A3-46E5-9AAA-9EDC6ADE2591
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.138750723
14-3-3_epsilon-M-C	0.0736084469999999
14-3-3_zeta-R-V	0.1487938635
4E-BP1-R-V	0.414384281
4E-BP1_pS65-R-V	0.202917895
4E-BP1_pT37_T46-R-V	0.746691925
4E-BP1_pT70-R-V	0.399062407
53BP1-R-E	-0.3320731935
A-Raf_pS299-R-C	-0.1620023115
ACC_pS79-R-V	0.4586499975
ACC1-R-E	0.616545573
Acetyl-a-Tubulin-Lys40-R-C	-0.0681100595
ACVRL1-R-C	-0.1891601185
ADAR1-M-V	0.055351894
Akt-R-V	-0.291786665
Akt_pS473-R-V	0.4808767305
Akt_pT308-R-V	0.208976546
alpha-Catenin-M-V	-0.0738997555000002
AMPK_alpha-R-C	0.127342526
AMPK_pT172-R-V	0.25671499
Annexin-1-M-E	0.0668554105
Annexin_VII-M-V	-0.084163806
AR-R-V	-0.2142072405
DIRAS3-M-E	-0.0757709560000001
ASNS-R-V	1.3808048155
ATM-R-E	0.0846017494999999
B-Raf-M-C	0.1998801585
Bad_pS112-R-V	0.00697048799999994
Bak-R-C	0.0458435795000001
Bap1-c-4-M-E	0.091308449
Bax-R-V	0.207967404
Bcl-2-M-V	-0.0310273745
Bcl-xL-R-V	0.3901935465
Beclin-G-C	-0.212121204
beta-Catenin-R-V	0.382398965
Bid-R-C	-0.0827204755000001
Bim-R-V	0.2117239805
c-Jun_pS73-R-V	0.0822195564999999
c-Kit-R-V	-0.602466306
c-Met-M-E	-0.0285764835000001
c-Met_pY1235-R-V	-0.080675585
c-Myc-R-C	-0.150792915
C-Raf-R-V	0.0966770170000001
C-Raf_pS338-R-V	-0.139220357
Caspase-7_cleavedD198-R-C	0.3559467605
Caspase-8-M-E	-0.089754463
Caveolin-1-R-V	0.2846435775
CD20-R-C	-0.2145140385
CD31-M-V	0.0404813405000001
CD49b-M-V	0.1862219515
CDK1-R-V	0.1942660145
Chk1-M-C	0.207019954
Chk1_pS345-R-C	-0.02696248
Chk2-M-E	0.12035461
Chk2_pT68-R-C	-0.213382935
cIAP-R-V	0.0735683049999999
Claudin-7-R-V	0.9385057915
Collagen_VI-R-V	0.143522207
Cyclin_B1-R-V	1.1421104555
Cyclin_D1-R-V	-0.280850906
Cyclin_E1-M-V	0.2829886075
Cyclin_E2-R-C	-0.2879980695
DJ-1-R-E	-0.060871354
Dvl3-R-V	-0.170250499
E-Cadherin-R-V	1.4617462605
eEF2-R-C	-0.0321319380000001
eEF2K-R-V	-0.1668700965
EGFR-R-V	-0.1400422745
EGFR_pY1068-R-C	-0.245872992
EGFR_pY1173-R-V	-0.118805887
eIF4E-R-V	0.0204665065
eIF4G-R-C	0.622990863
ER-alpha-R-V	-0.269163504
ER-alpha_pS118-R-V	-0.0961435295
ERCC1-M-V	-0.0326414715000001
ERK2-R-E	-0.0741477570000001
ETS-1-R-V	-0.00400083800000006
FASN-R-V	0.6828308615
Fibronectin-R-V	0.9213843375
FoxM1-R-V	0.6262954525
FOXO3a-R-C	0.011749036
FOXO3a_pS318_S321-R-C	0.000308016000000022
G6PD-M-V	-0.2395635925
GAB2-R-V	-0.236968838
GAPDH-M-C	1.08539371
GATA3-M-V	-0.115634889
GSK3-alpha-beta-M-V	-0.0788291735000001
GSK3-alpha-beta_pS21_S9-R-V	0.2462368175
GSK3_pS9-R-V	0.1338372555
HER2-M-V	-0.12727774
HER2_pY1248-R-C	-0.1334580485
HER3-R-V	-0.231704636
HER3_pY1289-R-C	-0.1502657455
Heregulin-R-V	0.0994393334999999
HSP70-R-C	-0.4030116715
IGFBP2-R-V	0.36879208
INPP4B-R-V	-0.1497509925
IRS1-R-V	-0.2574689305
JAB1-M-C	-0.0788011850000002
JNK_pT183_pY185-R-V	-0.0895832705000001
JNK2-R-C	0.0733832295
Ku80-R-C	-0.1458087765
Lck-R-V	0.07446683
LKB1-M-E	-0.2059659775
MAPK_pT202_Y204-R-V	-0.1635862635
MEK1-R-V	0.150740644
MEK1_pS217_S221-R-V	-0.2724365195
MIG-6-M-V	0.139140216
Mre11-R-C	-0.0973497005
MSH2-M-V	0.291614827
MSH6-R-C	0.622594174
mTOR-R-V	0.058562677
mTOR_pS2448-R-C	0.093784419
MYH11-R-V	1.1247717215
Myosin-IIa_pS1943-R-V	0.3199636625
N-Cadherin-R-V	-0.134944618
N-Ras-M-V	-0.109750918
NDRG1_pT346-R-V	0.0157186500000001
NF-kB-p65_pS536-R-C	0.055001925
NF2-R-C	0.424023638
Notch1-R-V	0.0938296275
P-Cadherin-R-C	-0.215063907
p21-R-V	-0.510726035
p27-R-V	-0.000308016000000078
p27_pT157-R-C	-0.0366306505000001
p27_pT198-R-V	-0.0999034570000001
p38_MAPK-R-V	0.042551739
p38_pT180_Y182-R-V	0.21769746
