Sample REF	A3849E2D-EF4E-45A9-8082-3DEC061BE204
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.10806426225
14-3-3_epsilon-M-C	0.19501412975
14-3-3_zeta-R-V	0.01357297825
4E-BP1-R-V	-0.02114185525
4E-BP1_pS65-R-V	-0.24134082425
4E-BP1_pT37_T46-R-V	-0.37499689725
4E-BP1_pT70-R-V	-0.34937952425
53BP1-R-E	0.13239845325
A-Raf_pS299-R-C	0.13164733225
ACC_pS79-R-V	0.16268108825
ACC1-R-E	0.26427728275
Acetyl-a-Tubulin-Lys40-R-C	-0.16066097075
ACVRL1-R-C	0.10106571125
ADAR1-M-V	0.05795802175
Akt-R-V	0.02270558675
Akt_pS473-R-V	-0.0100742467500001
Akt_pT308-R-V	-0.13654032525
alpha-Catenin-M-V	-0.23881125975
AMPK_alpha-R-C	-0.19356702825
AMPK_pT172-R-V	-0.65138097725
Annexin-1-M-E	-0.24340022975
Annexin_VII-M-V	-0.01897070925
AR-R-V	-0.13164491475
DIRAS3-M-E	-0.26765057925
ASNS-R-V	0.25067975225
ATM-R-E	0.00178062725000006
B-Raf-M-C	0.22665852125
Bad_pS112-R-V	-0.03527791925
Bak-R-C	0.0228553072500001
Bap1-c-4-M-E	0.01702371875
Bax-R-V	0.56943615675
Bcl-2-M-V	-0.13660572275
Bcl-xL-R-V	-0.18834744875
Beclin-G-C	-0.10632555325
beta-Catenin-R-V	-0.99918197325
Bid-R-C	0.0115120572499999
Bim-R-V	-0.13220335975
c-Jun_pS73-R-V	-0.0611741967500001
c-Kit-R-V	1.02112638175
c-Met-M-E	-0.24668324875
c-Met_pY1235-R-V	-0.01727559925
c-Myc-R-C	-0.04996420925
C-Raf-R-V	0.07165352875
C-Raf_pS338-R-V	0.01931553875
Caspase-7_cleavedD198-R-C	0.57108222325
Caspase-8-M-E	0.05475916875
Caveolin-1-R-V	-1.18908621175
CD20-R-C	0.01291066825
CD31-M-V	-0.0720098957499999
CD49b-M-V	-0.13006578475
CDK1-R-V	0.04874937325
Chk1-M-C	0.35350674075
Chk1_pS345-R-C	0.43004899975
Chk2-M-E	0.77744943375
Chk2_pT68-R-C	0.78233244775
cIAP-R-V	0.01872035975
Claudin-7-R-V	0.07854131825
Collagen_VI-R-V	-0.22441242425
Cyclin_B1-R-V	0.61127421025
Cyclin_D1-R-V	0.04152070675
Cyclin_E1-M-V	-0.03204035175
Cyclin_E2-R-C	-0.09252809075
DJ-1-R-E	0.03686333575
Dvl3-R-V	-0.09045702825
E-Cadherin-R-V	-0.41485348575
eEF2-R-C	0.27606112575
eEF2K-R-V	0.21364793625
EGFR-R-V	-0.21574894775
EGFR_pY1068-R-C	0.0448319177499998
EGFR_pY1173-R-V	-0.01911260625
eIF4E-R-V	0.26897972625
eIF4G-R-C	-0.25570229825
ER-alpha-R-V	0.01505159075
ER-alpha_pS118-R-V	0.12894689125
ERCC1-M-V	-0.17679623775
ERK2-R-E	0.13066644475
ETS-1-R-V	-0.08267548225
FASN-R-V	0.19483281325
Fibronectin-R-V	-0.54495434575
FoxM1-R-V	0.39708804925
FOXO3a-R-C	-0.16248436625
FOXO3a_pS318_S321-R-C	-0.0124031362499999
G6PD-M-V	0.15904111225
GAB2-R-V	0.71247948975
GAPDH-M-C	0.42393602975
GATA3-M-V	-0.25058028625
GSK3-alpha-beta-M-V	0.10664946425
GSK3-alpha-beta_pS21_S9-R-V	0.43490494725
GSK3_pS9-R-V	-0.08068142175
HER2-M-V	-0.49552213225
HER2_pY1248-R-C	0.02377667325
HER3-R-V	-0.02951461125
HER3_pY1289-R-C	-0.00664055375
Heregulin-R-V	0.09655973325
HSP70-R-C	0.42066944325
IGFBP2-R-V	0.66255825375
INPP4B-R-V	0.0183813592500002
IRS1-R-V	-0.15412088975
JAB1-M-C	-0.0666151002500002
JNK_pT183_pY185-R-V	-0.10396319475
JNK2-R-C	-0.28302437875
Ku80-R-C	0.30275942525
Lck-R-V	0.30216501675
LKB1-M-E	0.06904271325
MAPK_pT202_Y204-R-V	0.36781747225
MEK1-R-V	0.08062813375
MEK1_pS217_S221-R-V	0.03878550625
MIG-6-M-V	-0.03057474125
Mre11-R-C	-0.10844853475
MSH2-M-V	0.09604360275
MSH6-R-C	0.34122318075
mTOR-R-V	-0.01102298425
mTOR_pS2448-R-C	0.0630956277500001
MYH11-R-V	-1.88423517475
Myosin-IIa_pS1943-R-V	-0.39618937075
N-Cadherin-R-V	-0.13349985325
N-Ras-M-V	0.00119365775000002
NDRG1_pT346-R-V	0.0176947387500002
NF-kB-p65_pS536-R-C	-0.28329193625
NF2-R-C	-0.0612624162500001
Notch1-R-V	0.07346265325
P-Cadherin-R-C	0.05260985375
p21-R-V	-0.02341219025
p27-R-V	-0.20781005125
p27_pT157-R-C	-0.0422834807500001
p27_pT198-R-V	-0.00807178925000002
p38_MAPK-R-V	0.02734320375
p38_pT180_Y182-R-V	-0.26063364025
p53-R-E	-0.00909900674999986
p62-LCK-ligand-M-C	0.24337559175
p70S6K-R-V	-0.04604224825
p70S6K_pT389-R-V	-0.0558076387499999
p90RSK-R-C	0.25389816025
p90RSK_pT359_S363-R-C	0.11143894725
PAI-1-M-E	-0.11818379125
PARP_cleaved-M-E	-0.0904864707500002
PARP1-R-V	0.00946174975000003
Paxillin-R-C	0.29085412675
PCNA-M-C	0.07029914675
PDCD4-R-C	0.30998458075
PDK1-R-V	-0.06321008525
PDK1_pS241-R-V	-0.00148915675
PEA15-R-V	-0.0880152212500001
PEA15_pS116-R-V	-0.20384677975
PI3K-p110-alpha-R-C	-0.17642310675
PI3K-p85-R-V	0.53081724025
PKC-alpha-M-V	-0.31216328525
PKC-alpha_pS657-R-C	-0.44949469975
PKC-delta_pS664-R-V	-0.07338791575
PKC-pan_BetaII_pS660-R-V	0.31979333925
PR-R-V	-0.14074339625
PRAS40_pT246-R-V	0.10094345325
PRDX1-R-V	0.28497051525
PREX1-R-E	0.89045651225
PTEN-R-V	-0.15233110325
Rab11-R-E	0.06008975325
Rab25-R-V	-0.78643369775
Rad50-M-V	0.0179795002499999
Rad51-R-V	0.18548700375
Raptor-R-V	-0.0825462602499999
Rb-M-E	-0.20759997475
Rb_pS807_S811-R-V	0.24223588725
RBM15-R-V	0.01439826425
Rictor-R-C	-0.58239142625
Rictor_pT1135-R-V	-0.14195123725
S6-R-E	-0.23174970875
S6_pS235_S236-R-V	-0.21601713725
S6_pS240_S244-R-V	-0.40476122875
SCD-M-V	0.0277584502499997
SETD2-R-E	-0.05312195875
SF2-M-V	0.06010876175
Shc_pY317-R-E	-0.0751719962500002
Smac-M-E	0.30301715825
Smad1-R-V	0.05281925125
Smad3-R-V	0.16812627325
Smad4-M-V	-0.28866266375
Snail-M-E	-0.23912501175
Src-M-V	0.42891120025
Src_pY416-R-C	0.37938142625
Src_pY527-R-V	-0.44788467025
STAT3_pY705-R-V	-0.02520991825
STAT5-alpha-R-V	0.42573116825
Stathmin-R-V	0.18459341825
Syk-M-V	0.71376079025
TAZ-R-V	-0.20933080075
TFRC-R-V	0.83492788225
TIGAR-R-V	0.39100397725
Transglutaminase-M-V	0.10671505775
TSC1-R-C	-0.28432152425
TTF1-R-V	0.04351668225
Tuberin-R-E	0.00538579574999987
Tuberin_pT1462-R-V	-0.16497521825
VEGFR2-R-V	-0.26059582725
EPPK1-M-E	-0.59321204925
XBP1-G-C	-0.37658984775
XRCC1-R-E	-0.00119365775000002
YAP-R-E	-0.11664264125
YAP_pS127-R-E	0.02028544675
YB-1-R-V	-0.03885036875
YB-1_pS102-R-V	-0.06654615775
A-Raf-R-V	0.08689834725
ARID1A-R-C	-0.11718784625
B-Raf_pS445-R-V	0.10873105025
Bcl2A1-R-V	0.08868232575
BRD4-R-V	0.36136058975
c-Abl-R-V	0.01118986125
Caspase-3-R-C	0.39983091175
CD26-R-V	-0.14029794875
Chk1_pS296-R-V	0.0516110412499999
COG3-R-V	-0.18012131275
DUSP4-R-V	-0.32314497925
ERCC5-R-C	-0.0293351542500001
IGF1R_pY1135_Y1136-R-V	-0.10066903225
IRF-1-R-C	0.01849878125
Jak2-R-V	0.18740523625
p16_INK4a-R-V	0.13740288925
SHP-2_pY542-R-C	-0.33833845075
CDK1_pY15-R-C	0.34948561175
