Sample REF	A422BF56-B095-47D1-8D10-F99F9D68FC8A
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.240232655
14-3-3_epsilon-M-C	-0.044232816
14-3-3_zeta-R-V	-0.1325687575
4E-BP1-R-V	-0.25495884
4E-BP1_pS65-R-V	-0.02696183
4E-BP1_pT37_T46-R-V	0.00134201300000003
4E-BP1_pT70-R-V	0.155972417
53BP1-R-E	-0.2591567835
A-Raf_pS299-R-C	-0.0108285034999999
ACC_pS79-R-V	-0.2279661155
ACC1-R-E	-0.339891123
Acetyl-a-Tubulin-Lys40-R-C	0.7088759105
ACVRL1-R-C	0.2469511875
ADAR1-M-V	-0.158038182
Akt-R-V	0.354218333
Akt_pS473-R-V	0.6029644135
Akt_pT308-R-V	0.41491704
alpha-Catenin-M-V	0.1104618725
AMPK_alpha-R-C	0.267867264
AMPK_pT172-R-V	0.385691161
Annexin-1-M-E	0.1077731505
Annexin_VII-M-V	-0.091360488
AR-R-V	-0.0719099484999999
DIRAS3-M-E	0.0619573000000001
ASNS-R-V	-0.3967308615
ATM-R-E	0.0277393185
B-Raf-M-C	-0.5228358945
Bad_pS112-R-V	0.107524853
Bak-R-C	-0.0991119854999999
Bap1-c-4-M-E	-0.177240539
Bax-R-V	-0.219576004
Bcl-2-M-V	0.2021019185
Bcl-xL-R-V	0.1520365365
Beclin-G-C	0.245368883
beta-Catenin-R-V	0.594814181
Bid-R-C	0.1458449875
Bim-R-V	-0.2964476935
c-Jun_pS73-R-V	0.2976926065
c-Kit-R-V	-0.61733839
c-Met-M-E	-0.0694106675
c-Met_pY1235-R-V	-0.121195192
c-Myc-R-C	0.429157553
C-Raf-R-V	-0.183873015
C-Raf_pS338-R-V	0.207941809
Caspase-7_cleavedD198-R-C	-0.8169214495
Caspase-8-M-E	-0.121166953
Caveolin-1-R-V	0.7538778665
CD20-R-C	-0.2478299455
CD31-M-V	0.0219127565
CD49b-M-V	0.0877373164999998
CDK1-R-V	0.2927033205
Chk1-M-C	-0.524480455
Chk1_pS345-R-C	-0.2265559
Chk2-M-E	-0.83052726
Chk2_pT68-R-C	-0.037289712
cIAP-R-V	-0.143788862
Claudin-7-R-V	0.00423277550000006
Collagen_VI-R-V	0.14379384
Cyclin_B1-R-V	-1.0259584795
Cyclin_D1-R-V	0.572058108
Cyclin_E1-M-V	-0.2861543485
Cyclin_E2-R-C	-0.0370676975
DJ-1-R-E	-0.197598498
Dvl3-R-V	0.08897535
E-Cadherin-R-V	0.9853910305
eEF2-R-C	-0.449616152
eEF2K-R-V	-0.2527081265
EGFR-R-V	0.1358233565
EGFR_pY1068-R-C	0.25548442
EGFR_pY1173-R-V	-0.121673185
eIF4E-R-V	-0.1289744085
eIF4G-R-C	-0.208044913
ER-alpha-R-V	0.154862356
ER-alpha_pS118-R-V	-0.2608055475
