Sample REF	A445E718-6AA4-4DDE-9129-C5C7C2F605EA
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.07813355775
14-3-3_epsilon-M-C	0.02156538625
14-3-3_zeta-R-V	0.04369008075
4E-BP1-R-V	-0.17708270175
4E-BP1_pS65-R-V	-0.18908531175
4E-BP1_pT37_T46-R-V	0.14557896525
4E-BP1_pT70-R-V	-0.18182563975
53BP1-R-E	0.54392833575
A-Raf_pS299-R-C	0.11776317175
ACC_pS79-R-V	-0.28963505025
ACC1-R-E	-0.13974744475
Acetyl-a-Tubulin-Lys40-R-C	-0.0955098552500001
ACVRL1-R-C	-0.19506843525
ADAR1-M-V	0.06490314925
Akt-R-V	0.21405902125
Akt_pS473-R-V	0.24644402375
Akt_pT308-R-V	-0.10775419675
alpha-Catenin-M-V	0.11765060575
AMPK_alpha-R-C	-0.11138341175
AMPK_pT172-R-V	-0.09773083075
Annexin-1-M-E	0.0367603967500001
Annexin_VII-M-V	0.14883507525
AR-R-V	0.19645308375
DIRAS3-M-E	-0.00181223274999986
ASNS-R-V	-0.13740882525
ATM-R-E	0.0433413277499999
B-Raf-M-C	0.32250230575
Bad_pS112-R-V	0.04743576525
Bak-R-C	-0.0567252062499999
Bap1-c-4-M-E	-0.14481509275
Bax-R-V	0.16737659425
Bcl-2-M-V	0.17872492275
Bcl-xL-R-V	0.05386230175
Beclin-G-C	-0.02667926875
beta-Catenin-R-V	0.11903781425
Bid-R-C	-0.20405603325
Bim-R-V	-0.24349194425
c-Jun_pS73-R-V	-0.0737851952500002
c-Kit-R-V	2.21126476225
c-Met-M-E	0.07495282875
c-Met_pY1235-R-V	-0.12925593275
c-Myc-R-C	-0.0742634337500001
C-Raf-R-V	0.21922587825
C-Raf_pS338-R-V	-0.16847860575
Caspase-7_cleavedD198-R-C	-0.54656927225
Caspase-8-M-E	-0.02298490375
Caveolin-1-R-V	0.57646347075
CD20-R-C	0.06302272975
CD31-M-V	-0.0598211252500001
CD49b-M-V	-0.15222243825
CDK1-R-V	-0.10265048725
Chk1-M-C	0.61203731525
Chk1_pS345-R-C	0.27990294225
Chk2-M-E	-0.05578317175
Chk2_pT68-R-C	0.09572570725
cIAP-R-V	0.20431954525
Claudin-7-R-V	0.07822441975
Collagen_VI-R-V	0.12465009125
Cyclin_B1-R-V	0.11561695675
Cyclin_D1-R-V	-0.15099061875
Cyclin_E1-M-V	-0.20171033525
Cyclin_E2-R-C	0.09117097675
DJ-1-R-E	0.05182775925
Dvl3-R-V	-0.00410032475000005
E-Cadherin-R-V	0.10331369575
eEF2-R-C	0.12626078425
eEF2K-R-V	0.31429611575
EGFR-R-V	0.00284823374999998
EGFR_pY1068-R-C	-0.0604801347500001
EGFR_pY1173-R-V	-0.03835125175
eIF4E-R-V	-0.03902440825
eIF4G-R-C	-0.27908462875
ER-alpha-R-V	0.06052038225
ER-alpha_pS118-R-V	0.11680099075
ERCC1-M-V	-0.13852591725
ERK2-R-E	0.0584024652499999
ETS-1-R-V	-0.0598680877500001
FASN-R-V	-0.70304171725
Fibronectin-R-V	-0.94972051725
FoxM1-R-V	-0.32212854525
FOXO3a-R-C	-0.00174410174999995
FOXO3a_pS318_S321-R-C	-0.04047748675
G6PD-M-V	0.18597318875
GAB2-R-V	1.07450363025
GAPDH-M-C	0.12139650825
GATA3-M-V	-0.0432318207500001
GSK3-alpha-beta-M-V	0.31323107675
GSK3-alpha-beta_pS21_S9-R-V	0.36340879375
GSK3_pS9-R-V	0.16018947675
HER2-M-V	-0.21834988175
HER2_pY1248-R-C	-0.20883762525
HER3-R-V	0.06803818825
HER3_pY1289-R-C	-0.16736993325
Heregulin-R-V	-0.01232771425
HSP70-R-C	-0.90497470825
IGFBP2-R-V	0.20969311225
INPP4B-R-V	0.0678780987500001
IRS1-R-V	-0.30722649925
JAB1-M-C	0.11058448525
JNK_pT183_pY185-R-V	-0.0732202662500001
JNK2-R-C	0.11932220075
Ku80-R-C	0.66476648775
Lck-R-V	0.24852106325
LKB1-M-E	-0.05436345725
MAPK_pT202_Y204-R-V	-0.08010155625
