Sample REF	A4538CA9-9E09-461E-B007-80FCC271E6F1
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.128514941
14-3-3_epsilon-M-C	0.241162094
14-3-3_zeta-R-V	0.0894889985
4E-BP1-R-V	0.254777055
4E-BP1_pS65-R-V	0.108641768
4E-BP1_pT37_T46-R-V	-0.0325307249999999
4E-BP1_pT70-R-V	-0.0242422119999999
53BP1-R-E	-0.0404646424999999
A-Raf_pS299-R-C	-0.0108047354999999
ACC_pS79-R-V	0.5893192375
ACC1-R-E	0.582541479
Acetyl-a-Tubulin-Lys40-R-C	-0.2793365605
ACVRL1-R-C	-0.1130019065
ADAR1-M-V	0.152608233
Akt-R-V	-0.0633680729999999
Akt_pS473-R-V	-0.4913617285
Akt_pT308-R-V	-0.276276304
alpha-Catenin-M-V	-0.0984778445
AMPK_alpha-R-C	-0.0432514739999998
AMPK_pT172-R-V	-0.366986443
Annexin-1-M-E	-0.1200079225
Annexin_VII-M-V	0.0952656950000002
AR-R-V	-0.1078157075
DIRAS3-M-E	-0.00567727200000001
ASNS-R-V	0.3921292095
ATM-R-E	0.1371725865
B-Raf-M-C	0.2611619245
Bad_pS112-R-V	0.0540468980000001
Bak-R-C	0.1333488135
Bap1-c-4-M-E	-0.0610288259999999
Bax-R-V	0.220883869
Bcl-2-M-V	-0.0293980374999998
Bcl-xL-R-V	0.0220711225000001
Beclin-G-C	0.244419883
beta-Catenin-R-V	-0.494964694
Bid-R-C	-0.1138266995
Bim-R-V	0.2707443475
c-Jun_pS73-R-V	-0.1491684495
c-Kit-R-V	1.865433957
c-Met-M-E	-0.0192201774999999
c-Met_pY1235-R-V	-0.118228685
c-Myc-R-C	-0.200641713
C-Raf-R-V	0.106717705
C-Raf_pS338-R-V	-0.140487057
Caspase-7_cleavedD198-R-C	0.9468458595
Caspase-8-M-E	0.0864429260000001
Caveolin-1-R-V	-0.7156147675
CD20-R-C	0.1046968705
CD31-M-V	-0.0295299514999998
CD49b-M-V	-0.1623207735
CDK1-R-V	-0.2976907255
Chk1-M-C	-0.00693753399999997
Chk1_pS345-R-C	-0.14396711
Chk2-M-E	0.870014111
Chk2_pT68-R-C	-0.192692548
cIAP-R-V	0.0712388520000001
Claudin-7-R-V	-0.1757612765
Collagen_VI-R-V	-0.185045904
Cyclin_B1-R-V	-0.2669710245
Cyclin_D1-R-V	0.014013705
Cyclin_E1-M-V	0.0139183435000001
Cyclin_E2-R-C	0.1573137105
DJ-1-R-E	0.106997686
Dvl3-R-V	-0.286188527
E-Cadherin-R-V	-0.3500771895
eEF2-R-C	0.372619411
eEF2K-R-V	0.2547215525
EGFR-R-V	-0.1301451515
EGFR_pY1068-R-C	-0.293252868
EGFR_pY1173-R-V	-0.0528358739999999
eIF4E-R-V	0.0606476125000001
eIF4G-R-C	0.110693087
ER-alpha-R-V	-0.0798366979999998
ER-alpha_pS118-R-V	0.0625588315000001
ERCC1-M-V	-0.0617642524999999
ERK2-R-E	0.167574028
ETS-1-R-V	0.121841085
FASN-R-V	-0.0634100234999999
Fibronectin-R-V	-0.7375156775
FoxM1-R-V	-0.3114259055
FOXO3a-R-C	0.00376851800000011
FOXO3a_pS318_S321-R-C	-0.206255273
G6PD-M-V	0.0194926565000001
GAB2-R-V	0.502939738
GAPDH-M-C	0.58134836
