Sample REF	A5E4AC1A-6544-4132-9A58-159A58E5F458
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.0309040295
14-3-3_epsilon-M-C	-0.0297427755
14-3-3_zeta-R-V	-0.00601973599999989
4E-BP1-R-V	-0.1845452565
4E-BP1_pS65-R-V	0.00987112750000002
4E-BP1_pT37_T46-R-V	0.3326760895
4E-BP1_pT70-R-V	-0.2639696745
53BP1-R-E	-0.0539404329999999
A-Raf_pS299-R-C	0.0620468610000001
ACC_pS79-R-V	0.211249592
ACC1-R-E	0.5297397675
Acetyl-a-Tubulin-Lys40-R-C	0.534853381
ACVRL1-R-C	-0.190515506
ADAR1-M-V	0.2446707005
Akt-R-V	-0.1228310455
Akt_pS473-R-V	0.329964391
Akt_pT308-R-V	-0.0151456845
alpha-Catenin-M-V	0.131748211
AMPK_alpha-R-C	-0.0479226154999999
AMPK_pT172-R-V	-0.4120244615
Annexin-1-M-E	-0.0275322019999999
Annexin_VII-M-V	-0.0454817834999999
AR-R-V	0.242714871
DIRAS3-M-E	0.0937872395
ASNS-R-V	0.225149477
ATM-R-E	-0.096167783
B-Raf-M-C	0.044136267
Bad_pS112-R-V	-0.0260474125
Bak-R-C	0.154994213
Bap1-c-4-M-E	0.0412675655
Bax-R-V	-0.1777890275
Bcl-2-M-V	-0.030122189
Bcl-xL-R-V	0.125192311
Beclin-G-C	0.4018004335
beta-Catenin-R-V	0.3933963855
Bid-R-C	-0.12765854
Bim-R-V	0.502456729
c-Jun_pS73-R-V	0.069862017
c-Kit-R-V	1.7562885415
c-Met-M-E	0.1621738
c-Met_pY1235-R-V	-0.0280572924999999
c-Myc-R-C	0.1128978175
C-Raf-R-V	0.00968883850000007
C-Raf_pS338-R-V	-0.0351038785
Caspase-7_cleavedD198-R-C	-0.635147869
Caspase-8-M-E	-0.1592693435
Caveolin-1-R-V	0.679131695
CD20-R-C	0.154507839
CD31-M-V	0.058437492
CD49b-M-V	-0.0578936780000001
CDK1-R-V	-0.152132785
Chk1-M-C	-0.0386060934999999
Chk1_pS345-R-C	0.0378911165000001
Chk2-M-E	-0.3721754995
Chk2_pT68-R-C	-0.1340406125
cIAP-R-V	-0.0229487275
Claudin-7-R-V	1.204148648
Collagen_VI-R-V	0.3560813195
Cyclin_B1-R-V	0.076711802
Cyclin_D1-R-V	-0.0469401805
Cyclin_E1-M-V	-0.0417118289999999
Cyclin_E2-R-C	0.150322254
DJ-1-R-E	-0.0719356054999999
Dvl3-R-V	-0.0275144455
E-Cadherin-R-V	1.157762905
eEF2-R-C	0.1068976865
eEF2K-R-V	0.550336416
EGFR-R-V	-0.037036634
EGFR_pY1068-R-C	-4.76294999999793e-05
EGFR_pY1173-R-V	-0.000854290499999966
eIF4E-R-V	-0.067373231
eIF4G-R-C	-0.2827829475
ER-alpha-R-V	0.0577632614999999
ER-alpha_pS118-R-V	0.127292029
ERCC1-M-V	0.091643785
ERK2-R-E	-0.0707038565000001
ETS-1-R-V	-0.0523570635
FASN-R-V	-0.0822002099999999
Fibronectin-R-V	-0.338390634
FoxM1-R-V	-0.130841685
FOXO3a-R-C	0.0479964775
FOXO3a_pS318_S321-R-C	-0.0551246824999999
G6PD-M-V	0.030051015
GAB2-R-V	0.0105286695
GAPDH-M-C	-0.3080270915
GATA3-M-V	0.0169919685
GSK3-alpha-beta-M-V	-0.0659060849999999
GSK3-alpha-beta_pS21_S9-R-V	0.25721017
GSK3_pS9-R-V	0.097005552
HER2-M-V	0.4914082345
HER2_pY1248-R-C	0.042655018
HER3-R-V	-0.1307668525
HER3_pY1289-R-C	0.06654584
Heregulin-R-V	0.011296073
HSP70-R-C	-0.994285445
IGFBP2-R-V	0.3301655615
INPP4B-R-V	-0.107317092
IRS1-R-V	-0.066453769
JAB1-M-C	0.0171822444999999
JNK_pT183_pY185-R-V	-0.034697155
JNK2-R-C	-0.082168071
Ku80-R-C	0.600361977
Lck-R-V	-0.4184074855
LKB1-M-E	-0.0361044859999999
MAPK_pT202_Y204-R-V	0.584193121
MEK1-R-V	-0.2087360365
MEK1_pS217_S221-R-V	-0.089718177
MIG-6-M-V	0.0392849625
Mre11-R-C	-0.0288418749999999
MSH2-M-V	0.6950322385
MSH6-R-C	0.6055889935
mTOR-R-V	0.3220607405
mTOR_pS2448-R-C	0.2512047535
MYH11-R-V	0.758948112
Myosin-IIa_pS1943-R-V	-0.153828209
N-Cadherin-R-V	-0.1630576545
N-Ras-M-V	0.1526919525
NDRG1_pT346-R-V	0.0359727525000003
NF-kB-p65_pS536-R-C	-0.2812809345
NF2-R-C	0.7161435435
Notch1-R-V	-0.188576794
P-Cadherin-R-C	0.3147555365
p21-R-V	0.0781039945
p27-R-V	-0.0685004335
p27_pT157-R-C	0.129435001
p27_pT198-R-V	0.1239434615
p38_MAPK-R-V	-0.2082226715
p38_pT180_Y182-R-V	0.0170944455000001
p53-R-E	-0.0791827469999999
p62-LCK-ligand-M-C	-0.1525070445
p70S6K-R-V	0.1099647185
p70S6K_pT389-R-V	-0.00122900599999987
p90RSK-R-C	-0.142493777
p90RSK_pT359_S363-R-C	-0.0845978409999998
PAI-1-M-E	-0.4327637105
PARP_cleaved-M-E	0.199699014
PARP1-R-V	0.8405861685
Paxillin-R-C	0.0420471814999999
PCNA-M-C	-0.0437906455
PDCD4-R-C	0.6719584765
PDK1-R-V	-0.0957043185
PDK1_pS241-R-V	-0.187944223
PEA15-R-V	-0.1034100175
PEA15_pS116-R-V	-0.145440476
PI3K-p110-alpha-R-C	0.133415059
PI3K-p85-R-V	-0.135686353
PKC-alpha-M-V	0.1548601415
PKC-alpha_pS657-R-C	-0.086087391
PKC-delta_pS664-R-V	0.162001283
PKC-pan_BetaII_pS660-R-V	-0.095464468
PR-R-V	0.0670599585
PRAS40_pT246-R-V	0.105541332
PRDX1-R-V	0.453308673
PREX1-R-E	-0.034816557
PTEN-R-V	-0.1124252345
Rab11-R-E	-0.011559976
Rab25-R-V	0.199549443
Rad50-M-V	0.297569703
Rad51-R-V	-0.1898939695
Raptor-R-V	0.3060709745
Rb-M-E	-0.026751193
Rb_pS807_S811-R-V	0.180108294
RBM15-R-V	0.380838119
Rictor-R-C	0.0309634925000001
Rictor_pT1135-R-V	0.00145216350000005
S6-R-E	-0.0826888299999999
S6_pS235_S236-R-V	0.3175896105
S6_pS240_S244-R-V	-0.0350054490000001
SCD-M-V	0.215134579
SETD2-R-E	-0.062936516
SF2-M-V	0.4255100965
Shc_pY317-R-E	0.1155869475
Smac-M-E	0.59601706
Smad1-R-V	0.158483677
Smad3-R-V	0.214518836
Smad4-M-V	0.0260979470000001
Snail-M-E	0.215348803
Src-M-V	-0.531412093
Src_pY416-R-C	-0.311189022
Src_pY527-R-V	-0.0488239695
STAT3_pY705-R-V	0.2082526635
STAT5-alpha-R-V	-0.285440801
Stathmin-R-V	-0.125719428
Syk-M-V	0.0618859279999998
TAZ-R-V	-0.048756609
TFRC-R-V	-0.430691672
TIGAR-R-V	-0.116513096
Transglutaminase-M-V	-0.0663297445
TSC1-R-C	-0.0591960715
TTF1-R-V	-0.128201875
Tuberin-R-E	0.3059500385
Tuberin_pT1462-R-V	0.2690126355
VEGFR2-R-V	0.4285783985
EPPK1-M-E	-0.3001423105
XBP1-G-C	0.48475001
XRCC1-R-E	0.460575993
YAP-R-E	-0.0761976845
YAP_pS127-R-E	-0.6907778235
YB-1-R-V	-0.063906015
YB-1_pS102-R-V	0.108475678
A-Raf-R-V	-0.147889395
ARID1A-R-C	0.1331375515
B-Raf_pS445-R-V	-0.017841097
Bcl2A1-R-V	-0.2883012325
BRD4-R-V	0.2698956585
c-Abl-R-V	0.123191598
Caspase-3-R-C	0.0712713145
CD26-R-V	0.01392268
Chk1_pS296-R-V	-0.194816771
COG3-R-V	0.281710347
DUSP4-R-V	-0.3428958285
ERCC5-R-C	-0.0395094805000001
IGF1R_pY1135_Y1136-R-V	4.76294999999793e-05
IRF-1-R-C	-0.036594478
Jak2-R-V	-0.01701814
p16_INK4a-R-V	-0.102405128
SHP-2_pY542-R-C	-0.0802627930000001
CDK1_pY15-R-C	-0.0743835694999999
