Sample REF	A89D1D4C-FC4C-4F1B-938D-42B816E00978
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.0920085872500001
14-3-3_epsilon-M-C	0.10515705725
14-3-3_zeta-R-V	0.24218281575
4E-BP1-R-V	0.28825070725
4E-BP1_pS65-R-V	0.00067925425000015
4E-BP1_pT37_T46-R-V	-0.20407162275
4E-BP1_pT70-R-V	0.11135549825
53BP1-R-E	-0.25009139125
A-Raf_pS299-R-C	-0.0433986822499999
ACC_pS79-R-V	-0.17029849025
ACC1-R-E	-0.27762384775
Acetyl-a-Tubulin-Lys40-R-C	0.83355259275
ACVRL1-R-C	0.14255493975
ADAR1-M-V	-0.16002185475
Akt-R-V	-0.0440891927499998
Akt_pS473-R-V	-0.38986186325
Akt_pT308-R-V	0.0322103502500002
alpha-Catenin-M-V	-0.0623018262499999
AMPK_alpha-R-C	0.0901612452500001
AMPK_pT172-R-V	0.32113240825
Annexin-1-M-E	0.19339580075
Annexin_VII-M-V	0.0453725042500002
AR-R-V	-0.27001546925
DIRAS3-M-E	0.0704036292500003
ASNS-R-V	0.31183834775
ATM-R-E	-0.23047425925
B-Raf-M-C	-0.24202860125
Bad_pS112-R-V	-0.28575130175
Bak-R-C	0.0455377207500003
Bap1-c-4-M-E	-0.33125663975
Bax-R-V	0.0774620212500002
Bcl-2-M-V	0.15797104775
Bcl-xL-R-V	0.22786467375
Beclin-G-C	-0.16822606375
beta-Catenin-R-V	0.15639936325
Bid-R-C	0.41694442675
Bim-R-V	-0.38862232725
c-Jun_pS73-R-V	-0.10376478425
c-Kit-R-V	-0.64604072675
c-Met-M-E	0.11603247775
c-Met_pY1235-R-V	0.15302503425
c-Myc-R-C	0.00216987325000018
C-Raf-R-V	-0.0579806647499997
C-Raf_pS338-R-V	0.22648577325
Caspase-7_cleavedD198-R-C	-0.50955540325
Caspase-8-M-E	0.10202590525
Caveolin-1-R-V	0.19708270575
CD20-R-C	-0.11740267325
CD31-M-V	0.17442814875
CD49b-M-V	0.37443509475
CDK1-R-V	-0.0672329572499999
Chk1-M-C	-0.21280862775
Chk1_pS345-R-C	-0.18809454175
Chk2-M-E	-0.37253945975
Chk2_pT68-R-C	0.11289245625
cIAP-R-V	-0.14629021675
Claudin-7-R-V	-0.21218551825
Collagen_VI-R-V	0.22234839725
Cyclin_B1-R-V	-0.28194835325
Cyclin_D1-R-V	0.26307610425
Cyclin_E1-M-V	0.0119756357500003
Cyclin_E2-R-C	-0.0788806722499998
DJ-1-R-E	0.0437385322500002
Dvl3-R-V	0.17123134825
E-Cadherin-R-V	-0.55503378025
eEF2-R-C	-0.19677330475
eEF2K-R-V	-0.64226257925
EGFR-R-V	0.30251004575
EGFR_pY1068-R-C	0.0572088992499999
EGFR_pY1173-R-V	0.0803790002500002
eIF4E-R-V	0.0460193017500002
eIF4G-R-C	0.0862805542500001
ER-alpha-R-V	0.25542526725
ER-alpha_pS118-R-V	-0.13086257025
ERCC1-M-V	0.12406883875
ERK2-R-E	-0.30725852975
ETS-1-R-V	-0.0294247817499999
FASN-R-V	0.20869712375
Fibronectin-R-V	1.60596043175
FoxM1-R-V	-0.12318529625
FOXO3a-R-C	0.15651188325
FOXO3a_pS318_S321-R-C	0.0230641572500003
G6PD-M-V	0.0115149227500002
GAB2-R-V	-0.0988815127499998
GAPDH-M-C	0.41710452625
GATA3-M-V	-0.0209405337499999
GSK3-alpha-beta-M-V	-0.20237863025
GSK3-alpha-beta_pS21_S9-R-V	-0.49667816325
GSK3_pS9-R-V	-0.32232717225
HER2-M-V	0.32064983525
HER2_pY1248-R-C	0.17569756175
HER3-R-V	1.48120708525
HER3_pY1289-R-C	0.17267521675
Heregulin-R-V	0.28753970875
HSP70-R-C	1.13051771175
IGFBP2-R-V	0.75410462925
INPP4B-R-V	-0.11766660125
IRS1-R-V	0.20562877475
JAB1-M-C	-0.11378534775
JNK_pT183_pY185-R-V	0.14358242975
JNK2-R-C	-0.14559260425
