Sample REF	AA20DEE1-C166-43E1-B036-FB03698B2FA6
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.15599110325
14-3-3_epsilon-M-C	0.00470218725000005
14-3-3_zeta-R-V	-0.0832736212499999
4E-BP1-R-V	0.11656204025
4E-BP1_pS65-R-V	0.13830100025
4E-BP1_pT37_T46-R-V	0.44355248825
4E-BP1_pT70-R-V	0.24841078025
53BP1-R-E	-0.0588017352499999
A-Raf_pS299-R-C	-0.11869489425
ACC_pS79-R-V	-0.24408247325
ACC1-R-E	-0.06601070375
Acetyl-a-Tubulin-Lys40-R-C	-0.0027482822499999
ACVRL1-R-C	0.15916708975
ADAR1-M-V	-0.25931707875
Akt-R-V	0.20446141425
Akt_pS473-R-V	0.55376357975
Akt_pT308-R-V	0.61016040025
alpha-Catenin-M-V	0.09310029975
AMPK_alpha-R-C	0.11658125625
AMPK_pT172-R-V	0.28909325225
Annexin-1-M-E	0.000383843750000223
Annexin_VII-M-V	-0.27182798975
AR-R-V	-0.53751506425
DIRAS3-M-E	0.08987789025
ASNS-R-V	-0.40599392325
ATM-R-E	-0.39782408225
B-Raf-M-C	-0.32070962125
Bad_pS112-R-V	-0.24405580975
Bak-R-C	-0.0001366252499998
Bap1-c-4-M-E	-0.22633443075
Bax-R-V	-0.27583338075
Bcl-2-M-V	0.15262341575
Bcl-xL-R-V	-0.37679499425
Beclin-G-C	-0.18115994175
beta-Catenin-R-V	0.22369350825
Bid-R-C	0.28888537175
Bim-R-V	-0.11360799625
c-Jun_pS73-R-V	-0.02538029725
c-Kit-R-V	-1.05797961275
c-Met-M-E	-0.03915540825
c-Met_pY1235-R-V	0.0189651782500001
c-Myc-R-C	0.0374602332500001
C-Raf-R-V	-0.27521608575
C-Raf_pS338-R-V	0.25192831825
Caspase-7_cleavedD198-R-C	-0.90559959725
Caspase-8-M-E	0.17694442325
Caveolin-1-R-V	0.72238257075
CD20-R-C	-0.29901278625
CD31-M-V	0.03612903775
CD49b-M-V	0.11388048775
CDK1-R-V	0.01209835675
Chk1-M-C	-0.17333080675
Chk1_pS345-R-C	-0.31557608175
Chk2-M-E	-0.66654583975
Chk2_pT68-R-C	0.0778468782500001
cIAP-R-V	-0.17161915675
Claudin-7-R-V	0.68227040475
Collagen_VI-R-V	0.17433700025
Cyclin_B1-R-V	-1.05443331225
Cyclin_D1-R-V	0.34121167925
Cyclin_E1-M-V	-0.20645638125
Cyclin_E2-R-C	-0.42298447325
DJ-1-R-E	-0.17658496875
Dvl3-R-V	0.23379603225
E-Cadherin-R-V	0.83522434875
eEF2-R-C	-0.53591305975
eEF2K-R-V	-0.55161733225
EGFR-R-V	0.25000151775
EGFR_pY1068-R-C	0.09972620825
EGFR_pY1173-R-V	-0.00133294475000001
eIF4E-R-V	-0.0508592812499999
eIF4G-R-C	-0.51267911075
ER-alpha-R-V	0.12181097625
ER-alpha_pS118-R-V	-0.41072480225
ERCC1-M-V	0.09763366375
ERK2-R-E	-0.29465082775
ETS-1-R-V	-0.05444274975
FASN-R-V	-0.0090766472499999
Fibronectin-R-V	-0.0500450712499999
FoxM1-R-V	0.15918110575
FOXO3a-R-C	0.12184801125
FOXO3a_pS318_S321-R-C	0.00776330925000013
G6PD-M-V	-0.0581531602499999
GAB2-R-V	-0.13077077375
GAPDH-M-C	-0.20332657775
GATA3-M-V	-0.19448986475
GSK3-alpha-beta-M-V	-0.15281608925
GSK3-alpha-beta_pS21_S9-R-V	-0.11406830125
GSK3_pS9-R-V	0.22588568575
HER2-M-V	0.64084180925
HER2_pY1248-R-C	0.12837109975
HER3-R-V	-0.16374155175
HER3_pY1289-R-C	0.13543338675
Heregulin-R-V	-0.19470340025
HSP70-R-C	0.61712619575
IGFBP2-R-V	0.33685542525
INPP4B-R-V	-0.0151632602499999
IRS1-R-V	0.11937067475
JAB1-M-C	0.00832490024999999
JNK_pT183_pY185-R-V	0.15396967575
JNK2-R-C	-0.0364897112499999
Ku80-R-C	-1.02706753425
Lck-R-V	-0.54825155875
LKB1-M-E	0.18228510575
MAPK_pT202_Y204-R-V	0.10747867175
MEK1-R-V	0.13407247425
MEK1_pS217_S221-R-V	0.15228390675
MIG-6-M-V	-0.0398943887499998
Mre11-R-C	0.14130598675
MSH2-M-V	-0.57217683775
MSH6-R-C	-1.13091008475
mTOR-R-V	-0.60721782075
mTOR_pS2448-R-C	-0.14283081875
MYH11-R-V	1.97769366875
Myosin-IIa_pS1943-R-V	-0.04871338125
N-Cadherin-R-V	0.0937237502500001
N-Ras-M-V	0.22924448425
NDRG1_pT346-R-V	0.0806433962500003
NF-kB-p65_pS536-R-C	0.0589609962500001
NF2-R-C	-0.34201613975
Notch1-R-V	0.0475294247500001
P-Cadherin-R-C	0.13887796625
p21-R-V	0.14529991025
p27-R-V	-0.07764727475
p27_pT157-R-C	-0.18983102125
p27_pT198-R-V	-0.25193582475
p38_MAPK-R-V	0.56262251025
p38_pT180_Y182-R-V	-0.15846405675
p53-R-E	0.11791657475
p62-LCK-ligand-M-C	-0.34569717375
p70S6K-R-V	0.08690117725
p70S6K_pT389-R-V	0.0573528757500003
p90RSK-R-C	-0.0133703302499999
p90RSK_pT359_S363-R-C	0.19170501375
PAI-1-M-E	-0.15227917775
PARP_cleaved-M-E	-0.26599548325
PARP1-R-V	-0.87747441475
Paxillin-R-C	-0.33599544675
PCNA-M-C	-0.00807370374999994
PDCD4-R-C	-0.82172761575
PDK1-R-V	0.18564314525
PDK1_pS241-R-V	0.25526923175
PEA15-R-V	-0.29942170275
PEA15_pS116-R-V	-0.21637860625
PI3K-p110-alpha-R-C	-0.10047600825
PI3K-p85-R-V	-0.21284458625
PKC-alpha-M-V	0.11287705325
PKC-alpha_pS657-R-C	0.20125794475
PKC-delta_pS664-R-V	-0.58861922625
PKC-pan_BetaII_pS660-R-V	-0.38016265625
PR-R-V	0.10348021625
PRAS40_pT246-R-V	0.0327545207500001
PRDX1-R-V	-1.11905096125
PREX1-R-E	-0.65642794825
PTEN-R-V	0.33366627625
Rab11-R-E	0.18127297175
Rab25-R-V	0.41792949475
Rad50-M-V	-0.0510348102499999
Rad51-R-V	0.25067948825
Raptor-R-V	-0.21433615175
Rb-M-E	0.22506529575
Rb_pS807_S811-R-V	0.11939379575
RBM15-R-V	-0.53617617125
Rictor-R-C	1.19080252725
Rictor_pT1135-R-V	0.31969072125
S6-R-E	-0.75330867725
S6_pS235_S236-R-V	-0.26854923575
S6_pS240_S244-R-V	0.0768071227499999
SCD-M-V	0.0574870947499998
SETD2-R-E	0.0107388717500001
SF2-M-V	-0.0917249407499999
Shc_pY317-R-E	-0.11796872775
Smac-M-E	-0.0642599782500001
Smad1-R-V	-0.00320480724999994
Smad3-R-V	-0.20080794425
Smad4-M-V	0.0845935977500002
Snail-M-E	-0.32840057525
Src-M-V	0.47791970875
Src_pY416-R-C	0.26571818875
Src_pY527-R-V	0.95653332225
STAT3_pY705-R-V	0.14218235825
STAT5-alpha-R-V	-1.21802445125
Stathmin-R-V	0.21567024175
Syk-M-V	-0.43324213825
TAZ-R-V	0.23373335175
TFRC-R-V	-0.32420951525
TIGAR-R-V	0.10511135275
Transglutaminase-M-V	0.34631046025
TSC1-R-C	0.25311143125
TTF1-R-V	0.0919299887500001
Tuberin-R-E	-0.10041881175
Tuberin_pT1462-R-V	0.43815327825
VEGFR2-R-V	-0.31804357475
EPPK1-M-E	0.79365503825
XBP1-G-C	-0.34670236525
XRCC1-R-E	-0.02459110325
YAP-R-E	0.39364504725
YAP_pS127-R-E	0.63498288225
YB-1-R-V	0.28337171175
YB-1_pS102-R-V	0.14402205875
A-Raf-R-V	-0.0886609632499999
ARID1A-R-C	-0.10848662075
B-Raf_pS445-R-V	-0.0681374162499999
Bcl2A1-R-V	0.47033219825
BRD4-R-V	-0.23749818675
c-Abl-R-V	0.10407976475
Caspase-3-R-C	-0.02236235775
CD26-R-V	0.22416214975
Chk1_pS296-R-V	0.04355548875
COG3-R-V	-0.15765687425
DUSP4-R-V	0.0001366252499998
ERCC5-R-C	0.09594515425
IGF1R_pY1135_Y1136-R-V	0.10664010225
IRF-1-R-C	-0.11178177925
Jak2-R-V	-0.63609628325
p16_INK4a-R-V	-0.38164568025
SHP-2_pY542-R-C	0.26993236875
CDK1_pY15-R-C	0.32616376925
