Sample REF	AACAA1F3-9E4A-40B9-955D-11EA4C294890
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.04297691425
14-3-3_epsilon-M-C	0.03073525925
14-3-3_zeta-R-V	-0.10729527325
4E-BP1-R-V	0.08119870425
4E-BP1_pS65-R-V	0.10823982225
4E-BP1_pT37_T46-R-V	0.23395843225
4E-BP1_pT70-R-V	-0.06574243975
53BP1-R-E	0.44524214175
A-Raf_pS299-R-C	0.03238028275
ACC_pS79-R-V	-0.02580940125
ACC1-R-E	-0.12791475475
Acetyl-a-Tubulin-Lys40-R-C	0.34099734975
ACVRL1-R-C	-0.13226022825
ADAR1-M-V	0.19619837425
Akt-R-V	-0.22955255375
Akt_pS473-R-V	0.50610342475
Akt_pT308-R-V	0.07563863925
alpha-Catenin-M-V	-0.0730097042499999
AMPK_alpha-R-C	0.00333353725000002
AMPK_pT172-R-V	-0.11294126975
Annexin-1-M-E	-0.18929745725
Annexin_VII-M-V	0.17570025825
AR-R-V	0.09563049075
DIRAS3-M-E	0.0134284482500001
ASNS-R-V	-0.22579557525
ATM-R-E	0.25773389375
B-Raf-M-C	0.20977825875
Bad_pS112-R-V	-0.19414579475
Bak-R-C	-0.0997581862499999
Bap1-c-4-M-E	0.08124930725
Bax-R-V	0.27540589925
Bcl-2-M-V	-0.08014047325
Bcl-xL-R-V	0.47658600575
Beclin-G-C	0.40788680325
beta-Catenin-R-V	-0.03102468775
Bid-R-C	-0.0398168712500001
Bim-R-V	0.30413256775
c-Jun_pS73-R-V	-0.00987671225000003
c-Kit-R-V	2.25750539725
c-Met-M-E	0.11069461475
c-Met_pY1235-R-V	0.03017944225
c-Myc-R-C	-0.14457177875
C-Raf-R-V	-0.0526601557499999
C-Raf_pS338-R-V	-0.02078808575
Caspase-7_cleavedD198-R-C	-0.78848797025
Caspase-8-M-E	0.01993690725
Caveolin-1-R-V	-0.05245220525
CD20-R-C	0.30403912575
CD31-M-V	-0.0806280542499999
CD49b-M-V	-0.17874962525
CDK1-R-V	-0.04470126525
Chk1-M-C	0.29275805325
Chk1_pS345-R-C	0.09748697625
Chk2-M-E	0.20054260125
Chk2_pT68-R-C	-0.05899155175
cIAP-R-V	0.28384231425
Claudin-7-R-V	-0.19557147725
Collagen_VI-R-V	0.14859713825
Cyclin_B1-R-V	0.45967791775
Cyclin_D1-R-V	-0.13296964575
Cyclin_E1-M-V	0.17027702575
Cyclin_E2-R-C	0.12836341275
DJ-1-R-E	0.03440567025
Dvl3-R-V	0.30724697025
E-Cadherin-R-V	-0.28960102025
eEF2-R-C	0.10252559725
eEF2K-R-V	-0.02604005925
EGFR-R-V	-0.04204943825
EGFR_pY1068-R-C	0.00269069724999987
EGFR_pY1173-R-V	0.02518831725
eIF4E-R-V	0.0687600157500001
eIF4G-R-C	-0.23442855075
ER-alpha-R-V	-0.14743551675
ER-alpha_pS118-R-V	0.21731431675
ERCC1-M-V	-0.01169355725
ERK2-R-E	-0.21934211875
ETS-1-R-V	-0.13648632775
FASN-R-V	-0.42516814125
Fibronectin-R-V	-0.08381122725
FoxM1-R-V	-0.34875998325
FOXO3a-R-C	0.08609336625
FOXO3a_pS318_S321-R-C	0.0705693232500001
G6PD-M-V	-0.21183901125
GAB2-R-V	0.28405579125
GAPDH-M-C	-0.37531969275
GATA3-M-V	0.41677957325
GSK3-alpha-beta-M-V	0.10608617875
GSK3-alpha-beta_pS21_S9-R-V	0.56333008975
GSK3_pS9-R-V	-0.000939378250000011
HER2-M-V	-0.22671297975
HER2_pY1248-R-C	-0.0457193762499999
HER3-R-V	0.30030360325
HER3_pY1289-R-C	-0.000330276249999983
Heregulin-R-V	-0.07612733125
HSP70-R-C	-0.0640738392500002
IGFBP2-R-V	1.51539497125
INPP4B-R-V	0.0025936947500001
IRS1-R-V	-0.28624095825
JAB1-M-C	-0.08256599875
JNK_pT183_pY185-R-V	-0.07126302125
JNK2-R-C	-0.01387484825
Ku80-R-C	0.53206420675
Lck-R-V	-0.15596485975
LKB1-M-E	-0.03353400025
MAPK_pT202_Y204-R-V	0.0726499907499999
MEK1-R-V	0.0245284382500001
MEK1_pS217_S221-R-V	-0.17702091225
MIG-6-M-V	0.000330276249999983
Mre11-R-C	0.0233814637500001
MSH2-M-V	0.24020009925
MSH6-R-C	0.28429477825
mTOR-R-V	0.22345273025
mTOR_pS2448-R-C	0.0690974092500001
MYH11-R-V	0.84646027475
Myosin-IIa_pS1943-R-V	-0.22281903525
N-Cadherin-R-V	-0.01162609575
N-Ras-M-V	-0.0111770457500001
NDRG1_pT346-R-V	0.62528475425
NF-kB-p65_pS536-R-C	-0.05348592875
NF2-R-C	-0.06460412275
Notch1-R-V	-0.00696617925000004
P-Cadherin-R-C	0.16951126025
p21-R-V	0.35345962525
p27-R-V	-0.05999803175
p27_pT157-R-C	0.14190908475
p27_pT198-R-V	-0.03304764175
p38_MAPK-R-V	-0.31622790075
p38_pT180_Y182-R-V	-0.26195167675
p53-R-E	-0.0188946712499999
p62-LCK-ligand-M-C	0.00266594025
p70S6K-R-V	0.17451968925
p70S6K_pT389-R-V	0.21264542375
p90RSK-R-C	-0.27035628525
p90RSK_pT359_S363-R-C	-0.23986613425
PAI-1-M-E	-0.11935421775
PARP_cleaved-M-E	0.15336615775
PARP1-R-V	0.53314857025
Paxillin-R-C	-0.06237743875
PCNA-M-C	-0.13443343175
PDCD4-R-C	0.20988401325
PDK1-R-V	-0.23521221775
PDK1_pS241-R-V	-0.25319289125
PEA15-R-V	-0.14593248975
PEA15_pS116-R-V	0.23590604475
PI3K-p110-alpha-R-C	-0.10374735025
PI3K-p85-R-V	0.16612597475
PKC-alpha-M-V	-0.22594067475
PKC-alpha_pS657-R-C	-0.26130363725
PKC-delta_pS664-R-V	0.00267336974999993
PKC-pan_BetaII_pS660-R-V	-0.08965873425
PR-R-V	-0.05900668375
PRAS40_pT246-R-V	0.24991554375
PRDX1-R-V	0.17445941175
PREX1-R-E	0.26086419275
PTEN-R-V	-0.10485163875
Rab11-R-E	0.0372455237500001
Rab25-R-V	-0.07564488625
Rad50-M-V	0.27521705575
Rad51-R-V	-0.33301810275
Raptor-R-V	0.24184169925
Rb-M-E	-0.04448518025
Rb_pS807_S811-R-V	0.02271996675
RBM15-R-V	0.12268120375
Rictor-R-C	0.14549902025
Rictor_pT1135-R-V	-0.0571730547500001
S6-R-E	0.34557994275
S6_pS235_S236-R-V	-0.30837511075
S6_pS240_S244-R-V	-0.37874371725
SCD-M-V	0.13954338675
SETD2-R-E	-0.11139147525
SF2-M-V	0.26057222025
Shc_pY317-R-E	-0.12596799175
Smac-M-E	0.01602071675
Smad1-R-V	0.27190166375
Smad3-R-V	0.25092872875
Smad4-M-V	-0.12606878525
Snail-M-E	-0.18952030525
Src-M-V	-0.17001338725
Src_pY416-R-C	0.25969864675
Src_pY527-R-V	-0.16407777575
STAT3_pY705-R-V	-0.15424034975
STAT5-alpha-R-V	0.23579609075
Stathmin-R-V	0.10029114075
Syk-M-V	0.0332986557499997
TAZ-R-V	-0.10361289825
TFRC-R-V	0.43722038475
TIGAR-R-V	-0.19375613425
Transglutaminase-M-V	-0.09048141575
TSC1-R-C	-0.11615958175
TTF1-R-V	-0.07952084125
Tuberin-R-E	0.27204131225
Tuberin_pT1462-R-V	0.31865222525
VEGFR2-R-V	-0.23649309675
EPPK1-M-E	1.38641497325
XBP1-G-C	0.70769254475
XRCC1-R-E	0.32339898775
YAP-R-E	-0.21612648075
YAP_pS127-R-E	-0.35524414575
YB-1-R-V	-0.08603002725
YB-1_pS102-R-V	-0.02699069225
A-Raf-R-V	-0.09111757225
ARID1A-R-C	0.06612322325
B-Raf_pS445-R-V	0.02624835375
Bcl2A1-R-V	-0.23529089975
BRD4-R-V	0.44484505125
c-Abl-R-V	0.08687242975
Caspase-3-R-C	0.0954709552499999
CD26-R-V	-0.17708226725
Chk1_pS296-R-V	-0.0302670032499999
COG3-R-V	0.13875464575
DUSP4-R-V	-0.24267438075
ERCC5-R-C	0.02916660225
IGF1R_pY1135_Y1136-R-V	0.01946455425
IRF-1-R-C	-0.03789796425
Jak2-R-V	0.07365906475
p16_INK4a-R-V	-0.25106473025
SHP-2_pY542-R-C	-0.00881607725000005
CDK1_pY15-R-C	0.30097478025
