Sample REF	ABD97CC6-CCF5-456C-BC42-173F8D417A9A
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.0976509049999999
14-3-3_epsilon-M-C	0.242092435
14-3-3_zeta-R-V	-0.0124292455
4E-BP1-R-V	-0.346812246
4E-BP1_pS65-R-V	0.000451126999999885
4E-BP1_pT37_T46-R-V	-0.144919541
4E-BP1_pT70-R-V	-0.333539866
53BP1-R-E	-0.0744085175
A-Raf_pS299-R-C	0.0760330325
ACC_pS79-R-V	-0.0465864265000001
ACC1-R-E	0.176007008
Acetyl-a-Tubulin-Lys40-R-C	-0.3881888265
ACVRL1-R-C	0.00854842549999996
ADAR1-M-V	-0.177587208
Akt-R-V	0.196193441
Akt_pS473-R-V	0.8399434055
Akt_pT308-R-V	0.271184637
alpha-Catenin-M-V	-0.0953646365000001
AMPK_alpha-R-C	0.124238448
AMPK_pT172-R-V	-0.144094269
Annexin-1-M-E	0.2616857335
Annexin_VII-M-V	0.464066799
AR-R-V	0.4951105225
DIRAS3-M-E	0.138591015
ASNS-R-V	-0.3186624425
ATM-R-E	0.5343726805
B-Raf-M-C	-0.2327422555
Bad_pS112-R-V	0.277153446
Bak-R-C	0.0244281955
Bap1-c-4-M-E	-0.214968179
Bax-R-V	-0.13336758
Bcl-2-M-V	0.3731861615
Bcl-xL-R-V	-0.1685469345
Beclin-G-C	0.404064268
beta-Catenin-R-V	-0.0916816070000001
Bid-R-C	-0.0566344925
Bim-R-V	-0.1880763045
c-Jun_pS73-R-V	-0.000329909500000058
c-Kit-R-V	1.379479609
c-Met-M-E	-0.0059288105000001
c-Met_pY1235-R-V	-0.00215087200000003
c-Myc-R-C	-0.196624907
C-Raf-R-V	0.004051207
C-Raf_pS338-R-V	0.021879377
Caspase-7_cleavedD198-R-C	-0.3164170005
Caspase-8-M-E	0.0325781099999999
Caveolin-1-R-V	0.9420229305
CD20-R-C	0.0270017155
CD31-M-V	0.0396795275000001
CD49b-M-V	-0.0260081475000001
CDK1-R-V	-0.3344792235
Chk1-M-C	-0.238127069
Chk1_pS345-R-C	-0.121857035
Chk2-M-E	0.0628149039999999
Chk2_pT68-R-C	-0.137273493
cIAP-R-V	0.242407904
Claudin-7-R-V	-0.3973470165
Collagen_VI-R-V	0.173931563
Cyclin_B1-R-V	-0.7935423195
Cyclin_D1-R-V	-0.025552324
Cyclin_E1-M-V	-0.1818868565
Cyclin_E2-R-C	0.0361576544999999
DJ-1-R-E	0.233538419
Dvl3-R-V	-0.262136184
E-Cadherin-R-V	-1.8227549315
eEF2-R-C	-0.170133308
eEF2K-R-V	-0.1382992245
EGFR-R-V	0.0330715635
EGFR_pY1068-R-C	-0.025492286
EGFR_pY1173-R-V	-0.0680353670000001
eIF4E-R-V	-0.00241031950000004
eIF4G-R-C	-0.255000011
ER-alpha-R-V	0.216349966
ER-alpha_pS118-R-V	-0.0953993495000001
ERCC1-M-V	0.0936716834999999
ERK2-R-E	0.195262338
ETS-1-R-V	0.26010382
FASN-R-V	-0.2619209005
Fibronectin-R-V	-0.6177395085
FoxM1-R-V	-0.8681531775
FOXO3a-R-C	0.0968030189999999
FOXO3a_pS318_S321-R-C	0.106158648
G6PD-M-V	0.5045500775
GAB2-R-V	0.209735038
GAPDH-M-C	-0.469380939
GATA3-M-V	0.420888414
GSK3-alpha-beta-M-V	-0.0981590285
GSK3-alpha-beta_pS21_S9-R-V	0.1725326835
GSK3_pS9-R-V	-0.0464158085
HER2-M-V	-0.158610985
HER2_pY1248-R-C	-0.2451185195
HER3-R-V	-0.249296303
HER3_pY1289-R-C	-0.0170565565000001
Heregulin-R-V	-0.2156349895
HSP70-R-C	0.3299176785
IGFBP2-R-V	-0.231426964
INPP4B-R-V	0.0712844245000001
IRS1-R-V	-0.0820475755
JAB1-M-C	0.038243929
JNK_pT183_pY185-R-V	0.1389206535
JNK2-R-C	0.2443973825
Ku80-R-C	-0.1276705095
Lck-R-V	0.746176052
LKB1-M-E	0.0357294475
MAPK_pT202_Y204-R-V	1.0642341295
MEK1-R-V	0.367580236
MEK1_pS217_S221-R-V	0.1177808965
MIG-6-M-V	0.0161116079999999
Mre11-R-C	-0.0294229705
MSH2-M-V	-0.243073917
MSH6-R-C	-0.551590139
mTOR-R-V	0.256325388
mTOR_pS2448-R-C	0.521907219
MYH11-R-V	2.2258294975
Myosin-IIa_pS1943-R-V	0.7450978125
N-Cadherin-R-V	-0.0586526440000001
N-Ras-M-V	0.178457734
NDRG1_pT346-R-V	0.850135344
NF-kB-p65_pS536-R-C	-0.324819294
NF2-R-C	-0.149833202
Notch1-R-V	-0.1913112545
P-Cadherin-R-C	-0.427317044
p21-R-V	-0.0672879650000001
p27-R-V	0.412977254
p27_pT157-R-C	-0.0754175705
p27_pT198-R-V	-0.108927565
p38_MAPK-R-V	0.272358627
p38_pT180_Y182-R-V	0.341669564
p53-R-E	-0.1372372615
p62-LCK-ligand-M-C	0.377652194
p70S6K-R-V	-0.135429285
p70S6K_pT389-R-V	-0.2366981745
p90RSK-R-C	0.1816849135
p90RSK_pT359_S363-R-C	-0.0707181775
PAI-1-M-E	-0.0178456820000001
PARP_cleaved-M-E	-0.1418123815
PARP1-R-V	-0.182947248
Paxillin-R-C	-0.359493049
PCNA-M-C	-0.413330681
PDCD4-R-C	0.749688879
PDK1-R-V	-0.0734951480000001
PDK1_pS241-R-V	0.0160827304999999
PEA15-R-V	0.185760039
PEA15_pS116-R-V	-0.1673680085
PI3K-p110-alpha-R-C	0.0230330724999999
PI3K-p85-R-V	0.2738668505
PKC-alpha-M-V	0.904252452
PKC-alpha_pS657-R-C	0.8060837485
PKC-delta_pS664-R-V	0.2114849515
PKC-pan_BetaII_pS660-R-V	0.9460416535
PR-R-V	0.0277673439999999
PRAS40_pT246-R-V	-0.1730817095
PRDX1-R-V	0.0706721574999999
PREX1-R-E	0.6357066745
PTEN-R-V	0.275445395
Rab11-R-E	-0.1755710145
Rab25-R-V	0.1115107565
Rad50-M-V	0.2951334335
Rad51-R-V	-0.275491869
Raptor-R-V	0.26630421
Rb-M-E	-0.00933923950000004
Rb_pS807_S811-R-V	-0.3058991605
RBM15-R-V	-0.1354355345
Rictor-R-C	0.526279801
Rictor_pT1135-R-V	0.021900456
S6-R-E	-0.2777201405
S6_pS235_S236-R-V	0.744863798
S6_pS240_S244-R-V	0.0847517294999999
SCD-M-V	0.1595195275
SETD2-R-E	-0.1282568265
SF2-M-V	0.162843122
Shc_pY317-R-E	0.000668177999999908
Smac-M-E	-0.0556511615000002
Smad1-R-V	0.000329909500000058
Smad3-R-V	-0.0377606495000001
Smad4-M-V	0.0315700155
Snail-M-E	-0.3312154505
Src-M-V	0.7923867895
Src_pY416-R-C	0.1339152925
Src_pY527-R-V	0.170980037
STAT3_pY705-R-V	1.365155538
STAT5-alpha-R-V	0.8613092715
Stathmin-R-V	-0.2554299585
Syk-M-V	0.7693164095
TAZ-R-V	-0.0213383265000001
TFRC-R-V	0.9337255605
TIGAR-R-V	-0.2606686745
Transglutaminase-M-V	0.043301621
TSC1-R-C	0.0364413879999998
TTF1-R-V	-0.2870457125
Tuberin-R-E	0.119582218
Tuberin_pT1462-R-V	-0.076060832
VEGFR2-R-V	-0.263614673
EPPK1-M-E	-0.408846312
XBP1-G-C	0.6549257575
XRCC1-R-E	-0.1171634755
YAP-R-E	-0.17390572
YAP_pS127-R-E	-0.244219814
YB-1-R-V	0.1714097355
YB-1_pS102-R-V	-0.0150111625
A-Raf-R-V	0.1817584765
ARID1A-R-C	-0.101662115
B-Raf_pS445-R-V	-0.0308263765
Bcl2A1-R-V	-0.0830684630000001
BRD4-R-V	-0.0308391960000001
c-Abl-R-V	-0.00118191750000007
Caspase-3-R-C	-0.0791182860000001
CD26-R-V	0.1518537765
Chk1_pS296-R-V	-0.1038348865
COG3-R-V	0.0581812274999999
DUSP4-R-V	-0.0901940280000005
ERCC5-R-C	0.168028962
IGF1R_pY1135_Y1136-R-V	0.0457489949999999
IRF-1-R-C	0.2087123575
Jak2-R-V	0.5100671425
p16_INK4a-R-V	-0.0668708095
SHP-2_pY542-R-C	0.2650081175
CDK1_pY15-R-C	-0.39518669
