Sample REF	AD53D376-9E55-4FCC-B8B9-2A9D1FE73750
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.0359224480000001
14-3-3_epsilon-M-C	-0.185638493
14-3-3_zeta-R-V	0.1635519735
4E-BP1-R-V	0.144976513
4E-BP1_pS65-R-V	0.220486178
4E-BP1_pT37_T46-R-V	0.286784082
4E-BP1_pT70-R-V	0.0386918499999999
53BP1-R-E	0.3338146475
A-Raf_pS299-R-C	-0.0655888265000001
ACC_pS79-R-V	-0.1831780245
ACC1-R-E	-0.283864151
Acetyl-a-Tubulin-Lys40-R-C	0.3438864885
ACVRL1-R-C	0.2782927825
ADAR1-M-V	-0.0724244000000001
Akt-R-V	0.490478141
Akt_pS473-R-V	0.0298297035
Akt_pT308-R-V	0.141200429
alpha-Catenin-M-V	-0.0758819115000001
AMPK_alpha-R-C	0.189077955
AMPK_pT172-R-V	0.480942297
Annexin-1-M-E	-0.0825354745000001
Annexin_VII-M-V	-0.124819246
AR-R-V	0.1197133935
DIRAS3-M-E	0.0586728109999998
ASNS-R-V	0.0138333515
ATM-R-E	-0.1623562875
B-Raf-M-C	-0.0189532545
Bad_pS112-R-V	0.154946095
Bak-R-C	-0.0145330135
Bap1-c-4-M-E	-0.086074549
Bax-R-V	-0.220032071
Bcl-2-M-V	0.1733132445
Bcl-xL-R-V	0.1937539025
Beclin-G-C	0.0459710929999999
beta-Catenin-R-V	0.312684242
Bid-R-C	0.2142722285
Bim-R-V	-0.1241142405
c-Jun_pS73-R-V	-0.1493507055
c-Kit-R-V	0.047904373
c-Met-M-E	-0.00706637649999997
c-Met_pY1235-R-V	-0.019742019
c-Myc-R-C	-0.168575
C-Raf-R-V	-0.140161712
C-Raf_pS338-R-V	0.100424083
Caspase-7_cleavedD198-R-C	-0.1286551955
Caspase-8-M-E	-0.037642992
Caveolin-1-R-V	1.5204209435
CD20-R-C	-0.1636116615
CD31-M-V	-0.0851152695
CD49b-M-V	0.0521250564999999
CDK1-R-V	0.1659120865
Chk1-M-C	-0.102518616
Chk1_pS345-R-C	0.390768657
Chk2-M-E	-0.472622548
Chk2_pT68-R-C	-0.012307902
cIAP-R-V	-0.077622919
Claudin-7-R-V	-0.0760221405000001
Collagen_VI-R-V	0.110319683
Cyclin_B1-R-V	-0.0185795685000002
Cyclin_D1-R-V	0.140513644
