Sample REF	B6103119-61AE-437F-877F-76CF3C35A563
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.0106642404999999
14-3-3_epsilon-M-C	-0.0503313205000001
14-3-3_zeta-R-V	0.057433001
4E-BP1-R-V	0.2112239575
4E-BP1_pS65-R-V	0.3189484195
4E-BP1_pT37_T46-R-V	0.5682502255
4E-BP1_pT70-R-V	0.4110194425
53BP1-R-E	-0.284108774
A-Raf_pS299-R-C	-0.056386909
ACC_pS79-R-V	0.288251994
ACC1-R-E	0.1419083705
Acetyl-a-Tubulin-Lys40-R-C	0.728700824
ACVRL1-R-C	-0.0443757710000002
ADAR1-M-V	0.00751338249999994
Akt-R-V	0.0179170764999999
Akt_pS473-R-V	0.252598271
Akt_pT308-R-V	0.2653867095
alpha-Catenin-M-V	-0.13942292
AMPK_alpha-R-C	0.1384381995
AMPK_pT172-R-V	0.3154240405
Annexin-1-M-E	-0.252637858
Annexin_VII-M-V	-0.2899251025
AR-R-V	-0.137273334
DIRAS3-M-E	-0.0606826055000001
ASNS-R-V	0.0234836539999999
ATM-R-E	-0.102519289
B-Raf-M-C	0.295870195
Bad_pS112-R-V	-0.0974916415000001
Bak-R-C	-0.0639199
Bap1-c-4-M-E	0.0694518394999999
Bax-R-V	-0.2444478435
Bcl-2-M-V	-0.108137508
Bcl-xL-R-V	-0.318109967
Beclin-G-C	-0.0827694825000001
beta-Catenin-R-V	0.3089978065
Bid-R-C	0.0821871369999999
Bim-R-V	0.0349947059999999
c-Jun_pS73-R-V	0.225417092
c-Kit-R-V	-0.5762099515
c-Met-M-E	0.588751756
c-Met_pY1235-R-V	0.0165997954999999
c-Myc-R-C	0.1571185145
C-Raf-R-V	-0.1337332605
C-Raf_pS338-R-V	0.1467497495
Caspase-7_cleavedD198-R-C	0.997162536
Caspase-8-M-E	0.3397217735
Caveolin-1-R-V	-1.023076104
CD20-R-C	-0.0057353730000001
CD31-M-V	-0.00350576499999994
CD49b-M-V	-0.0381639560000003
CDK1-R-V	0.273338791
Chk1-M-C	-0.1715808915
Chk1_pS345-R-C	0.0965675384999999
Chk2-M-E	-1.1910580055
Chk2_pT68-R-C	-0.0525697575000001
cIAP-R-V	0.0246186564999999
Claudin-7-R-V	-0.036804621
Collagen_VI-R-V	-0.0518344135000001
Cyclin_B1-R-V	0.25033161
Cyclin_D1-R-V	0.0932356694999999
Cyclin_E1-M-V	-0.323548249
Cyclin_E2-R-C	-0.0955144210000001
DJ-1-R-E	-0.0370000825000001
Dvl3-R-V	0.0734436834999999
E-Cadherin-R-V	0.108044149
eEF2-R-C	-0.5187444935
eEF2K-R-V	-0.415215179
EGFR-R-V	-0.020128065
EGFR_pY1068-R-C	0.0788692664999999
EGFR_pY1173-R-V	-0.0333922045000001
eIF4E-R-V	-0.0612279830000001
eIF4G-R-C	0.1581459565
ER-alpha-R-V	0.0195943304999999
ER-alpha_pS118-R-V	-0.00673577200000008
ERCC1-M-V	-0.0226765070000001
ERK2-R-E	-0.1075396715
ETS-1-R-V	-0.00733648250000013
FASN-R-V	0.314609316
Fibronectin-R-V	0.610922732
FoxM1-R-V	0.185055424
FOXO3a-R-C	0.1133776175
FOXO3a_pS318_S321-R-C	-0.0220117605
G6PD-M-V	-0.140102966
GAB2-R-V	-0.2676192565
GAPDH-M-C	-0.0543775935000002
GATA3-M-V	-0.0852185205000001
GSK3-alpha-beta-M-V	0.00838079499999994
GSK3-alpha-beta_pS21_S9-R-V	0.0481161669999999
GSK3_pS9-R-V	0.275749106
HER2-M-V	0.1485091875
HER2_pY1248-R-C	0.116157531
HER3-R-V	0.5429492295
HER3_pY1289-R-C	-0.0780861780000001
Heregulin-R-V	0.0273539879999999
HSP70-R-C	0.535852215
IGFBP2-R-V	0.4752158195
INPP4B-R-V	0.00528530300000013
IRS1-R-V	0.274072298
JAB1-M-C	-0.1271071235
JNK_pT183_pY185-R-V	0.162562913
JNK2-R-C	0.109898013
Ku80-R-C	-0.463437987
Lck-R-V	-0.0166230485000001
LKB1-M-E	0.0470308899999999
MAPK_pT202_Y204-R-V	0.0267002149999999
MEK1-R-V	-0.3324411065
MEK1_pS217_S221-R-V	0.100406406
MIG-6-M-V	-0.1016495145
Mre11-R-C	0.044634853
MSH2-M-V	-0.3458825895
MSH6-R-C	-0.5170282015
mTOR-R-V	-0.2644394325
mTOR_pS2448-R-C	-0.0230494985000001
MYH11-R-V	-0.932832926
Myosin-IIa_pS1943-R-V	-0.113745227
N-Cadherin-R-V	0.0169706625
N-Ras-M-V	0.0471385034999998
NDRG1_pT346-R-V	0.3544734915
NF-kB-p65_pS536-R-C	0.0461952354999999
NF2-R-C	-0.3299663385
Notch1-R-V	0.284794297
P-Cadherin-R-C	-0.2134209935
p21-R-V	-0.3050965415
p27-R-V	-0.1564035375
p27_pT157-R-C	0.0490749839999999
p27_pT198-R-V	0.0234488594999999
p38_MAPK-R-V	0.0526700934999999
p38_pT180_Y182-R-V	0.1423999055
p53-R-E	-0.111937061
p62-LCK-ligand-M-C	0.0219570214999999
p70S6K-R-V	-0.0995253595000001
p70S6K_pT389-R-V	0.054855415
p90RSK-R-C	0.188279556
p90RSK_pT359_S363-R-C	0.178511583
PAI-1-M-E	-0.0411968715000001
PARP_cleaved-M-E	0.582683722
PARP1-R-V	0.1408719005
Paxillin-R-C	-0.0221507205000002
PCNA-M-C	0.0355834564999999
PDCD4-R-C	-1.0714883715
PDK1-R-V	0.0796866544999999
PDK1_pS241-R-V	0.0808672429999999
PEA15-R-V	-0.1403752215
PEA15_pS116-R-V	-0.0792223880000001
PI3K-p110-alpha-R-C	-0.0630664670000001
PI3K-p85-R-V	-0.215934696
PKC-alpha-M-V	-0.2700598345
PKC-alpha_pS657-R-C	-0.309992158
PKC-delta_pS664-R-V	-0.0424387240000001
PKC-pan_BetaII_pS660-R-V	0.173649705
PR-R-V	0.0471618814999999
PRAS40_pT246-R-V	-0.00534113500000008
PRDX1-R-V	-0.50145072
PREX1-R-E	-0.30118119
PTEN-R-V	-0.3513558265
Rab11-R-E	0.035127913
Rab25-R-V	-0.322084359
Rad50-M-V	-0.12501162
Rad51-R-V	0.2736921275
Raptor-R-V	-0.1995216535
Rb-M-E	0.390118904
Rb_pS807_S811-R-V	0.601088166
RBM15-R-V	-0.0764218330000001
Rictor-R-C	-0.4062203715
Rictor_pT1135-R-V	0.1830785045
S6-R-E	-0.279658548
S6_pS235_S236-R-V	0.2572589915
S6_pS240_S244-R-V	0.523863986
SCD-M-V	-0.100238119
SETD2-R-E	0.188439271
SF2-M-V	-0.1646704785
Shc_pY317-R-E	-0.0204024885000001
Smac-M-E	-0.14187448
Smad1-R-V	0.0440029969999999
Smad3-R-V	-0.07954716
Smad4-M-V	-0.202199861
Snail-M-E	0.448926702
Src-M-V	0.374535203
Src_pY416-R-C	0.440843173
Src_pY527-R-V	0.4127165125
STAT3_pY705-R-V	-0.3694611465
STAT5-alpha-R-V	-0.348707849
Stathmin-R-V	0.0450869399999999
Syk-M-V	-0.201949504
TAZ-R-V	0.0420527019999999
TFRC-R-V	-0.0799652030000002
TIGAR-R-V	-0.447470353
Transglutaminase-M-V	-0.1450138435
TSC1-R-C	-0.0171411865000001
TTF1-R-V	0.0675640069999999
Tuberin-R-E	0.2303967615
Tuberin_pT1462-R-V	0.4372979775
VEGFR2-R-V	0.0166984974999999
EPPK1-M-E	-0.2848246075
XBP1-G-C	-0.342082349
XRCC1-R-E	-0.00916794500000012
YAP-R-E	0.2409798765
YAP_pS127-R-E	0.7101190725
