Sample REF	B72BFEBF-F25B-4239-8076-C0C86D02B80D
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.1360726605
14-3-3_epsilon-M-C	0.0346080245
14-3-3_zeta-R-V	0.303352072
4E-BP1-R-V	0.3326377595
4E-BP1_pS65-R-V	0.1039038595
4E-BP1_pT37_T46-R-V	0.1399557025
4E-BP1_pT70-R-V	0.0425062174999999
53BP1-R-E	0.14432321
A-Raf_pS299-R-C	-0.137886505
ACC_pS79-R-V	0.345550707
ACC1-R-E	0.3786623615
Acetyl-a-Tubulin-Lys40-R-C	0.107756898
ACVRL1-R-C	0.040027469
ADAR1-M-V	0.3533828915
Akt-R-V	-0.3140455945
Akt_pS473-R-V	-0.534602352
Akt_pT308-R-V	-0.5057815325
alpha-Catenin-M-V	0.042098934
AMPK_alpha-R-C	-0.1191574695
AMPK_pT172-R-V	-0.5052679455
Annexin-1-M-E	-0.262801895
Annexin_VII-M-V	-0.2358355185
AR-R-V	0.300258176
DIRAS3-M-E	-0.0214067115
ASNS-R-V	0.060949487
ATM-R-E	-0.0225215639999999
B-Raf-M-C	-0.060963722
Bad_pS112-R-V	0.0167230835
Bak-R-C	0.143302061
Bap1-c-4-M-E	0.1315669275
Bax-R-V	0.1364632275
Bcl-2-M-V	-0.157861679
Bcl-xL-R-V	-0.20957745
Beclin-G-C	0.2214203535
beta-Catenin-R-V	-0.2208878795
Bid-R-C	-0.111319181
Bim-R-V	0.367419282
c-Jun_pS73-R-V	-0.018921631
c-Kit-R-V	1.4288197585
c-Met-M-E	0.081193064
c-Met_pY1235-R-V	0.0525484725000001
c-Myc-R-C	0.1878344855
C-Raf-R-V	0.3229522725
C-Raf_pS338-R-V	-0.0518651965
Caspase-7_cleavedD198-R-C	1.034434169
Caspase-8-M-E	0.2777108655
Caveolin-1-R-V	-0.553665664
CD20-R-C	0.722469994
CD31-M-V	-0.0544899279999999
CD49b-M-V	-0.144830455
CDK1-R-V	0.03424518
Chk1-M-C	-0.2415618185
Chk1_pS345-R-C	-0.0208642145
Chk2-M-E	0.5593194145
Chk2_pT68-R-C	0.0543134385
cIAP-R-V	-0.0239653865
Claudin-7-R-V	-0.351474616
Collagen_VI-R-V	0.2920205825
Cyclin_B1-R-V	-0.417885426
Cyclin_D1-R-V	-0.2916552705
Cyclin_E1-M-V	-0.036023831
Cyclin_E2-R-C	0.830895742
DJ-1-R-E	-0.0139467855
Dvl3-R-V	-0.1493856335
E-Cadherin-R-V	-1.589272111
eEF2-R-C	0.1129982575
eEF2K-R-V	0.304503589
EGFR-R-V	-0.225740713
EGFR_pY1068-R-C	-0.3056058705
EGFR_pY1173-R-V	0.3767857415
eIF4E-R-V	0.034949918
eIF4G-R-C	0.3229096155
ER-alpha-R-V	-0.2807646745
ER-alpha_pS118-R-V	0.75332153
ERCC1-M-V	0.13716719
ERK2-R-E	-0.3130334485
ETS-1-R-V	0.0247498725
FASN-R-V	-0.198892977
Fibronectin-R-V	0.216378059
FoxM1-R-V	0.217974049
FOXO3a-R-C	0.1313111895
FOXO3a_pS318_S321-R-C	-0.1664229175
G6PD-M-V	-0.116175103
GAB2-R-V	0.2283225635
GAPDH-M-C	0.3793161125
GATA3-M-V	0.0355725115
GSK3-alpha-beta-M-V	-0.0594398429999999
GSK3-alpha-beta_pS21_S9-R-V	0.053135854
GSK3_pS9-R-V	-0.232582925
HER2-M-V	-0.3858025165
HER2_pY1248-R-C	-0.0112524270000001
HER3-R-V	-0.0240557835
HER3_pY1289-R-C	0.0999358629999999
Heregulin-R-V	0.217248006
HSP70-R-C	-0.533816548
IGFBP2-R-V	-0.4494665785
INPP4B-R-V	-0.137321128
IRS1-R-V	-0.060351744
JAB1-M-C	-0.0374855124999999
JNK_pT183_pY185-R-V	0.012198604
JNK2-R-C	-0.513624516
Ku80-R-C	0.651626988
Lck-R-V	0.1540584185
LKB1-M-E	-0.130024313
MAPK_pT202_Y204-R-V	-0.353946039
MEK1-R-V	-0.0857586005
MEK1_pS217_S221-R-V	-0.060647514
MIG-6-M-V	-0.0533235685
Mre11-R-C	-0.0644782909999999
MSH2-M-V	0.3341173645
MSH6-R-C	0.2418274405
mTOR-R-V	0.3911792965
mTOR_pS2448-R-C	-0.0863887294999999
MYH11-R-V	-1.022230472
Myosin-IIa_pS1943-R-V	0.158656245
N-Cadherin-R-V	0.0136472825
N-Ras-M-V	0.2240309835
NDRG1_pT346-R-V	-0.0825279134999998
NF-kB-p65_pS536-R-C	-0.3321871395
NF2-R-C	0.4443140985
Notch1-R-V	-0.165399585
P-Cadherin-R-C	0.3340597945
p21-R-V	0.2256577985
p27-R-V	-0.0912405275
p27_pT157-R-C	0.021247777
p27_pT198-R-V	0.0915263685
p38_MAPK-R-V	-0.2342759965
p38_pT180_Y182-R-V	-0.0268449205
p53-R-E	-0.0897071719999999
p62-LCK-ligand-M-C	0.000682953500000028
p70S6K-R-V	0.0244012515000001
p70S6K_pT389-R-V	-0.0674837149999999
p90RSK-R-C	-0.29957117
p90RSK_pT359_S363-R-C	-0.351205898
PAI-1-M-E	-0.6628554005
PARP_cleaved-M-E	0.20619885
PARP1-R-V	0.3899084505
Paxillin-R-C	0.00598515649999987
PCNA-M-C	-0.2446175765
PDCD4-R-C	0.6654499355
PDK1-R-V	-0.000682953500000028
PDK1_pS241-R-V	-0.11383705
PEA15-R-V	-0.2971903675
PEA15_pS116-R-V	0.212122173
PI3K-p110-alpha-R-C	0.025799404
PI3K-p85-R-V	0.0179166540000001
PKC-alpha-M-V	-0.4941475065
PKC-alpha_pS657-R-C	-0.708576588
PKC-delta_pS664-R-V	0.115947057
PKC-pan_BetaII_pS660-R-V	-0.18535359
PR-R-V	0.2046707285
PRAS40_pT246-R-V	0.084574671
PRDX1-R-V	0.143465482
PREX1-R-E	0.2703616
PTEN-R-V	-0.2787057765
Rab11-R-E	-0.095270353
Rab25-R-V	-0.11069424
Rad50-M-V	-0.082903254
Rad51-R-V	-0.2560729665
Raptor-R-V	0.4036409045
Rb-M-E	-0.012613619
Rb_pS807_S811-R-V	-0.108397173
RBM15-R-V	0.017926338
Rictor-R-C	-0.2115129175
Rictor_pT1135-R-V	-0.1256412895
S6-R-E	0.567638653
S6_pS235_S236-R-V	-0.0846817105000002
S6_pS240_S244-R-V	-0.0919652980000001
SCD-M-V	0.361157876
SETD2-R-E	-0.086799734
SF2-M-V	0.2863198555
Shc_pY317-R-E	-0.0643464235000001
Smac-M-E	0.400753541
Smad1-R-V	0.240562783
Smad3-R-V	0.381051616
Smad4-M-V	0.771217425
Snail-M-E	0.403192028
Src-M-V	-0.281585968
Src_pY416-R-C	0.693135578
Src_pY527-R-V	-0.2454204785
STAT3_pY705-R-V	-0.3088427785
STAT5-alpha-R-V	0.150920839
Stathmin-R-V	0.0378748360000001
Syk-M-V	0.244183497
TAZ-R-V	-0.058269058
TFRC-R-V	-0.26088049
TIGAR-R-V	0.132025106
Transglutaminase-M-V	0.0905273245
TSC1-R-C	-0.1020540835
TTF1-R-V	-0.205514094
Tuberin-R-E	0.2145761755
Tuberin_pT1462-R-V	-0.2180446105
VEGFR2-R-V	-0.1069640345
EPPK1-M-E	-1.3881542345
XBP1-G-C	0.0965933320000001
XRCC1-R-E	-0.0703645350000001
YAP-R-E	-0.2356306655
YAP_pS127-R-E	-0.8745026775
YB-1-R-V	-0.206995344
YB-1_pS102-R-V	-0.188155102
A-Raf-R-V	-0.0600985469999999
ARID1A-R-C	0.3229065845
B-Raf_pS445-R-V	-0.265582446
Bcl2A1-R-V	0.0561088175
BRD4-R-V	0.2156013525
c-Abl-R-V	0.31669665
Caspase-3-R-C	0.5052190485
CD26-R-V	-0.191077646
Chk1_pS296-R-V	0.0906404089999999
COG3-R-V	-0.207975672
DUSP4-R-V	-0.2417589495
ERCC5-R-C	0.0850644545
IGF1R_pY1135_Y1136-R-V	-0.0532942815
IRF-1-R-C	0.136938346
Jak2-R-V	0.298594222
p16_INK4a-R-V	0.103734935
SHP-2_pY542-R-C	-0.197518422
CDK1_pY15-R-C	0.2786169985
