Sample REF	BDE4897D-3FFB-4C65-956D-4ED245ACA857
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.00481440675000006
14-3-3_epsilon-M-C	-0.00420943374999988
14-3-3_zeta-R-V	-0.0578198082499999
4E-BP1-R-V	0.000488476250000036
4E-BP1_pS65-R-V	0.03692648925
4E-BP1_pT37_T46-R-V	-0.04833572275
4E-BP1_pT70-R-V	0.12147902325
53BP1-R-E	-0.21646455125
A-Raf_pS299-R-C	-0.11474164525
ACC_pS79-R-V	0.04617118575
ACC1-R-E	-0.0207663867499999
Acetyl-a-Tubulin-Lys40-R-C	0.42986516975
ACVRL1-R-C	-0.0338783292499999
ADAR1-M-V	-0.0658781797499999
Akt-R-V	-0.09622202575
Akt_pS473-R-V	-0.21393599125
Akt_pT308-R-V	-0.01270239875
alpha-Catenin-M-V	-0.09725282725
AMPK_alpha-R-C	0.05121516125
AMPK_pT172-R-V	0.19802056825
Annexin-1-M-E	0.35221145275
Annexin_VII-M-V	-0.03270135075
AR-R-V	-0.24964803225
DIRAS3-M-E	0.000273889249999992
ASNS-R-V	0.98613090375
ATM-R-E	-0.0787728182500001
B-Raf-M-C	0.21800346275
Bad_pS112-R-V	-0.03026937475
Bak-R-C	0.0532350607500001
Bap1-c-4-M-E	-0.12422104175
Bax-R-V	-0.01904590875
Bcl-2-M-V	-0.11835551925
Bcl-xL-R-V	-0.03873206925
Beclin-G-C	-0.00217588974999999
beta-Catenin-R-V	0.45017325825
Bid-R-C	0.24255246675
Bim-R-V	0.14992423875
c-Jun_pS73-R-V	-0.10603846525
c-Kit-R-V	-0.45945842675
c-Met-M-E	-0.15856393525
c-Met_pY1235-R-V	-0.03275067475
c-Myc-R-C	-0.02371305675
C-Raf-R-V	0.00596959125000013
C-Raf_pS338-R-V	0.10989468225
Caspase-7_cleavedD198-R-C	1.07516089675
Caspase-8-M-E	0.21648275825
Caveolin-1-R-V	-0.24580579325
CD20-R-C	-0.09364778925
CD31-M-V	-0.06138153125
CD49b-M-V	0.16107888075
CDK1-R-V	0.06861305075
Chk1-M-C	-0.03652537575
Chk1_pS345-R-C	0.05773513525
Chk2-M-E	-0.25453167375
Chk2_pT68-R-C	0.00995174124999998
cIAP-R-V	0.01029489925
Claudin-7-R-V	0.74481836175
Collagen_VI-R-V	0.02647887625
Cyclin_B1-R-V	0.0669565087499999
Cyclin_D1-R-V	0.0856744022500001
Cyclin_E1-M-V	0.42981991075
Cyclin_E2-R-C	-0.16624141925
DJ-1-R-E	-0.01134250575
Dvl3-R-V	-0.02214214975
E-Cadherin-R-V	1.23312107875
eEF2-R-C	-0.17535467675
eEF2K-R-V	-0.20171937425
EGFR-R-V	0.25785853775
EGFR_pY1068-R-C	-0.0922323327500001
EGFR_pY1173-R-V	-0.03231816475
eIF4E-R-V	-0.06095522225
eIF4G-R-C	0.27854658925
ER-alpha-R-V	-0.04703385175
ER-alpha_pS118-R-V	-0.08723986725
ERCC1-M-V	0.05225159875
