Sample REF	C4A54988-D9A2-43C6-AE96-EA2CFFFDD877
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.0915346705000001
14-3-3_epsilon-M-C	0.0153842704999999
14-3-3_zeta-R-V	-0.00564523799999991
4E-BP1-R-V	0.0775184255
4E-BP1_pS65-R-V	0.1490654605
4E-BP1_pT37_T46-R-V	0.4919910095
4E-BP1_pT70-R-V	0.3612951305
53BP1-R-E	-0.27783031
A-Raf_pS299-R-C	-0.237490963
ACC_pS79-R-V	-0.120362296
ACC1-R-E	-0.0200390935
Acetyl-a-Tubulin-Lys40-R-C	-0.17786976
ACVRL1-R-C	0.00294492700000007
ADAR1-M-V	-0.1737580675
Akt-R-V	-0.0234717775
Akt_pS473-R-V	0.47408581
Akt_pT308-R-V	0.3425871835
alpha-Catenin-M-V	-0.139415761
AMPK_alpha-R-C	-0.1874591465
AMPK_pT172-R-V	-0.1625502715
Annexin-1-M-E	0.378851182
Annexin_VII-M-V	-0.1360382565
AR-R-V	-0.251767459
DIRAS3-M-E	-0.2066506505
ASNS-R-V	0.423640804
ATM-R-E	-0.13088747
B-Raf-M-C	-0.189483568
Bad_pS112-R-V	-0.1129507025
Bak-R-C	0.0169084180000001
Bap1-c-4-M-E	-0.1833517205
Bax-R-V	-0.00290515150000001
Bcl-2-M-V	-0.23032409
Bcl-xL-R-V	-0.054496956
Beclin-G-C	-0.00488472349999999
beta-Catenin-R-V	0.3788064925
Bid-R-C	0.238768217
Bim-R-V	-0.408206816
c-Jun_pS73-R-V	-0.000655507999999999
c-Kit-R-V	-0.5713571615
c-Met-M-E	-0.176073672
c-Met_pY1235-R-V	-0.0345762765
c-Myc-R-C	-0.0201133235
C-Raf-R-V	-0.1086893415
C-Raf_pS338-R-V	0.1833731265
Caspase-7_cleavedD198-R-C	-0.158782268
Caspase-8-M-E	-0.0676721695
Caveolin-1-R-V	-0.14452905
CD20-R-C	-0.059340436
CD31-M-V	0.038588714
CD49b-M-V	0.125973851
CDK1-R-V	0.32589413
Chk1-M-C	0.1394896995
Chk1_pS345-R-C	0.1895528215
Chk2-M-E	-0.00155786849999998
Chk2_pT68-R-C	0.1543819145
cIAP-R-V	-0.0530949145
Claudin-7-R-V	0.274622063
Collagen_VI-R-V	0.0852249395
Cyclin_B1-R-V	0.439234095
Cyclin_D1-R-V	0.3328191225
Cyclin_E1-M-V	0.579369543
Cyclin_E2-R-C	-0.215451971
DJ-1-R-E	-0.1195047075
Dvl3-R-V	0.1052295265
E-Cadherin-R-V	0.65246009
eEF2-R-C	-0.2104761385
eEF2K-R-V	-0.118895735
EGFR-R-V	0.011118058
EGFR_pY1068-R-C	0.1112789975
EGFR_pY1173-R-V	-0.0541974635
eIF4E-R-V	-0.075441185
eIF4G-R-C	0.1245397375
ER-alpha-R-V	-0.0174794465
ER-alpha_pS118-R-V	-0.06547838
ERCC1-M-V	-0.00981982199999998
ERK2-R-E	-0.0842374075000001
ETS-1-R-V	0.0789974915
FASN-R-V	0.646660249
Fibronectin-R-V	0.986605661
FoxM1-R-V	0.509557054
FOXO3a-R-C	-0.2416069465
FOXO3a_pS318_S321-R-C	0.0618996765000001
G6PD-M-V	-0.150940051
GAB2-R-V	0.0664238875000001
GAPDH-M-C	0.1390587425
GATA3-M-V	0.3271264835
GSK3-alpha-beta-M-V	-0.102151201
GSK3-alpha-beta_pS21_S9-R-V	0.041747546
GSK3_pS9-R-V	0.098126487
HER2-M-V	0.1202015665
HER2_pY1248-R-C	0.138294194
HER3-R-V	0.6476670005
HER3_pY1289-R-C	0.126158545
Heregulin-R-V	0.239370943
HSP70-R-C	1.212189595
IGFBP2-R-V	-0.6041100565
INPP4B-R-V	-0.131963259
IRS1-R-V	0.011683514
JAB1-M-C	-0.2756965835
JNK_pT183_pY185-R-V	0.000589117
JNK2-R-C	-0.000589117
Ku80-R-C	-0.627921845
Lck-R-V	0.2965763375
LKB1-M-E	0.105094936
MAPK_pT202_Y204-R-V	-0.09595903
MEK1-R-V	-0.1433841985
MEK1_pS217_S221-R-V	-0.032963038
MIG-6-M-V	0.1172449165
Mre11-R-C	0.0972765600000001
MSH2-M-V	-0.3576754925
MSH6-R-C	-0.5083596465
mTOR-R-V	-0.1266905105
mTOR_pS2448-R-C	0.1015261315
MYH11-R-V	-0.946247212
Myosin-IIa_pS1943-R-V	0.057071967
N-Cadherin-R-V	0.0766650115
N-Ras-M-V	-0.1277480345
NDRG1_pT346-R-V	0.0222600325000001
NF-kB-p65_pS536-R-C	0.0148462165
NF2-R-C	0.1389526015
Notch1-R-V	0.0106655
P-Cadherin-R-C	-0.3491329345
p21-R-V	-0.1458967245
p27-R-V	-0.00621776749999997
p27_pT157-R-C	-0.0745218960000001
p27_pT198-R-V	-0.0358999705
p38_MAPK-R-V	0.1897162315
p38_pT180_Y182-R-V	-0.3340678875
p53-R-E	-0.115830477
p62-LCK-ligand-M-C	-0.0642465755
p70S6K-R-V	-0.0234319435
