Sample REF	C60EC799-C033-4440-8A70-5311E4406FBD
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.0147871457499999
14-3-3_epsilon-M-C	-0.05436297475
14-3-3_zeta-R-V	0.22387620275
4E-BP1-R-V	0.42251129125
4E-BP1_pS65-R-V	0.07568028525
4E-BP1_pT37_T46-R-V	-0.0794229907499999
4E-BP1_pT70-R-V	0.06636792825
53BP1-R-E	0.42684804175
A-Raf_pS299-R-C	-0.12485628925
ACC_pS79-R-V	0.58663739575
ACC1-R-E	0.84679622325
Acetyl-a-Tubulin-Lys40-R-C	-0.03967617125
ACVRL1-R-C	-0.23023519325
ADAR1-M-V	0.31261385925
Akt-R-V	-0.06609283275
Akt_pS473-R-V	-0.45389018025
Akt_pT308-R-V	-0.32318360775
alpha-Catenin-M-V	-0.12068121825
AMPK_alpha-R-C	0.0356021542499999
AMPK_pT172-R-V	-0.64898839175
Annexin-1-M-E	-0.32272997525
Annexin_VII-M-V	-0.0534272907499999
AR-R-V	-0.00333106624999999
DIRAS3-M-E	-0.16712370175
ASNS-R-V	0.17641787775
ATM-R-E	-0.15308520525
B-Raf-M-C	0.95888665375
Bad_pS112-R-V	-0.04890526575
Bak-R-C	-0.04087237025
Bap1-c-4-M-E	0.22905713625
Bax-R-V	0.52347520825
Bcl-2-M-V	-0.20556994925
Bcl-xL-R-V	-0.20285978425
Beclin-G-C	0.05628577625
beta-Catenin-R-V	-0.38701796175
Bid-R-C	-0.000933155250000012
Bim-R-V	0.27525307675
c-Jun_pS73-R-V	-0.08107733525
c-Kit-R-V	1.68854029425
c-Met-M-E	-0.06827229125
c-Met_pY1235-R-V	0.03122264625
c-Myc-R-C	0.01320082625
C-Raf-R-V	0.54511131725
C-Raf_pS338-R-V	-0.04205519875
Caspase-7_cleavedD198-R-C	1.15168140975
Caspase-8-M-E	-0.01665076775
Caveolin-1-R-V	-0.85658788325
CD20-R-C	0.08930699575
CD31-M-V	-0.0951103742499999
CD49b-M-V	-0.0406453942500002
CDK1-R-V	-0.03877454525
Chk1-M-C	0.62412039625
Chk1_pS345-R-C	0.05539659625
Chk2-M-E	0.86532535825
Chk2_pT68-R-C	-0.04838343375
cIAP-R-V	0.10809809825
Claudin-7-R-V	0.28928456675
Collagen_VI-R-V	-0.20488035375
Cyclin_B1-R-V	0.83036048475
Cyclin_D1-R-V	0.09926052925
Cyclin_E1-M-V	0.15745807575
Cyclin_E2-R-C	0.21065799575
DJ-1-R-E	0.30200849925
Dvl3-R-V	0.14083942225
E-Cadherin-R-V	-0.0777810582499999
eEF2-R-C	0.45189179425
eEF2K-R-V	0.78961450975
EGFR-R-V	-0.19268100725
EGFR_pY1068-R-C	-0.37589280075
EGFR_pY1173-R-V	0.09175801025
eIF4E-R-V	0.12438912875
eIF4G-R-C	0.20543894425
ER-alpha-R-V	-0.18420997575
ER-alpha_pS118-R-V	0.15845235075
ERCC1-M-V	-0.06206428625
ERK2-R-E	0.0239229082499999
ETS-1-R-V	-0.15785844175
FASN-R-V	-0.33084139725
Fibronectin-R-V	-0.82028132525
FoxM1-R-V	0.39258283175
FOXO3a-R-C	-0.07030893675
FOXO3a_pS318_S321-R-C	-0.19554711775
G6PD-M-V	-0.05206557725
GAB2-R-V	1.21156175625
GAPDH-M-C	0.78838603625
GATA3-M-V	-0.38535581375
GSK3-alpha-beta-M-V	0.41817866075
GSK3-alpha-beta_pS21_S9-R-V	0.49282181675
GSK3_pS9-R-V	-0.09088797525
HER2-M-V	-0.0930571327499999
HER2_pY1248-R-C	0.06428865175
HER3-R-V	0.10620452625
HER3_pY1289-R-C	0.02036053075
Heregulin-R-V	0.52202627475
HSP70-R-C	-0.25077241325
IGFBP2-R-V	-0.28492467075
INPP4B-R-V	-0.21149327125
IRS1-R-V	-0.13285864025
JAB1-M-C	0.00895848925000012
JNK_pT183_pY185-R-V	-0.09107370025
JNK2-R-C	0.01921052875
Ku80-R-C	0.48195495175
Lck-R-V	-0.60761119775
LKB1-M-E	0.00026602575000001
MAPK_pT202_Y204-R-V	-0.47426491325
MEK1-R-V	0.38968057825
MEK1_pS217_S221-R-V	-0.10837320025
MIG-6-M-V	-0.11163654775
Mre11-R-C	-0.10148194525
MSH2-M-V	0.21947896025
MSH6-R-C	0.56848460725
mTOR-R-V	0.61799646325
mTOR_pS2448-R-C	0.21502171025
MYH11-R-V	-1.73008318725
Myosin-IIa_pS1943-R-V	-0.53495704925
N-Cadherin-R-V	-0.15794219875
N-Ras-M-V	0.10858586125
NDRG1_pT346-R-V	-0.22822317375
NF-kB-p65_pS536-R-C	-0.29004079075
NF2-R-C	0.32354951525
Notch1-R-V	-0.29147940725
P-Cadherin-R-C	0.23515200225
p21-R-V	0.80035355125
p27-R-V	-0.07771791975
p27_pT157-R-C	0.03317475875
p27_pT198-R-V	0.04207450225
p38_MAPK-R-V	-0.0109657797500001
p38_pT180_Y182-R-V	-0.21046370675
p53-R-E	-0.00124162724999996
p62-LCK-ligand-M-C	-0.000266025749999996
p70S6K-R-V	0.31174145225
p70S6K_pT389-R-V	-0.0785971812499999
p90RSK-R-C	-0.04174284525
p90RSK_pT359_S363-R-C	-0.15150146325
PAI-1-M-E	-0.48688889675
PARP_cleaved-M-E	0.18540153075
PARP1-R-V	0.91007835125
Paxillin-R-C	0.34518093425
PCNA-M-C	0.27522630425
PDCD4-R-C	1.25012817525
PDK1-R-V	-0.09217621675
PDK1_pS241-R-V	-0.42749429125
PEA15-R-V	-0.03912247275
PEA15_pS116-R-V	0.02265240475
PI3K-p110-alpha-R-C	0.05270152075
PI3K-p85-R-V	0.15505169775
PKC-alpha-M-V	-0.39953602875
PKC-alpha_pS657-R-C	-0.82607667325
PKC-delta_pS664-R-V	-0.19657374925
PKC-pan_BetaII_pS660-R-V	-0.30555504125
PR-R-V	-0.01027540375
PRAS40_pT246-R-V	0.29180116675
PRDX1-R-V	0.64429686375
PREX1-R-E	0.74881090675
PTEN-R-V	-0.09907470075
Rab11-R-E	0.11912765375
Rab25-R-V	0.04484876975
Rad50-M-V	0.08551346275
Rad51-R-V	-0.11486368575
Raptor-R-V	0.50579290625
Rb-M-E	-0.0121390632500001
Rb_pS807_S811-R-V	0.28196227075
RBM15-R-V	0.29452067475
Rictor-R-C	0.13033560725
Rictor_pT1135-R-V	0.33937846925
S6-R-E	0.43403023775
S6_pS235_S236-R-V	-0.64774034675
S6_pS240_S244-R-V	-0.41951336025
SCD-M-V	0.18666805775
SETD2-R-E	-0.04183334725
SF2-M-V	0.46674487225
Shc_pY317-R-E	0.00757027324999984
Smac-M-E	0.63408113275
Smad1-R-V	0.0762264657500001
Smad3-R-V	0.44430898275
Smad4-M-V	-0.0702137092499999
Snail-M-E	0.27274481575
Src-M-V	-0.25103570225
Src_pY416-R-C	-0.0190809162499998
Src_pY527-R-V	-0.44828114575
STAT3_pY705-R-V	-0.56618064075
STAT5-alpha-R-V	-0.22536959425
Stathmin-R-V	0.08347759475
Syk-M-V	-0.26531741425
TAZ-R-V	-0.23537187425
TFRC-R-V	0.29829046375
TIGAR-R-V	0.36868054075
Transglutaminase-M-V	0.01723791325
TSC1-R-C	-0.0286537497500001
TTF1-R-V	0.15572324775
Tuberin-R-E	0.16942740325
Tuberin_pT1462-R-V	-0.16507961475
VEGFR2-R-V	-0.03719520275
EPPK1-M-E	0.10830552125
XBP1-G-C	-0.44844675025
XRCC1-R-E	0.11457191975
YAP-R-E	-0.04845509675
YAP_pS127-R-E	-0.12057176575
YB-1-R-V	0.03127363875
YB-1_pS102-R-V	-0.07138450625
A-Raf-R-V	-0.03562543225
ARID1A-R-C	0.59767072025
B-Raf_pS445-R-V	0.67741139875
Bcl2A1-R-V	-0.05597657575
BRD4-R-V	0.77708964725
c-Abl-R-V	0.15774316675
Caspase-3-R-C	0.0432601722499999
CD26-R-V	-0.10798388725
Chk1_pS296-R-V	0.05604801775
COG3-R-V	-0.15852541125
DUSP4-R-V	-0.25971463575
ERCC5-R-C	0.19718896325
IGF1R_pY1135_Y1136-R-V	-0.14501170275
IRF-1-R-C	0.13641914975
Jak2-R-V	-0.04158279525
p16_INK4a-R-V	0.64720150575
SHP-2_pY542-R-C	-0.28321358225
CDK1_pY15-R-C	-0.09683710075
