Sample REF	CA387590-A18C-4248-B6BE-4FBD5CC15B43
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.16745312175
14-3-3_epsilon-M-C	0.04365594775
14-3-3_zeta-R-V	-0.0461868147499999
4E-BP1-R-V	0.0784164327500001
4E-BP1_pS65-R-V	0.06841461675
4E-BP1_pT37_T46-R-V	0.42836236675
4E-BP1_pT70-R-V	0.20833054375
53BP1-R-E	-0.25785686075
A-Raf_pS299-R-C	-0.11262437075
ACC_pS79-R-V	-0.16241993575
ACC1-R-E	-0.24469803125
Acetyl-a-Tubulin-Lys40-R-C	0.18511745925
ACVRL1-R-C	0.21302902025
ADAR1-M-V	-0.12614553925
Akt-R-V	-0.10128133225
Akt_pS473-R-V	0.35831657625
Akt_pT308-R-V	0.41553897375
alpha-Catenin-M-V	-0.0542557377499999
AMPK_alpha-R-C	0.15623820175
AMPK_pT172-R-V	0.15873154175
Annexin-1-M-E	0.13652534125
Annexin_VII-M-V	-0.17657540025
AR-R-V	-0.40565838875
DIRAS3-M-E	0.0394881067500001
ASNS-R-V	0.38545902225
ATM-R-E	-0.34702885275
B-Raf-M-C	-0.21832696675
Bad_pS112-R-V	-0.13233825425
Bak-R-C	-0.00642085674999993
Bap1-c-4-M-E	-0.22974686225
Bax-R-V	-0.30145567725
Bcl-2-M-V	0.00769278425000008
Bcl-xL-R-V	-0.03669167675
Beclin-G-C	-0.01879158325
beta-Catenin-R-V	-0.14213575925
Bid-R-C	0.14736698225
Bim-R-V	-0.67806430475
c-Jun_pS73-R-V	-0.04591605575
c-Kit-R-V	-0.89853405425
c-Met-M-E	-0.0932032947499999
c-Met_pY1235-R-V	-0.0290702642499999
c-Myc-R-C	0.21578734975
C-Raf-R-V	-0.00539094724999978
C-Raf_pS338-R-V	0.28091237875
Caspase-7_cleavedD198-R-C	-0.57361905975
Caspase-8-M-E	-0.0361467432499999
Caveolin-1-R-V	-0.16509990875
CD20-R-C	-0.23797670175
CD31-M-V	0.0851386272500001
CD49b-M-V	0.06898259425
CDK1-R-V	0.10243523425
Chk1-M-C	-0.17200869725
Chk1_pS345-R-C	-0.0873803572499999
Chk2-M-E	-0.21676029525
Chk2_pT68-R-C	0.0271888867500001
cIAP-R-V	-0.00770564324999989
Claudin-7-R-V	0.33983370325
Collagen_VI-R-V	0.17611386075
Cyclin_B1-R-V	-0.28235185875
Cyclin_D1-R-V	0.38965387875
Cyclin_E1-M-V	0.0176804542500002
Cyclin_E2-R-C	0.0439408432500001
DJ-1-R-E	0.0679925587500001
Dvl3-R-V	0.0688871027500001
E-Cadherin-R-V	0.37189189125
eEF2-R-C	-0.35517759825
eEF2K-R-V	-0.69811262875
EGFR-R-V	0.24233304625
EGFR_pY1068-R-C	0.16954107175
EGFR_pY1173-R-V	0.00792085575000007
eIF4E-R-V	-0.0319157037499999
eIF4G-R-C	0.26401042275
ER-alpha-R-V	0.15343800975
ER-alpha_pS118-R-V	-0.0220940147499999
ERCC1-M-V	-0.0360577527499999
ERK2-R-E	-0.0502495192499999
ETS-1-R-V	0.0609980947500001
FASN-R-V	-0.00167335674999991
Fibronectin-R-V	0.97338055525
FoxM1-R-V	0.0829130622500001
FOXO3a-R-C	0.05874908675
FOXO3a_pS318_S321-R-C	-0.0450064092499998
G6PD-M-V	0.0339388322500001
GAB2-R-V	-0.25743332025
GAPDH-M-C	-0.27772354225
GATA3-M-V	0.04389896575
GSK3-alpha-beta-M-V	-0.33524841975
GSK3-alpha-beta_pS21_S9-R-V	-0.26102429675
GSK3_pS9-R-V	-0.0162151127499999
HER2-M-V	0.36113520575
HER2_pY1248-R-C	0.32483561125
HER3-R-V	0.60233210175
HER3_pY1289-R-C	0.16570598525
Heregulin-R-V	0.21313758225
HSP70-R-C	0.95261915825
IGFBP2-R-V	0.42564206175
INPP4B-R-V	0.0154327402500003
IRS1-R-V	0.0863499472500001
JAB1-M-C	0.000412791749999863
JNK_pT183_pY185-R-V	0.0432524902500001
JNK2-R-C	-0.0913400617499998
Ku80-R-C	-0.28036719275
Lck-R-V	-0.14994379325
LKB1-M-E	0.10591976825
MAPK_pT202_Y204-R-V	0.47573888525
MEK1-R-V	0.24320863275
MEK1_pS217_S221-R-V	0.21216053525
MIG-6-M-V	0.15370834175
Mre11-R-C	0.17568369625
MSH2-M-V	-0.24617080425
MSH6-R-C	-0.38094467025
mTOR-R-V	-0.50827384725
mTOR_pS2448-R-C	-0.13913113625
MYH11-R-V	0.37073611925
Myosin-IIa_pS1943-R-V	0.24371175125
