Sample REF	CB7DC24C-699C-4121-841B-239DF9DA5BDF
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.00404130374999989
14-3-3_epsilon-M-C	0.10941388675
14-3-3_zeta-R-V	0.03206964925
4E-BP1-R-V	-0.0892680562500001
4E-BP1_pS65-R-V	-0.13213768525
4E-BP1_pT37_T46-R-V	-0.11952258825
4E-BP1_pT70-R-V	-0.36180057225
53BP1-R-E	0.47520788925
A-Raf_pS299-R-C	0.05979501525
ACC_pS79-R-V	0.00328631424999992
ACC1-R-E	-0.17303278325
Acetyl-a-Tubulin-Lys40-R-C	0.26300681025
ACVRL1-R-C	0.13361861025
ADAR1-M-V	0.12888662875
Akt-R-V	0.06977536875
Akt_pS473-R-V	0.24808006125
Akt_pT308-R-V	0.0222878807499999
alpha-Catenin-M-V	0.0280086772499999
AMPK_alpha-R-C	-0.18242569425
AMPK_pT172-R-V	-0.44693169925
Annexin-1-M-E	0.0305907992500001
Annexin_VII-M-V	0.24252195375
AR-R-V	-0.01909784875
DIRAS3-M-E	0.0276885307499999
ASNS-R-V	-0.50847663375
ATM-R-E	0.19419484325
B-Raf-M-C	0.29044935225
Bad_pS112-R-V	0.12849265775
Bak-R-C	-0.06686234075
Bap1-c-4-M-E	-0.00677124625000008
Bax-R-V	-0.18491338225
Bcl-2-M-V	0.27785468725
Bcl-xL-R-V	-0.0611990847500001
Beclin-G-C	-0.19791311425
beta-Catenin-R-V	0.0865264637499999
Bid-R-C	-0.19049550875
Bim-R-V	-0.15235027475
c-Jun_pS73-R-V	0.0507067582499999
c-Kit-R-V	2.11680571775
c-Met-M-E	0.0338181352499999
c-Met_pY1235-R-V	0.00347863574999996
c-Myc-R-C	0.05716866975
C-Raf-R-V	-0.05610783825
C-Raf_pS338-R-V	-0.0493987932500001
Caspase-7_cleavedD198-R-C	-0.20198128375
Caspase-8-M-E	-0.12618119425
Caveolin-1-R-V	-0.19461639775
CD20-R-C	0.17476194025
CD31-M-V	-0.0293501537500001
