Sample REF	D8850DE1-5395-4DEE-B695-C19C21783B36
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.00306298100000002
14-3-3_epsilon-M-C	-0.081875955
14-3-3_zeta-R-V	-0.1184028875
4E-BP1-R-V	0.117227428
4E-BP1_pS65-R-V	-0.192952939
4E-BP1_pT37_T46-R-V	0.0745990830000001
4E-BP1_pT70-R-V	0.071750628
53BP1-R-E	-0.4849683125
A-Raf_pS299-R-C	-0.0808435175000001
ACC_pS79-R-V	0.3042129225
ACC1-R-E	0.030830476
Acetyl-a-Tubulin-Lys40-R-C	0.3170169085
ACVRL1-R-C	0.3169257455
ADAR1-M-V	0.126924567
Akt-R-V	-0.29429762
Akt_pS473-R-V	-0.0202791045
Akt_pT308-R-V	0.198906864
alpha-Catenin-M-V	0.0125001775000001
AMPK_alpha-R-C	-0.209612226
AMPK_pT172-R-V	-0.670989734
Annexin-1-M-E	-0.1893712445
Annexin_VII-M-V	-0.248251338
AR-R-V	-0.1490824065
DIRAS3-M-E	0.034762581
ASNS-R-V	0.2412267055
ATM-R-E	-0.6010829695
B-Raf-M-C	-0.1572823955
Bad_pS112-R-V	-0.039736614
Bak-R-C	0.1822363805
Bap1-c-4-M-E	0.061433102
Bax-R-V	-0.0341802419999999
Bcl-2-M-V	-0.0567223535
Bcl-xL-R-V	-0.3398230875
Beclin-G-C	-0.245424077
beta-Catenin-R-V	0.442948647
Bid-R-C	0.0285908815
Bim-R-V	0.0034605315
c-Jun_pS73-R-V	0.1301540785
c-Kit-R-V	-0.665220478
c-Met-M-E	-0.0874515465
c-Met_pY1235-R-V	0.04200665
c-Myc-R-C	0.214481471
C-Raf-R-V	-0.0571250209999999
C-Raf_pS338-R-V	0.106807073
Caspase-7_cleavedD198-R-C	0.3294889485
Caspase-8-M-E	-0.195039397
Caveolin-1-R-V	-0.3097946865
CD20-R-C	0.0666862115
CD31-M-V	0.0442863305
CD49b-M-V	-0.0772985465000001
CDK1-R-V	0.2927192095
Chk1-M-C	0.0751430160000001
Chk1_pS345-R-C	0.26667095
Chk2-M-E	0.069545223
Chk2_pT68-R-C	0.154101808
cIAP-R-V	-0.131966908
Claudin-7-R-V	1.2384477405
Collagen_VI-R-V	-0.152049144
Cyclin_B1-R-V	0.5320074885
Cyclin_D1-R-V	-0.180335063
Cyclin_E1-M-V	0.2150040625
Cyclin_E2-R-C	-0.0577773415
DJ-1-R-E	-0.035832942
Dvl3-R-V	-0.045210877
E-Cadherin-R-V	1.3669154145
eEF2-R-C	-0.148814109
eEF2K-R-V	-0.0322654915
EGFR-R-V	-0.0884590904999999
EGFR_pY1068-R-C	0.239956747
EGFR_pY1173-R-V	-0.00293431799999999
eIF4E-R-V	-0.00614625549999998
eIF4G-R-C	0.407163833
ER-alpha-R-V	0.119185114
ER-alpha_pS118-R-V	0.0840446815
ERCC1-M-V	-0.1368209015
ERK2-R-E	-0.162211586
ETS-1-R-V	0.052646163
FASN-R-V	0.5618922595
Fibronectin-R-V	0.8297716255
FoxM1-R-V	0.5336291815
FOXO3a-R-C	0.146922867
FOXO3a_pS318_S321-R-C	0.151095202
G6PD-M-V	-0.0139598815
GAB2-R-V	-0.68070374
GAPDH-M-C	0.282438876
GATA3-M-V	-0.184223314
GSK3-alpha-beta-M-V	-0.1781457525
GSK3-alpha-beta_pS21_S9-R-V	-0.0548432635
GSK3_pS9-R-V	0.0308294865
HER2-M-V	0.440239759
HER2_pY1248-R-C	0.1094570915
HER3-R-V	0.191538013
HER3_pY1289-R-C	0.2800372335
Heregulin-R-V	0.1450736735
HSP70-R-C	-0.1681132055
IGFBP2-R-V	0.674579436
INPP4B-R-V	0.0980019885000002
IRS1-R-V	0.2080000525
JAB1-M-C	0.170669924
JNK_pT183_pY185-R-V	0.0573222255
JNK2-R-C	-0.0461946965
Ku80-R-C	-0.3133483615
Lck-R-V	-0.299987194
LKB1-M-E	-0.0522432855
MAPK_pT202_Y204-R-V	-0.1052367305
MEK1-R-V	-0.100523526
MEK1_pS217_S221-R-V	-0.0436330275
MIG-6-M-V	0.268455667
Mre11-R-C	0.1809434295
MSH2-M-V	0.37619599
MSH6-R-C	0.135076338
mTOR-R-V	-0.347766696
mTOR_pS2448-R-C	0.0266755470000001
MYH11-R-V	-0.9716878665
Myosin-IIa_pS1943-R-V	-0.2272809365
N-Cadherin-R-V	0.165352587
N-Ras-M-V	0.117373554
NDRG1_pT346-R-V	-0.212644322
NF-kB-p65_pS536-R-C	0.00895237200000003
NF2-R-C	-0.390433941
Notch1-R-V	0.3809000765
P-Cadherin-R-C	0.094523917
p21-R-V	-0.565214551
p27-R-V	-0.248719707
p27_pT157-R-C	0.1794164445
p27_pT198-R-V	-0.035571488
p38_MAPK-R-V	-0.240002083
p38_pT180_Y182-R-V	-0.421034913
p53-R-E	0.3129275865
p62-LCK-ligand-M-C	-0.095573052
p70S6K-R-V	-0.156479875
p70S6K_pT389-R-V	0.1050943095
p90RSK-R-C	0.3107339465
p90RSK_pT359_S363-R-C	0.3607595735
PAI-1-M-E	0.620950626
PARP_cleaved-M-E	0.0259550274999999
PARP1-R-V	0.0590199029999999
Paxillin-R-C	0.144806989
PCNA-M-C	-0.024527193
PDCD4-R-C	-0.548899705
PDK1-R-V	-0.094632662
PDK1_pS241-R-V	-0.1114060465
PEA15-R-V	-0.186169378
PEA15_pS116-R-V	-0.1019354235
PI3K-p110-alpha-R-C	-0.0760137035
PI3K-p85-R-V	-0.2217378555
PKC-alpha-M-V	-0.311009052
PKC-alpha_pS657-R-C	-0.4650551395
PKC-delta_pS664-R-V	-0.0424581495
PKC-pan_BetaII_pS660-R-V	-0.1721151985
PR-R-V	-0.093193031
PRAS40_pT246-R-V	0.1210943925
PRDX1-R-V	-0.0925365345
PREX1-R-E	-0.4588232655
PTEN-R-V	-0.310389349
Rab11-R-E	-0.1181561205
Rab25-R-V	-0.5172190085
Rad50-M-V	0.0920702065
Rad51-R-V	0.215166512
Raptor-R-V	-0.358995568
Rb-M-E	-0.0919912585
Rb_pS807_S811-R-V	0.1837010885
RBM15-R-V	0.1191230055
Rictor-R-C	-0.460977415
Rictor_pT1135-R-V	-0.210061255
S6-R-E	-0.2570144975
S6_pS235_S236-R-V	0.171289228
S6_pS240_S244-R-V	0.3238042565
SCD-M-V	0.1149589795
SETD2-R-E	0.0627956995
SF2-M-V	-0.074644052
Shc_pY317-R-E	0.0258278929999999
Smac-M-E	-0.3550239855
Smad1-R-V	-0.0637501065
Smad3-R-V	-0.1257368215
Smad4-M-V	0.1238053285
Snail-M-E	0.0509681024999999
Src-M-V	-0.0106665495
Src_pY416-R-C	0.4545509995
Src_pY527-R-V	0.227307975
STAT3_pY705-R-V	-0.398630398
STAT5-alpha-R-V	-0.6068336935
Stathmin-R-V	0.0792198515
Syk-M-V	-0.7695794705
TAZ-R-V	-0.00947937649999998
TFRC-R-V	0.0597701765
TIGAR-R-V	0.3600269315
Transglutaminase-M-V	-0.125501968
TSC1-R-C	-0.246138289
TTF1-R-V	0.0857619575
Tuberin-R-E	-0.393686263
Tuberin_pT1462-R-V	0.075442415
VEGFR2-R-V	0.00293431799999999
EPPK1-M-E	0.650410637
XBP1-G-C	-0.2993119605
XRCC1-R-E	-0.0160498205
YAP-R-E	0.00458040500000001
YAP_pS127-R-E	0.036976743
YB-1-R-V	0.0496770385
YB-1_pS102-R-V	0.3105276945
A-Raf-R-V	-0.1264244645
ARID1A-R-C	0.059971815
B-Raf_pS445-R-V	-0.1030312295
Bcl2A1-R-V	0.126795366
BRD4-R-V	-0.10692292
c-Abl-R-V	-0.1250228765
Caspase-3-R-C	0.588574444
CD26-R-V	0.0350759564999999
Chk1_pS296-R-V	0.0373357915000001
COG3-R-V	-0.1493497495
DUSP4-R-V	1.098362379
ERCC5-R-C	-0.0882059740000001
IGF1R_pY1135_Y1136-R-V	0.165168289
IRF-1-R-C	-0.2061748035
Jak2-R-V	-0.1493498745
p16_INK4a-R-V	-0.1230039595
SHP-2_pY542-R-C	0.0620234984999998
CDK1_pY15-R-C	0.037244035
