Sample REF	D919B6CE-09A9-4C46-847A-D76D8EE9B4D0
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.14064707875
14-3-3_epsilon-M-C	-0.0140221292499999
14-3-3_zeta-R-V	-0.0835681557499999
4E-BP1-R-V	-0.0794246772499999
4E-BP1_pS65-R-V	0.0276283597500001
4E-BP1_pT37_T46-R-V	0.22027370875
4E-BP1_pT70-R-V	0.10891867675
53BP1-R-E	-0.0645809067499998
A-Raf_pS299-R-C	-0.0295861037499999
ACC_pS79-R-V	-0.25922972975
ACC1-R-E	-0.22983351125
Acetyl-a-Tubulin-Lys40-R-C	0.50228769325
ACVRL1-R-C	0.18977172325
ADAR1-M-V	-0.18172483225
Akt-R-V	0.34337010875
Akt_pS473-R-V	0.86243765825
Akt_pT308-R-V	0.81706773675
alpha-Catenin-M-V	0.14327410425
AMPK_alpha-R-C	0.33541061575
AMPK_pT172-R-V	-0.0516808382499998
Annexin-1-M-E	0.15146652325
Annexin_VII-M-V	-0.36970676825
AR-R-V	0.35770229525
DIRAS3-M-E	0.0445346437499999
ASNS-R-V	-0.64148590075
ATM-R-E	-0.26179260275
B-Raf-M-C	-0.60458898575
Bad_pS112-R-V	0.08200814575
Bak-R-C	-0.0873223977499998
Bap1-c-4-M-E	-0.31771731525
Bax-R-V	-0.55178809825
Bcl-2-M-V	0.18929624325
Bcl-xL-R-V	-0.30154650575
Beclin-G-C	0.21904240475
beta-Catenin-R-V	0.60724452975
Bid-R-C	0.14040757225
Bim-R-V	-0.43189782475
c-Jun_pS73-R-V	0.00910083424999997
c-Kit-R-V	-0.94811311025
c-Met-M-E	0.33997800325
c-Met_pY1235-R-V	-0.0110873422499999
c-Myc-R-C	0.93683572875
C-Raf-R-V	-0.28707127625
C-Raf_pS338-R-V	0.0960896507500001
Caspase-7_cleavedD198-R-C	-1.03852872075
Caspase-8-M-E	0.22803048875
Caveolin-1-R-V	1.80901961325
CD20-R-C	-0.10481572175
CD31-M-V	0.0136705542500003
CD49b-M-V	-0.0006685647500001
CDK1-R-V	0.0760291142500001
Chk1-M-C	-0.31510610525
Chk1_pS345-R-C	-0.20391523025
Chk2-M-E	-0.71186991425
Chk2_pT68-R-C	0.0203311607500002
cIAP-R-V	-0.17206817225
Claudin-7-R-V	-0.17370625575
Collagen_VI-R-V	0.27678006775
Cyclin_B1-R-V	-1.45185989275
Cyclin_D1-R-V	0.17782735075
Cyclin_E1-M-V	-0.25059997875
Cyclin_E2-R-C	-0.31888044375
DJ-1-R-E	-0.29613421325
Dvl3-R-V	0.25914818875
E-Cadherin-R-V	1.25613065625
eEF2-R-C	-0.48260905725
eEF2K-R-V	0.10604130125
EGFR-R-V	0.13553553225
EGFR_pY1068-R-C	0.33599064775
EGFR_pY1173-R-V	-0.0227817112499998
eIF4E-R-V	-0.17217289975
eIF4G-R-C	-0.25148402525
ER-alpha-R-V	0.0883089517500001
ER-alpha_pS118-R-V	-0.21338869875
ERCC1-M-V	0.13369251225
ERK2-R-E	-0.13151597625
ETS-1-R-V	0.00213273775000011
FASN-R-V	-0.0836342487499999
Fibronectin-R-V	0.44625283425
FoxM1-R-V	-0.35932915475
FOXO3a-R-C	0.12137512575
FOXO3a_pS318_S321-R-C	0.28517274175
G6PD-M-V	-0.11232719075
GAB2-R-V	-0.0692202912499998
GAPDH-M-C	-0.69640944725
GATA3-M-V	-0.0567814962500001
GSK3-alpha-beta-M-V	-0.18795741475
GSK3-alpha-beta_pS21_S9-R-V	-0.17275833975
GSK3_pS9-R-V	0.32227789425
HER2-M-V	0.43500926175
HER2_pY1248-R-C	0.15750089725
HER3-R-V	-0.0506191452499999
HER3_pY1289-R-C	0.17327086725
Heregulin-R-V	-0.00731342274999991
HSP70-R-C	0.17288372225
IGFBP2-R-V	1.37246783575
INPP4B-R-V	-0.0842808567499996
IRS1-R-V	0.41268306025
JAB1-M-C	-0.0364140762499999
JNK_pT183_pY185-R-V	0.23170782525
JNK2-R-C	-0.0517975627499999
Ku80-R-C	-0.67657549375
Lck-R-V	-0.61631908025
LKB1-M-E	0.14163600225
MAPK_pT202_Y204-R-V	1.16043518125
MEK1-R-V	0.28928699175
MEK1_pS217_S221-R-V	0.34578207125
MIG-6-M-V	0.00584958075000008
Mre11-R-C	0.0422140392500002
MSH2-M-V	-0.72212571525
MSH6-R-C	-1.22866470125
mTOR-R-V	-0.41605634925
mTOR_pS2448-R-C	-0.0702377882499999
MYH11-R-V	2.75766264225
Myosin-IIa_pS1943-R-V	-0.0898499107499999
N-Cadherin-R-V	0.04558673975
N-Ras-M-V	0.10045629075
NDRG1_pT346-R-V	-0.14313713625
