Sample REF	DBE1552C-593D-4AD9-9767-AA10C0F525DF
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.05576548875
14-3-3_epsilon-M-C	-0.06776183425
14-3-3_zeta-R-V	-0.00649410374999992
4E-BP1-R-V	-0.00994425124999998
4E-BP1_pS65-R-V	0.05195052875
4E-BP1_pT37_T46-R-V	-0.05037333325
4E-BP1_pT70-R-V	0.17848712875
53BP1-R-E	-0.0824741177499999
A-Raf_pS299-R-C	-0.0866556237500001
ACC_pS79-R-V	-0.18132477575
ACC1-R-E	-0.30611395725
Acetyl-a-Tubulin-Lys40-R-C	0.56986016525
ACVRL1-R-C	-0.0687636247499999
ADAR1-M-V	0.03539658075
Akt-R-V	0.29472505675
Akt_pS473-R-V	0.23779526125
Akt_pT308-R-V	0.18537611375
alpha-Catenin-M-V	0.0953636662500001
AMPK_alpha-R-C	0.40267541275
AMPK_pT172-R-V	0.56386643675
Annexin-1-M-E	1.01469861925
Annexin_VII-M-V	-0.06673608925
AR-R-V	0.19391574725
DIRAS3-M-E	0.0512858577500001
ASNS-R-V	-0.00512783174999998
ATM-R-E	0.10685218925
B-Raf-M-C	-0.18678440375
Bad_pS112-R-V	0.04437152575
Bak-R-C	-0.03393993375
Bap1-c-4-M-E	-0.21492638425
Bax-R-V	-0.42715202125
Bcl-2-M-V	0.16542177425
Bcl-xL-R-V	0.08838328125
Beclin-G-C	0.31705700675
beta-Catenin-R-V	0.56717482475
Bid-R-C	0.13640595125
Bim-R-V	-0.26936009475
c-Jun_pS73-R-V	-0.10821044175
c-Kit-R-V	-0.56520902425
c-Met-M-E	0.0407231222499999
c-Met_pY1235-R-V	-0.05018583725
c-Myc-R-C	-0.0789878092499999
C-Raf-R-V	-0.20659430825
C-Raf_pS338-R-V	0.12532507475
Caspase-7_cleavedD198-R-C	-0.57469327475
Caspase-8-M-E	0.03215930875
Caveolin-1-R-V	0.80257907625
CD20-R-C	-0.12588897575
CD31-M-V	0.00843827224999999
CD49b-M-V	0.27055155025
CDK1-R-V	-0.01239666375
Chk1-M-C	-0.13413384725
Chk1_pS345-R-C	0.0874910457500001
Chk2-M-E	-0.80922130025
Chk2_pT68-R-C	-0.04644630725
cIAP-R-V	0.10691382375
Claudin-7-R-V	0.46087363825
Collagen_VI-R-V	0.25281466175
Cyclin_B1-R-V	-0.90732192675
Cyclin_D1-R-V	-0.12507001325
Cyclin_E1-M-V	-0.0780454097499999
Cyclin_E2-R-C	-0.29943442075
DJ-1-R-E	-0.01901222025
Dvl3-R-V	0.10018748375
E-Cadherin-R-V	1.19785274025
eEF2-R-C	-0.27246109125
eEF2K-R-V	-0.45594153175
EGFR-R-V	0.24769761325
EGFR_pY1068-R-C	-0.0219266252500002
EGFR_pY1173-R-V	0.05094123075
eIF4E-R-V	-0.09343880375
eIF4G-R-C	-0.20922031025
ER-alpha-R-V	0.12558290675
ER-alpha_pS118-R-V	-0.08495231575
ERCC1-M-V	0.13959209725
ERK2-R-E	0.0614239577499999
ETS-1-R-V	-0.02569216825
FASN-R-V	-0.08527191075
Fibronectin-R-V	1.72598771225
FoxM1-R-V	-0.30215365075
FOXO3a-R-C	0.12205126675
FOXO3a_pS318_S321-R-C	-0.00589897424999991
G6PD-M-V	-0.12340514975
GAB2-R-V	-0.14323515925
GAPDH-M-C	-0.32237990925
GATA3-M-V	0.39404621775
GSK3-alpha-beta-M-V	-0.25075448375
GSK3-alpha-beta_pS21_S9-R-V	0.08876366825
GSK3_pS9-R-V	0.000609308249999996
HER2-M-V	0.0875485377500001
HER2_pY1248-R-C	0.01439101725
HER3-R-V	-0.01831456025
HER3_pY1289-R-C	-0.00237761274999998
Heregulin-R-V	-0.09447397675
HSP70-R-C	0.50011266125
IGFBP2-R-V	0.58465833575
INPP4B-R-V	0.0800393072500002
IRS1-R-V	0.25399478125
JAB1-M-C	-0.0843139452500002
JNK_pT183_pY185-R-V	0.02018747625
JNK2-R-C	0.10939087325
Ku80-R-C	-0.50735436775
Lck-R-V	-0.38306835725
LKB1-M-E	0.13469412525
MAPK_pT202_Y204-R-V	-0.0714412257499999
MEK1-R-V	0.33003681875
MEK1_pS217_S221-R-V	0.08178790725
MIG-6-M-V	-0.00879166124999997
Mre11-R-C	0.0608128192500001
MSH2-M-V	-0.72602903725
MSH6-R-C	-0.97567586125
mTOR-R-V	-0.22253647925
mTOR_pS2448-R-C	-0.14923937025
MYH11-R-V	1.01424490125
Myosin-IIa_pS1943-R-V	0.00649016325000001
N-Cadherin-R-V	-0.01882007025
N-Ras-M-V	-0.05865871225
NDRG1_pT346-R-V	0.47927446675
NF-kB-p65_pS536-R-C	0.45700602875
NF2-R-C	-0.18613056825
Notch1-R-V	0.16727978525
P-Cadherin-R-C	-0.13179445325
p21-R-V	-0.16266320325
p27-R-V	0.0103945137500001
p27_pT157-R-C	-0.09347045675
