Sample REF	DE37C80C-2695-401B-ADF1-F7FB05A71AED
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.035051693
14-3-3_epsilon-M-C	-0.01309823
14-3-3_zeta-R-V	0.1273994185
4E-BP1-R-V	-0.163535737
4E-BP1_pS65-R-V	-0.127658044
4E-BP1_pT37_T46-R-V	0.306933942
4E-BP1_pT70-R-V	-0.180064428
53BP1-R-E	0.0107605275
A-Raf_pS299-R-C	0.0322667135000001
ACC_pS79-R-V	0.1539976665
ACC1-R-E	0.447549468
Acetyl-a-Tubulin-Lys40-R-C	-0.8346195305
ACVRL1-R-C	-0.1380865935
ADAR1-M-V	0.372606223
Akt-R-V	0.070466927
Akt_pS473-R-V	0.2496638645
Akt_pT308-R-V	-0.10069176
alpha-Catenin-M-V	0.0473174105000001
AMPK_alpha-R-C	0.067771886
AMPK_pT172-R-V	-0.034032461
Annexin-1-M-E	0.0782450455000001
Annexin_VII-M-V	0.155133406
AR-R-V	0.2924232575
DIRAS3-M-E	0.01890419
ASNS-R-V	-0.1704581985
ATM-R-E	0.3553093035
B-Raf-M-C	-0.0202210135
Bad_pS112-R-V	0.0687620360000001
Bak-R-C	0.0678008015000001
Bap1-c-4-M-E	-0.169767669
Bax-R-V	0.0579338030000001
Bcl-2-M-V	0.2537221625
Bcl-xL-R-V	-0.1746169505
Beclin-G-C	0.146126063
beta-Catenin-R-V	-0.169447624
Bid-R-C	-0.3052519345
Bim-R-V	0.1750965885
c-Jun_pS73-R-V	-0.0747917775
c-Kit-R-V	0.399311025
c-Met-M-E	0.0208607965
c-Met_pY1235-R-V	-0.00966034399999996
c-Myc-R-C	-0.0832067329999999
C-Raf-R-V	-0.184024248
C-Raf_pS338-R-V	-0.273411282
Caspase-7_cleavedD198-R-C	0.6799610115
Caspase-8-M-E	-0.010860314
Caveolin-1-R-V	0.3894114935
CD20-R-C	0.2782606575
CD31-M-V	-0.0569603185
CD49b-M-V	-0.0946597255000001
CDK1-R-V	-0.0188866505
Chk1-M-C	-0.207353965
Chk1_pS345-R-C	0.0546966830000001
Chk2-M-E	0.0395447690000001
Chk2_pT68-R-C	-0.100160003
cIAP-R-V	-0.019874616
Claudin-7-R-V	-0.0850751835
Collagen_VI-R-V	0.091653396
Cyclin_B1-R-V	-0.0760994405000001
Cyclin_D1-R-V	-0.445095411
Cyclin_E1-M-V	-0.00427121949999995
Cyclin_E2-R-C	0.1416088625
DJ-1-R-E	0.076766273
Dvl3-R-V	-0.117260734
E-Cadherin-R-V	-0.0283416875
eEF2-R-C	0.273178305
eEF2K-R-V	0.0348312445000001
EGFR-R-V	-0.00903407649999996
EGFR_pY1068-R-C	-0.112767772
EGFR_pY1173-R-V	-0.032906882
eIF4E-R-V	-0.0241358044999999
eIF4G-R-C	-0.200680806
ER-alpha-R-V	0.064730743
ER-alpha_pS118-R-V	0.1122334745
ERCC1-M-V	0.0302527865
ERK2-R-E	-0.148130829
ETS-1-R-V	0.103532045
FASN-R-V	-0.1774375855
Fibronectin-R-V	-1.1687150305
FoxM1-R-V	-0.0686218905
FOXO3a-R-C	0.0693758180000001
FOXO3a_pS318_S321-R-C	-0.0333590909999999
G6PD-M-V	-0.0133201604999999
GAB2-R-V	-0.049144474
GAPDH-M-C	0.296319754
