Sample REF	E0852126-F345-486D-A274-03A3D0F2941E
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.0188490345000001
14-3-3_epsilon-M-C	0.00466765350000009
14-3-3_zeta-R-V	-0.259930598
4E-BP1-R-V	-0.0623338065
4E-BP1_pS65-R-V	0.0768591915
4E-BP1_pT37_T46-R-V	0.1009607235
4E-BP1_pT70-R-V	0.0372893324999999
53BP1-R-E	-0.136738705
A-Raf_pS299-R-C	-0.0813784129999999
ACC_pS79-R-V	-0.244932981
ACC1-R-E	-0.2497437405
Acetyl-a-Tubulin-Lys40-R-C	-0.019250354
ACVRL1-R-C	0.038311362
ADAR1-M-V	-0.0363181485
Akt-R-V	0.2380771525
Akt_pS473-R-V	0.187323302
Akt_pT308-R-V	0.2238062625
alpha-Catenin-M-V	-0.065783253
AMPK_alpha-R-C	0.0441303355
AMPK_pT172-R-V	-0.1384733755
Annexin-1-M-E	0.173416816
Annexin_VII-M-V	-0.0756714944999999
AR-R-V	-0.227900486
DIRAS3-M-E	0.0574466245
ASNS-R-V	0.271381594
ATM-R-E	-0.320755609
B-Raf-M-C	-0.052839354
Bad_pS112-R-V	-0.0125431595
Bak-R-C	-0.040937255
Bap1-c-4-M-E	-0.1387512605
Bax-R-V	-0.4081278095
Bcl-2-M-V	0.0974153870000001
Bcl-xL-R-V	-0.462258392
Beclin-G-C	-0.0405552255
beta-Catenin-R-V	-0.00905852549999997
Bid-R-C	0.106883271
Bim-R-V	-0.196702342
c-Jun_pS73-R-V	0.0389046449999999
c-Kit-R-V	-0.5750508235
c-Met-M-E	0.413795365
c-Met_pY1235-R-V	0.0157549735
c-Myc-R-C	0.4073277925
C-Raf-R-V	-0.2517275085
C-Raf_pS338-R-V	0.1632672945
Caspase-7_cleavedD198-R-C	1.077603736
Caspase-8-M-E	0.4602791715
Caveolin-1-R-V	0.394879402
CD20-R-C	-0.09168385
CD31-M-V	-0.048412801
CD49b-M-V	-0.0713933210000002
CDK1-R-V	0.204883224
Chk1-M-C	-0.4170054945
Chk1_pS345-R-C	-0.0704996545
Chk2-M-E	-0.6851700685
Chk2_pT68-R-C	-0.00782701150000004
cIAP-R-V	-0.0377808595
Claudin-7-R-V	0.122685108
Collagen_VI-R-V	0.0200532385
Cyclin_B1-R-V	-0.766824046
Cyclin_D1-R-V	-0.2005329555
Cyclin_E1-M-V	-0.060976236
Cyclin_E2-R-C	-0.189242155
