Sample REF	E1DED44D-5E9B-483A-88CB-4E2B45C9F5EF
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.170387329
14-3-3_epsilon-M-C	0.303733531
14-3-3_zeta-R-V	-0.0471247554999999
4E-BP1-R-V	-0.123297138
4E-BP1_pS65-R-V	-0.0234475040000001
4E-BP1_pT37_T46-R-V	0.047989664
4E-BP1_pT70-R-V	-0.172355026
53BP1-R-E	0.2244094305
A-Raf_pS299-R-C	0.0567745365
ACC_pS79-R-V	-0.2647762595
ACC1-R-E	-0.330379131
Acetyl-a-Tubulin-Lys40-R-C	0.1220465865
ACVRL1-R-C	0.1115607225
ADAR1-M-V	-0.070609402
Akt-R-V	0.038887203
Akt_pS473-R-V	0.3017740115
Akt_pT308-R-V	-0.026189551
alpha-Catenin-M-V	-0.1094396345
AMPK_alpha-R-C	-0.0969457490000001
AMPK_pT172-R-V	-0.215226615
Annexin-1-M-E	0.2970648725
Annexin_VII-M-V	0.259612444
AR-R-V	-0.0245022455
DIRAS3-M-E	0.0991166359999999
ASNS-R-V	0.0751937655
ATM-R-E	0.6841110345
B-Raf-M-C	-0.1725994375
Bad_pS112-R-V	0.171714169
Bak-R-C	0.1648054155
Bap1-c-4-M-E	-0.046825926
Bax-R-V	-0.088001573
Bcl-2-M-V	0.3395449825
Bcl-xL-R-V	-0.1463291625
Beclin-G-C	-0.00168054000000006
beta-Catenin-R-V	-0.722684586
Bid-R-C	-0.1548394945
Bim-R-V	-0.0523415315
c-Jun_pS73-R-V	0.0312258164999999
c-Kit-R-V	1.493182975
c-Met-M-E	-0.0711794515
c-Met_pY1235-R-V	-0.073465512
c-Myc-R-C	-0.152396825
C-Raf-R-V	-0.0361239759999999
C-Raf_pS338-R-V	-0.076917411
Caspase-7_cleavedD198-R-C	0.0881239755
Caspase-8-M-E	0.032265101
Caveolin-1-R-V	0.0327802645
CD20-R-C	0.0393190985
CD31-M-V	0.2000133935
CD49b-M-V	-0.1103532105
CDK1-R-V	-0.1008674195
Chk1-M-C	-0.096056982
Chk1_pS345-R-C	0.104201147
Chk2-M-E	0.3592569
Chk2_pT68-R-C	-0.052955735
cIAP-R-V	0.024888274
Claudin-7-R-V	-0.6627596235
Collagen_VI-R-V	-0.135795262
Cyclin_B1-R-V	-0.3427540895
Cyclin_D1-R-V	0.122667569
Cyclin_E1-M-V	-0.0599383805
Cyclin_E2-R-C	0.2549684635
DJ-1-R-E	0.070919165
Dvl3-R-V	-0.131446984
E-Cadherin-R-V	-1.5218369075
eEF2-R-C	-0.113900992
eEF2K-R-V	0.1725381635
EGFR-R-V	-0.000306528500000014
EGFR_pY1068-R-C	0.120191563
EGFR_pY1173-R-V	-0.069746169
eIF4E-R-V	-0.00867451950000001
eIF4G-R-C	-0.202726591
ER-alpha-R-V	0.13083023
ER-alpha_pS118-R-V	0.0663687274999999
ERCC1-M-V	-0.0371253585
ERK2-R-E	0.0771918649999999
ETS-1-R-V	-0.0338110580000001
FASN-R-V	-0.4313820915
Fibronectin-R-V	-0.9680791135
FoxM1-R-V	-0.3092546975
FOXO3a-R-C	0.0597938619999999
FOXO3a_pS318_S321-R-C	0.168337099
G6PD-M-V	0.2968318055
GAB2-R-V	0.535941123
GAPDH-M-C	0.0660853729999998
GATA3-M-V	0.141949505
GSK3-alpha-beta-M-V	-0.1413681695
GSK3-alpha-beta_pS21_S9-R-V	0.1867720275
GSK3_pS9-R-V	0.1710115995
HER2-M-V	-0.00144568899999997
HER2_pY1248-R-C	-0.0231198925
HER3-R-V	-0.172364572
HER3_pY1289-R-C	-0.1743535895
Heregulin-R-V	-0.2367357395
HSP70-R-C	0.1882316035
IGFBP2-R-V	-0.0680127150000001
INPP4B-R-V	0.1069109875
IRS1-R-V	-0.1372239775
JAB1-M-C	0.110853953
JNK_pT183_pY185-R-V	-0.0200348895
JNK2-R-C	0.2651321075
Ku80-R-C	-0.1085932985
Lck-R-V	0.66897576
LKB1-M-E	-0.0678699635
MAPK_pT202_Y204-R-V	0.3712351265
MEK1-R-V	0.637448029
MEK1_pS217_S221-R-V	0.00420639949999996
MIG-6-M-V	-0.042924539
Mre11-R-C	-0.0222860965
MSH2-M-V	-0.165649405
MSH6-R-C	-0.321242231
mTOR-R-V	0.0461154619999999
mTOR_pS2448-R-C	0.415534685
MYH11-R-V	-0.0836116375
Myosin-IIa_pS1943-R-V	0.0481183585
N-Cadherin-R-V	-0.023821487
N-Ras-M-V	-0.0246104750000001
NDRG1_pT346-R-V	1.359380853
NF-kB-p65_pS536-R-C	0.145842456
NF2-R-C	-0.183464456
Notch1-R-V	-0.0556980215
P-Cadherin-R-C	-0.038595915
p21-R-V	0.123773101
p27-R-V	0.288973666
p27_pT157-R-C	-0.00355092250000011
p27_pT198-R-V	0.042360062
p38_MAPK-R-V	0.302747943
p38_pT180_Y182-R-V	0.553081554
p53-R-E	0.1081450935
p62-LCK-ligand-M-C	0.164480737
p70S6K-R-V	0.059983017
p70S6K_pT389-R-V	0.0613610515
p90RSK-R-C	0.1575759575
p90RSK_pT359_S363-R-C	0.00845955450000002
PAI-1-M-E	-0.219891805
PARP_cleaved-M-E	-0.1219050875
PARP1-R-V	-0.0949674970000002
Paxillin-R-C	-0.149283853
PCNA-M-C	-0.186435968
PDCD4-R-C	0.674963439
