Sample REF	E388F25B-F198-4B2F-886A-554907AB96F1
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.03421491525
14-3-3_epsilon-M-C	0.00747340575000011
14-3-3_zeta-R-V	-0.19353855475
4E-BP1-R-V	0.09014529675
4E-BP1_pS65-R-V	0.06179080375
4E-BP1_pT37_T46-R-V	-0.03445717725
4E-BP1_pT70-R-V	0.17160905175
53BP1-R-E	-0.21251001975
A-Raf_pS299-R-C	-0.15975300675
ACC_pS79-R-V	0.25162207325
ACC1-R-E	0.39371593575
Acetyl-a-Tubulin-Lys40-R-C	0.20552942025
ACVRL1-R-C	0.0774807232500001
ADAR1-M-V	-0.10557861325
Akt-R-V	-0.13723717525
Akt_pS473-R-V	-0.44651432075
Akt_pT308-R-V	0.01750158375
alpha-Catenin-M-V	0.09228339325
AMPK_alpha-R-C	-0.01668019725
AMPK_pT172-R-V	-0.32978405825
Annexin-1-M-E	-0.12971359575
Annexin_VII-M-V	0.20423250875
AR-R-V	-0.16039313375
DIRAS3-M-E	0.0431146747500002
ASNS-R-V	0.21742454425
ATM-R-E	0.0763264232499999
B-Raf-M-C	0.29368184525
Bad_pS112-R-V	-0.01761416225
Bak-R-C	-0.10970089375
Bap1-c-4-M-E	0.11528895275
Bax-R-V	-0.06623847225
Bcl-2-M-V	-0.13542925375
Bcl-xL-R-V	-0.13522630175
Beclin-G-C	-0.17462390625
beta-Catenin-R-V	0.90959533475
Bid-R-C	0.06023828325
Bim-R-V	-0.27137524175
c-Jun_pS73-R-V	-0.12576569275
c-Kit-R-V	0.40193640075
c-Met-M-E	-0.18006263575
c-Met_pY1235-R-V	0.000963826750000008
c-Myc-R-C	-0.06157930425
C-Raf-R-V	0.0831011217500001
C-Raf_pS338-R-V	0.03174472775
Caspase-7_cleavedD198-R-C	-0.55846506575
Caspase-8-M-E	-0.26499813325
Caveolin-1-R-V	-0.63210762475
CD20-R-C	-0.00745308474999995
CD31-M-V	-0.02285537975
CD49b-M-V	-0.19717415875
CDK1-R-V	0.07103769725
Chk1-M-C	0.20288877875
Chk1_pS345-R-C	-0.14851896325
Chk2-M-E	-0.25582247125
Chk2_pT68-R-C	-0.07600291725
cIAP-R-V	0.13551684875
Claudin-7-R-V	0.77908783325
Collagen_VI-R-V	0.00645191675000006
Cyclin_B1-R-V	-0.27556052875
Cyclin_D1-R-V	0.11289185775
Cyclin_E1-M-V	0.31065854725
Cyclin_E2-R-C	-0.000376272750000017
DJ-1-R-E	-0.15793864025
Dvl3-R-V	-0.01604666125
E-Cadherin-R-V	-0.21533845775
eEF2-R-C	-0.05167345125
eEF2K-R-V	-0.13799805975
EGFR-R-V	0.26136292925
EGFR_pY1068-R-C	-0.13731017225
EGFR_pY1173-R-V	-0.04259907625
eIF4E-R-V	0.14048635825
eIF4G-R-C	0.55649313875
ER-alpha-R-V	0.08423080975
ER-alpha_pS118-R-V	-0.04401224775
ERCC1-M-V	0.01171959025
ERK2-R-E	0.15116459575
ETS-1-R-V	-0.11337901825
FASN-R-V	0.97656283525
Fibronectin-R-V	1.41374680525
FoxM1-R-V	-0.01268539075
FOXO3a-R-C	0.0288762997500001
FOXO3a_pS318_S321-R-C	0.0764775967500001
G6PD-M-V	-0.03793196975
GAB2-R-V	0.61593760375
GAPDH-M-C	-0.21338051025
GATA3-M-V	1.37125160375
GSK3-alpha-beta-M-V	0.0376548902500001
GSK3-alpha-beta_pS21_S9-R-V	0.12811407425
GSK3_pS9-R-V	0.47031851825
HER2-M-V	0.54016808175
HER2_pY1248-R-C	0.04547921725
HER3-R-V	-0.01807777325
HER3_pY1289-R-C	0.10328964025
Heregulin-R-V	0.11238254325
HSP70-R-C	0.13048745925
IGFBP2-R-V	-0.02092141925
INPP4B-R-V	-0.25506737275
IRS1-R-V	0.30933896125
JAB1-M-C	0.00384587974999984
JNK_pT183_pY185-R-V	0.20020201725
JNK2-R-C	-0.09125567575
Ku80-R-C	-0.46044763675
Lck-R-V	-0.39523311425
LKB1-M-E	0.10117310325
MAPK_pT202_Y204-R-V	-0.24175167075
MEK1-R-V	-0.03839676525
MEK1_pS217_S221-R-V	0.05887476725
MIG-6-M-V	0.03895513975
Mre11-R-C	-0.0260613897499999
MSH2-M-V	0.38455353275
MSH6-R-C	0.41305626375
mTOR-R-V	-0.18925334625
mTOR_pS2448-R-C	-0.37384735825
MYH11-R-V	-1.49777539975
Myosin-IIa_pS1943-R-V	0.05622684925
N-Cadherin-R-V	0.58781925275
N-Ras-M-V	0.0744432887499999
NDRG1_pT346-R-V	-0.0541354352499999
NF-kB-p65_pS536-R-C	0.09713648875
NF2-R-C	-0.40585856425
Notch1-R-V	-0.14458845975
P-Cadherin-R-C	-0.37477558625
p21-R-V	0.06880575175
p27-R-V	-0.26353312225
p27_pT157-R-C	0.08872945025
p27_pT198-R-V	0.02929172775
p38_MAPK-R-V	-0.14802408125
p38_pT180_Y182-R-V	0.17175597275
p53-R-E	-0.0146626197499999
p62-LCK-ligand-M-C	0.00857539875000002
p70S6K-R-V	0.000376272750000017
p70S6K_pT389-R-V	-0.0480245147499999
p90RSK-R-C	0.05104053325
p90RSK_pT359_S363-R-C	0.0615493772500002
PAI-1-M-E	-0.02330353025
PARP_cleaved-M-E	-0.21699809075
PARP1-R-V	-0.76626425725
Paxillin-R-C	-0.0115750852500001
PCNA-M-C	0.28839505275
PDCD4-R-C	-0.16141180725
PDK1-R-V	0.20243909775
PDK1_pS241-R-V	0.27482016025
PEA15-R-V	-0.15125804625
PEA15_pS116-R-V	-0.20307024675
PI3K-p110-alpha-R-C	-0.0100539667499999
PI3K-p85-R-V	-0.22459390275
PKC-alpha-M-V	-0.77473465525
PKC-alpha_pS657-R-C	-0.60235189175
PKC-delta_pS664-R-V	0.24743608725
PKC-pan_BetaII_pS660-R-V	0.20582499025
PR-R-V	-0.00308025624999997
PRAS40_pT246-R-V	0.14994516925
