Sample REF	E446E40A-C2A2-4DBC-BCC3-92065DE540C8
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.0705990942499998
14-3-3_epsilon-M-C	0.0760114277500002
14-3-3_zeta-R-V	-0.11171436175
4E-BP1-R-V	-0.15144863125
4E-BP1_pS65-R-V	-0.0950535612499999
4E-BP1_pT37_T46-R-V	-0.0602264002499999
4E-BP1_pT70-R-V	-0.21808494725
53BP1-R-E	0.35740915625
A-Raf_pS299-R-C	-0.0816429657499999
ACC_pS79-R-V	0.15176653125
ACC1-R-E	0.0950382547500002
Acetyl-a-Tubulin-Lys40-R-C	-0.13021700675
ACVRL1-R-C	-0.0991893517499999
ADAR1-M-V	0.16435075075
Akt-R-V	0.18205581075
Akt_pS473-R-V	0.17614528625
Akt_pT308-R-V	-0.0523032172499999
alpha-Catenin-M-V	-0.14485931775
AMPK_alpha-R-C	0.0957845937500001
AMPK_pT172-R-V	-0.11465109525
Annexin-1-M-E	0.0051331352500002
Annexin_VII-M-V	0.20074656375
AR-R-V	0.30563690825
DIRAS3-M-E	-0.00478841024999971
ASNS-R-V	-0.19709047175
ATM-R-E	0.34485492425
B-Raf-M-C	0.23084008525
Bad_pS112-R-V	0.0717183137500001
Bak-R-C	0.0414055442500001
Bap1-c-4-M-E	0.000739111750000132
Bax-R-V	-0.0411141062499999
Bcl-2-M-V	0.0938065882500002
Bcl-xL-R-V	-0.24175271075
Beclin-G-C	0.0107006207500001
beta-Catenin-R-V	-0.11476141825
Bid-R-C	-0.0491324137499999
Bim-R-V	-0.0281314787499999
c-Jun_pS73-R-V	-0.0281694887499999
c-Kit-R-V	2.04121872475
c-Met-M-E	-0.00362041674999997
c-Met_pY1235-R-V	0.0135121757500001
c-Myc-R-C	-0.12976864925
C-Raf-R-V	0.33288868775
C-Raf_pS338-R-V	0.0430449047500001
Caspase-7_cleavedD198-R-C	0.77343304325
Caspase-8-M-E	0.0796581747500001
Caveolin-1-R-V	0.31086118125
CD20-R-C	0.10794845725
CD31-M-V	-0.0155220687499999
CD49b-M-V	-0.0425358477499999
CDK1-R-V	-0.0705253277499999
Chk1-M-C	-0.13248378325
Chk1_pS345-R-C	0.29147818075
Chk2-M-E	-0.15736816925
Chk2_pT68-R-C	-0.13750572725
cIAP-R-V	0.11873904075
Claudin-7-R-V	-0.14742364975
Collagen_VI-R-V	0.17513628275
Cyclin_B1-R-V	-0.0293471437500001
Cyclin_D1-R-V	-0.26396744125
Cyclin_E1-M-V	-0.0981019327499998
Cyclin_E2-R-C	0.24633536525
DJ-1-R-E	0.19703717875
Dvl3-R-V	-0.0257384742499999
E-Cadherin-R-V	-0.79796702875
eEF2-R-C	0.18588142275
eEF2K-R-V	0.59925792325
EGFR-R-V	-0.11210310375
EGFR_pY1068-R-C	-0.0072688522499999
EGFR_pY1173-R-V	-0.0037117882499999
eIF4E-R-V	0.00191881625000018
eIF4G-R-C	0.0197031177500001
ER-alpha-R-V	0.0511397027500001
ER-alpha_pS118-R-V	0.16600716225
ERCC1-M-V	0.0337342572500002
ERK2-R-E	0.18480085175
ETS-1-R-V	-0.00167330524999992
FASN-R-V	-0.29427585675
Fibronectin-R-V	-0.87363313575
FoxM1-R-V	-0.11000406875
FOXO3a-R-C	-0.0739359702499999
FOXO3a_pS318_S321-R-C	0.0266269327500002
G6PD-M-V	0.11427187425
GAB2-R-V	0.43689838275
GAPDH-M-C	-0.38552212425
GATA3-M-V	-0.09033698025
GSK3-alpha-beta-M-V	0.12776602425
GSK3-alpha-beta_pS21_S9-R-V	0.37434937525
GSK3_pS9-R-V	0.30375680025
HER2-M-V	-0.30304035825
HER2_pY1248-R-C	-0.23644223275
HER3-R-V	0.00414361575000011
HER3_pY1289-R-C	-0.0315898297499999
Heregulin-R-V	-0.0992821287499999
HSP70-R-C	-0.55761154375
IGFBP2-R-V	-0.18536856925
INPP4B-R-V	-0.0601262587499997
IRS1-R-V	-0.15907058475
JAB1-M-C	-0.0551204382499998
JNK_pT183_pY185-R-V	-0.10277138875
JNK2-R-C	0.12398197725
Ku80-R-C	0.45374359225
Lck-R-V	0.48109946075
LKB1-M-E	-0.0771099297499999
MAPK_pT202_Y204-R-V	-0.0607825907499999
MEK1-R-V	0.13031659275
MEK1_pS217_S221-R-V	-0.0592936737499999
MIG-6-M-V	-0.0468759602499999
Mre11-R-C	-0.0639731697499998
MSH2-M-V	0.30019604075
MSH6-R-C	0.37537857575
mTOR-R-V	0.51256350075
mTOR_pS2448-R-C	0.25317907875
MYH11-R-V	0.88736866225
Myosin-IIa_pS1943-R-V	-0.0310170957499999
N-Cadherin-R-V	-0.18747651825
N-Ras-M-V	0.00966301975000011
NDRG1_pT346-R-V	0.11940965775
NF-kB-p65_pS536-R-C	0.0720725217500001
NF2-R-C	0.18033120175
Notch1-R-V	-0.26544248375
P-Cadherin-R-C	-0.16048558925
p21-R-V	0.29456789175
p27-R-V	0.15891934075
p27_pT157-R-C	0.0349623802500001
p27_pT198-R-V	-0.00455403324999987
p38_MAPK-R-V	-0.00689515624999992
p38_pT180_Y182-R-V	0.0122390447500001
p53-R-E	-0.24976261175
p62-LCK-ligand-M-C	0.0746737007500001
p70S6K-R-V	-0.0395315282499999
p70S6K_pT389-R-V	-0.0176598517499998
p90RSK-R-C	0.0940569422500002
p90RSK_pT359_S363-R-C	-0.18003978175
PAI-1-M-E	-0.57488489525
PARP_cleaved-M-E	-0.000739111750000132
PARP1-R-V	0.11052866975
Paxillin-R-C	-0.15959223725
PCNA-M-C	0.0506379647500001
PDCD4-R-C	0.93483630975
PDK1-R-V	-0.0589694962499999
PDK1_pS241-R-V	-0.11924266675
PEA15-R-V	0.0556073997500001
PEA15_pS116-R-V	-0.0958672657499999
PI3K-p110-alpha-R-C	0.20214998825
PI3K-p85-R-V	0.24028961625
PKC-alpha-M-V	0.35973058075
PKC-alpha_pS657-R-C	0.19436975125
PKC-delta_pS664-R-V	0.0544196032500001
PKC-pan_BetaII_pS660-R-V	0.23637746825
PR-R-V	-0.0252572232499998
PRAS40_pT246-R-V	0.0284016982500001
PRDX1-R-V	0.0417824492500001
PREX1-R-E	0.38305944325
PTEN-R-V	0.0648886637500001
Rab11-R-E	0.11011909225
Rab25-R-V	0.0357995782500003
Rad50-M-V	0.22185525525
Rad51-R-V	-0.28076959725
Raptor-R-V	0.37865752075
Rb-M-E	0.00203823025000005
Rb_pS807_S811-R-V	-0.11376706175
RBM15-R-V	0.0401891212500002
Rictor-R-C	0.0347710467500001
Rictor_pT1135-R-V	0.15619630375
S6-R-E	-0.0268332077499999
S6_pS235_S236-R-V	0.05015136875
S6_pS240_S244-R-V	-0.0309030357499999
SCD-M-V	0.04990566925
SETD2-R-E	-0.14313481875
SF2-M-V	0.24851958575
Shc_pY317-R-E	-0.0296063022500001
Smac-M-E	0.04138632625
Smad1-R-V	-0.0828224967499999
Smad3-R-V	-0.0388639877499998
Smad4-M-V	-0.0334926887499999
Snail-M-E	0.22140560025
Src-M-V	-0.0233060937499999
Src_pY416-R-C	0.66690220525
Src_pY527-R-V	0.37240463475
STAT3_pY705-R-V	0.22630833175
STAT5-alpha-R-V	0.40064179825
Stathmin-R-V	-0.0409325617499999
Syk-M-V	0.17314575225
TAZ-R-V	-0.20325829875
TFRC-R-V	-0.0631948107499999
TIGAR-R-V	-0.16807188475
Transglutaminase-M-V	-0.0783290862499999
TSC1-R-C	-0.06826209625
TTF1-R-V	-0.10789598875
Tuberin-R-E	0.14866991375
Tuberin_pT1462-R-V	0.33679943575
VEGFR2-R-V	-0.0730839022499999
EPPK1-M-E	-0.49758500825
XBP1-G-C	-0.0174164137499999
XRCC1-R-E	0.15379335825
YAP-R-E	-0.20530587725
YAP_pS127-R-E	-0.40205598025
YB-1-R-V	-0.10092648475
YB-1_pS102-R-V	-0.0237039677499999
A-Raf-R-V	0.22580131525
ARID1A-R-C	-0.0498813622499998
B-Raf_pS445-R-V	0.13682973225
Bcl2A1-R-V	-0.15889318025
BRD4-R-V	0.29030373575
c-Abl-R-V	0.11596192925
Caspase-3-R-C	-0.03129882725
CD26-R-V	-0.0475831377499999
Chk1_pS296-R-V	-0.0752244157499999
COG3-R-V	0.0134107512500001
DUSP4-R-V	-0.25281244225
ERCC5-R-C	0.11924619675
IGF1R_pY1135_Y1136-R-V	-0.07432811925
IRF-1-R-C	0.20450929425
Jak2-R-V	0.0902362112500001
p16_INK4a-R-V	-0.41635623075
SHP-2_pY542-R-C	-0.0234006077500001
CDK1_pY15-R-C	0.0963093577500002
