Sample REF	E6148D0A-62B4-45F2-AE2D-D127446E22A8
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.1393904955
14-3-3_epsilon-M-C	-0.0436314714999999
14-3-3_zeta-R-V	0.00334246800000006
4E-BP1-R-V	0.2159621625
4E-BP1_pS65-R-V	0.0769990035
4E-BP1_pT37_T46-R-V	0.0630461245
4E-BP1_pT70-R-V	0.0991816735
53BP1-R-E	-0.324832395
A-Raf_pS299-R-C	-0.105225819
ACC_pS79-R-V	0.436982159
ACC1-R-E	0.7108730885
Acetyl-a-Tubulin-Lys40-R-C	0.045436116
ACVRL1-R-C	0.269948498
ADAR1-M-V	-0.00637733849999998
Akt-R-V	-0.1887358025
Akt_pS473-R-V	-0.0178235200000001
Akt_pT308-R-V	0.0859276765
alpha-Catenin-M-V	0.044213093
AMPK_alpha-R-C	0.0624242275
AMPK_pT172-R-V	0.2654789385
Annexin-1-M-E	-0.136585473
Annexin_VII-M-V	-0.2134625625
AR-R-V	-0.005699893
DIRAS3-M-E	0.0438512375000002
ASNS-R-V	0.351998826
ATM-R-E	-0.429188067
B-Raf-M-C	-0.168751277
Bad_pS112-R-V	0.0442770825
Bak-R-C	0.00457528200000014
Bap1-c-4-M-E	0.0575140395
Bax-R-V	0.00882287950000006
Bcl-2-M-V	-0.154198221
Bcl-xL-R-V	-0.535586534
Beclin-G-C	-0.1709272815
beta-Catenin-R-V	0.3304789235
Bid-R-C	0.0142831689999999
Bim-R-V	-0.237418084
c-Jun_pS73-R-V	-0.096239111
c-Kit-R-V	-0.8406865795
c-Met-M-E	-0.1131262
c-Met_pY1235-R-V	0.0755502685
c-Myc-R-C	0.1785760175
C-Raf-R-V	0.2338033715
C-Raf_pS338-R-V	-0.0032336945
Caspase-7_cleavedD198-R-C	-0.679831842
Caspase-8-M-E	-0.0136856415
Caveolin-1-R-V	-0.775820575
CD20-R-C	0.130102628
CD31-M-V	-0.0775192359999999
CD49b-M-V	-0.0497964370000001
CDK1-R-V	0.178872245
Chk1-M-C	0.1260687925
Chk1_pS345-R-C	-0.0884151295
Chk2-M-E	-0.1222775545
Chk2_pT68-R-C	0.1092778965
cIAP-R-V	-0.0377845055
Claudin-7-R-V	0.60688162
Collagen_VI-R-V	-0.1649729335
Cyclin_B1-R-V	0.398643731
Cyclin_D1-R-V	-0.1036549855
Cyclin_E1-M-V	0.213781857
Cyclin_E2-R-C	0.145371171
DJ-1-R-E	-0.1090126855
Dvl3-R-V	0.1013303005
E-Cadherin-R-V	1.028158768
eEF2-R-C	-0.1917992405
eEF2K-R-V	-0.400817843
EGFR-R-V	-0.077613774
EGFR_pY1068-R-C	-0.0430241175000001
EGFR_pY1173-R-V	0.0428470035
eIF4E-R-V	-0.049317609
eIF4G-R-C	0.4307397855
ER-alpha-R-V	-0.00351658750000004
ER-alpha_pS118-R-V	0.064724393
ERCC1-M-V	-0.043118776
ERK2-R-E	-0.3265101665
ETS-1-R-V	-0.0751045695
FASN-R-V	0.579378723
Fibronectin-R-V	0.699119099
FoxM1-R-V	0.50514791
FOXO3a-R-C	0.0666497485
FOXO3a_pS318_S321-R-C	-0.1287842465
G6PD-M-V	-0.103388888
GAB2-R-V	-0.5122587145
GAPDH-M-C	0.5892110145
GATA3-M-V	-0.1647772435
GSK3-alpha-beta-M-V	-0.081967879
GSK3-alpha-beta_pS21_S9-R-V	-0.23418571
GSK3_pS9-R-V	-0.00107741800000004
HER2-M-V	0.2639458475
HER2_pY1248-R-C	0.30142387
HER3-R-V	0.1142515005
HER3_pY1289-R-C	0.044450754
Heregulin-R-V	-0.024272594
