Sample REF	EA35517F-13EE-4F9D-99FF-F6DF99B33664
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.0297569035
14-3-3_epsilon-M-C	0.0897651845
14-3-3_zeta-R-V	-0.0551039999999999
4E-BP1-R-V	0.0111392745000001
4E-BP1_pS65-R-V	-0.1580013895
4E-BP1_pT37_T46-R-V	-0.3545535675
4E-BP1_pT70-R-V	-0.2479298965
53BP1-R-E	0.419523793
A-Raf_pS299-R-C	0.017616769
ACC_pS79-R-V	0.144535329
ACC1-R-E	0.3182734015
Acetyl-a-Tubulin-Lys40-R-C	-0.858190144
ACVRL1-R-C	-0.148523296
ADAR1-M-V	-0.00303890249999994
Akt-R-V	0.0395818395
Akt_pS473-R-V	-0.098824748
Akt_pT308-R-V	-0.0408436074999999
alpha-Catenin-M-V	0.014095261
AMPK_alpha-R-C	-0.000329342499999941
AMPK_pT172-R-V	-0.3070942055
Annexin-1-M-E	0.00710153200000008
Annexin_VII-M-V	0.2831081995
AR-R-V	0.084269944
DIRAS3-M-E	0.0826924645
ASNS-R-V	-0.0520776319999999
ATM-R-E	-0.00281497199999992
B-Raf-M-C	0.5596412
Bad_pS112-R-V	0.0894955615
Bak-R-C	-0.0524015919999998
Bap1-c-4-M-E	-0.0108112914999999
Bax-R-V	0.3547036775
Bcl-2-M-V	-0.154022977
Bcl-xL-R-V	0.336665587
Beclin-G-C	0.2234197485
beta-Catenin-R-V	-0.2024638965
Bid-R-C	-0.04293154
Bim-R-V	-0.086119171
c-Jun_pS73-R-V	-0.203713533
c-Kit-R-V	0.2401694475
c-Met-M-E	-0.0360023979999999
c-Met_pY1235-R-V	0.00884154050000005
c-Myc-R-C	-0.1833761245
C-Raf-R-V	0.1131415785
C-Raf_pS338-R-V	-0.0845898425
Caspase-7_cleavedD198-R-C	-1.071667081
Caspase-8-M-E	-0.0411575335
Caveolin-1-R-V	1.092860088
CD20-R-C	-0.100561054
CD31-M-V	-0.0366344969999999
CD49b-M-V	-0.03647321
CDK1-R-V	-0.148252338
Chk1-M-C	0.4723530265
Chk1_pS345-R-C	-0.0893861674999999
Chk2-M-E	-0.1275126145
Chk2_pT68-R-C	-0.1705571375
cIAP-R-V	0.1404878945
Claudin-7-R-V	-0.0981620719999999
Collagen_VI-R-V	0.1675497035
Cyclin_B1-R-V	-0.151529747
Cyclin_D1-R-V	-0.0618240575
Cyclin_E1-M-V	-0.187025679
Cyclin_E2-R-C	-0.0944181559999999
DJ-1-R-E	-0.0302000725
Dvl3-R-V	0.5584544385
E-Cadherin-R-V	-1.165920686
eEF2-R-C	0.0355638915
eEF2K-R-V	0.394609759
EGFR-R-V	0.261411697
EGFR_pY1068-R-C	0.1404152995
EGFR_pY1173-R-V	-0.0920361645
eIF4E-R-V	0.20810528
eIF4G-R-C	0.00651260050000002
ER-alpha-R-V	0.0203683665000001
ER-alpha_pS118-R-V	-0.144495919
ERCC1-M-V	-0.0237002039999999
ERK2-R-E	-0.1816336775
ETS-1-R-V	-0.0106038945
FASN-R-V	-0.572263051
Fibronectin-R-V	-0.34672306
FoxM1-R-V	-0.124769871
FOXO3a-R-C	-0.1179188335
FOXO3a_pS318_S321-R-C	-0.0579917894999998
G6PD-M-V	-0.021737401
GAB2-R-V	1.5840157465
GAPDH-M-C	0.000329342499999941
GATA3-M-V	-0.0349151745
GSK3-alpha-beta-M-V	0.147379103
GSK3-alpha-beta_pS21_S9-R-V	0.493895386
GSK3_pS9-R-V	0.308956695
HER2-M-V	-0.0407447874999999
HER2_pY1248-R-C	-0.113221916
HER3-R-V	-0.0632506755
HER3_pY1289-R-C	0.010601639
Heregulin-R-V	0.00705550100000005
HSP70-R-C	-0.182020744
IGFBP2-R-V	0.5845336475
INPP4B-R-V	-0.0168380709999998
IRS1-R-V	0.00879575600000004
JAB1-M-C	0.0701502644999998
JNK_pT183_pY185-R-V	0.11667917
JNK2-R-C	0.216724903
Ku80-R-C	0.167868841
Lck-R-V	-0.4041634275
LKB1-M-E	0.0137526000000001
MAPK_pT202_Y204-R-V	0.0178782280000001
MEK1-R-V	0.2511080195
MEK1_pS217_S221-R-V	-0.035316687
MIG-6-M-V	-0.0307268345
Mre11-R-C	0.137106895
MSH2-M-V	0.1643073885
MSH6-R-C	0.2014436695
mTOR-R-V	0.4398135775
mTOR_pS2448-R-C	0.1907041205
MYH11-R-V	1.805167015
Myosin-IIa_pS1943-R-V	-0.0745452339999999
N-Cadherin-R-V	0.0486338145
N-Ras-M-V	0.1295060985
NDRG1_pT346-R-V	0.1432708025
NF-kB-p65_pS536-R-C	-0.1168216675
NF2-R-C	0.0858307404999999
Notch1-R-V	-0.149909093
P-Cadherin-R-C	-0.1664780855
p21-R-V	0.2014045685
p27-R-V	-0.0801751474999999
p27_pT157-R-C	0.101791961
p27_pT198-R-V	-0.0860577955
p38_MAPK-R-V	-0.3019211565
p38_pT180_Y182-R-V	0.3905413365
p53-R-E	-0.0419192749999999
p62-LCK-ligand-M-C	-0.0305647445
p70S6K-R-V	0.0346836825
p70S6K_pT389-R-V	0.169755957
p90RSK-R-C	-0.151470621
p90RSK_pT359_S363-R-C	-0.192003016
PAI-1-M-E	-0.0897442055
PARP_cleaved-M-E	0.0769963189999998
PARP1-R-V	0.6312443305
Paxillin-R-C	-0.3010107085
PCNA-M-C	0.00465259450000005
PDCD4-R-C	0.5612213545
PDK1-R-V	-0.1381642885
PDK1_pS241-R-V	-0.24420656
PEA15-R-V	0.1274083265
PEA15_pS116-R-V	-0.093129726
PI3K-p110-alpha-R-C	0.049327747
PI3K-p85-R-V	-0.163883074
PKC-alpha-M-V	0.2966952375
PKC-alpha_pS657-R-C	0.22068322
PKC-delta_pS664-R-V	-0.078092442
PKC-pan_BetaII_pS660-R-V	-0.096830025
PR-R-V	0.00934139950000001
PRAS40_pT246-R-V	0.16596983
PRDX1-R-V	0.08643711
PREX1-R-E	0.463037516
PTEN-R-V	0.1909074145
Rab11-R-E	-0.0849656499999999
Rab25-R-V	-0.094164817
Rad50-M-V	0.64578091
Rad51-R-V	-0.1242896375
Raptor-R-V	0.5130260025
Rb-M-E	0.00469398700000001
