Sample REF	EA91F496-49D0-447D-809F-C51B60EE1D33
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.0567947209999998
14-3-3_epsilon-M-C	-0.190113888
14-3-3_zeta-R-V	-0.1482738125
4E-BP1-R-V	-0.185289763
4E-BP1_pS65-R-V	-0.146290979
4E-BP1_pT37_T46-R-V	0.11369921
4E-BP1_pT70-R-V	0.00642158900000012
53BP1-R-E	-0.4407808795
A-Raf_pS299-R-C	-0.1403254155
ACC_pS79-R-V	0.1670186135
ACC1-R-E	0.137034634
Acetyl-a-Tubulin-Lys40-R-C	-0.1017673175
ACVRL1-R-C	0.1507619845
ADAR1-M-V	-0.12306028
Akt-R-V	0.10122753
Akt_pS473-R-V	0.2696075655
Akt_pT308-R-V	0.0487867150000001
alpha-Catenin-M-V	-0.0978432654999999
AMPK_alpha-R-C	0.332722501
AMPK_pT172-R-V	0.559850155
Annexin-1-M-E	0.0333930475000002
Annexin_VII-M-V	-0.0627914759999998
AR-R-V	0.0860190805000002
DIRAS3-M-E	-0.0471698919999999
ASNS-R-V	0.0729383165000002
ATM-R-E	0.3431366685
B-Raf-M-C	-0.0836230504999999
Bad_pS112-R-V	0.0379589040000002
Bak-R-C	-0.0446419634999997
Bap1-c-4-M-E	0.0200396990000001
Bax-R-V	-0.148918794
Bcl-2-M-V	0.0798438945000002
Bcl-xL-R-V	0.4047922535
Beclin-G-C	-0.181117011
beta-Catenin-R-V	0.406196383
Bid-R-C	-0.1987365535
Bim-R-V	-0.0776418614999998
c-Jun_pS73-R-V	0.1136898805
c-Kit-R-V	-0.862597459
c-Met-M-E	-0.1041510855
c-Met_pY1235-R-V	-0.107683832
c-Myc-R-C	0.0696142200000002
C-Raf-R-V	0.125188835
C-Raf_pS338-R-V	-0.0375634879999998
Caspase-7_cleavedD198-R-C	-0.4968951375
Caspase-8-M-E	-0.120392007
Caveolin-1-R-V	0.3140881725
CD20-R-C	-0.1469927805
CD31-M-V	-0.0320071414999998
CD49b-M-V	0.0314039915
CDK1-R-V	0.2102414395
Chk1-M-C	-0.0966092159999998
