Sample REF	EB785D40-546B-4667-B0E2-144C2966E0FE
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.2176607675
14-3-3_epsilon-M-C	0.1189420985
14-3-3_zeta-R-V	0.055386691
4E-BP1-R-V	-0.1540501665
4E-BP1_pS65-R-V	-0.0104276135
4E-BP1_pT37_T46-R-V	-0.3369988345
4E-BP1_pT70-R-V	-0.0691206025
53BP1-R-E	-0.100424937
A-Raf_pS299-R-C	-0.11380533
ACC_pS79-R-V	-0.289889912
ACC1-R-E	-0.2572214135
Acetyl-a-Tubulin-Lys40-R-C	-0.488161172
ACVRL1-R-C	0.199299872
ADAR1-M-V	-0.0818583295
Akt-R-V	0.0426701395
Akt_pS473-R-V	0.156512367
Akt_pT308-R-V	0.1008235755
alpha-Catenin-M-V	-0.133122056
AMPK_alpha-R-C	0.0608206045
AMPK_pT172-R-V	-0.0444277374999998
Annexin-1-M-E	0.277241026
Annexin_VII-M-V	0.1938185065
AR-R-V	-0.312780677
DIRAS3-M-E	-0.0255665995
ASNS-R-V	-0.121958793
ATM-R-E	0.319358692
B-Raf-M-C	-0.133649684
Bad_pS112-R-V	-0.1298815185
Bak-R-C	0.118478732
Bap1-c-4-M-E	-0.1277993255
Bax-R-V	0.0254092265
Bcl-2-M-V	0.151276841
Bcl-xL-R-V	0.356000031
Beclin-G-C	0.0260019794999999
beta-Catenin-R-V	-0.1468872745
Bid-R-C	-0.00468840500000001
Bim-R-V	0.124158158
c-Jun_pS73-R-V	-0.117713065
c-Kit-R-V	1.9341088475
c-Met-M-E	-0.122456263
c-Met_pY1235-R-V	-0.1591583375
c-Myc-R-C	-0.0155396545
C-Raf-R-V	0.0631643135000001
C-Raf_pS338-R-V	-0.0343604785
Caspase-7_cleavedD198-R-C	0.661797068
Caspase-8-M-E	0.1518261405
Caveolin-1-R-V	0.567370597
CD20-R-C	-0.073459301
CD31-M-V	0.030488237
CD49b-M-V	-0.0613269670000002
CDK1-R-V	-0.098660987
Chk1-M-C	-0.3222354425
Chk1_pS345-R-C	-0.1476469935
Chk2-M-E	0.7118516505
Chk2_pT68-R-C	0.1624636975
cIAP-R-V	-0.0598818355
Claudin-7-R-V	-0.106924108
Collagen_VI-R-V	-0.00356440349999998
Cyclin_B1-R-V	-0.481542177
Cyclin_D1-R-V	0.2226581345
Cyclin_E1-M-V	-0.0401897629999999
Cyclin_E2-R-C	-0.160134113
DJ-1-R-E	0.2104936825
Dvl3-R-V	0.0116450315
E-Cadherin-R-V	-0.668661665
eEF2-R-C	0.0278118645
eEF2K-R-V	0.028878036
EGFR-R-V	-0.063488448
EGFR_pY1068-R-C	-0.1232570075
EGFR_pY1173-R-V	-0.1128353585
eIF4E-R-V	0.012893809
eIF4G-R-C	-0.1954177705
ER-alpha-R-V	0.3994882885
ER-alpha_pS118-R-V	-0.144650451
ERCC1-M-V	-0.023079377
ERK2-R-E	0.0497377924999999
ETS-1-R-V	0.0926323735
FASN-R-V	-0.241764363
Fibronectin-R-V	-0.271517892
FoxM1-R-V	-0.315830446
FOXO3a-R-C	0.0687185305000001
FOXO3a_pS318_S321-R-C	0.1067238645
G6PD-M-V	-0.109032422
GAB2-R-V	-0.2980141985
GAPDH-M-C	-0.0966457925
GATA3-M-V	0.0535799735
GSK3-alpha-beta-M-V	0.0124678890000001
GSK3-alpha-beta_pS21_S9-R-V	0.170861253
GSK3_pS9-R-V	-0.073496277
HER2-M-V	-0.4133249285
HER2_pY1248-R-C	-0.0793615400000001
HER3-R-V	-0.3753845405
HER3_pY1289-R-C	-0.090934123
Heregulin-R-V	-0.296276443
HSP70-R-C	0.00336754999999989
IGFBP2-R-V	-0.1138116375
INPP4B-R-V	0.0457643520000003
IRS1-R-V	-0.102256013
JAB1-M-C	0.0103148895000001
JNK_pT183_pY185-R-V	0.102253131
JNK2-R-C	0.078140613
Ku80-R-C	0.124794775
Lck-R-V	0.6801717185
LKB1-M-E	0.068838887
MAPK_pT202_Y204-R-V	0.290031973
MEK1-R-V	-0.00634500549999995
MEK1_pS217_S221-R-V	0.052888231
MIG-6-M-V	-0.1154370125
Mre11-R-C	0.0378781990000001
MSH2-M-V	0.3002563255
MSH6-R-C	0.2079353825
mTOR-R-V	0.2029541925
mTOR_pS2448-R-C	0.0173866085000001
MYH11-R-V	1.559358047
Myosin-IIa_pS1943-R-V	-0.480418482
N-Cadherin-R-V	-0.0308809365
N-Ras-M-V	0.0414091914999999
NDRG1_pT346-R-V	0.7511227305
NF-kB-p65_pS536-R-C	0.4870194215
NF2-R-C	0.2138924415
Notch1-R-V	-0.112458917
P-Cadherin-R-C	0.0462132575
p21-R-V	-0.0450472924999999
p27-R-V	0.3225494645
p27_pT157-R-C	-0.106687781
p27_pT198-R-V	0.000839519500000024
p38_MAPK-R-V	0.2105063175
p38_pT180_Y182-R-V	0.9180790595
p53-R-E	0.024057712
p62-LCK-ligand-M-C	0.1386374005
p70S6K-R-V	0.0455302895
p70S6K_pT389-R-V	0.00704289200000013
p90RSK-R-C	-0.023002365
p90RSK_pT359_S363-R-C	0.0637946130000001
PAI-1-M-E	-0.00514316749999999
PARP_cleaved-M-E	-0.13335654
PARP1-R-V	-0.0525669205
Paxillin-R-C	-0.0976640515000001
PCNA-M-C	-0.0485016035
PDCD4-R-C	0.6672240225
PDK1-R-V	0.00128648149999999
PDK1_pS241-R-V	0.0928345820000001
PEA15-R-V	0.2988558455
